atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
89.01	Ac	II	2100.0	8.0	0.0027	NIST	L7344
89.01	Ac	II	2712.5	20.0	0.0067	NIST	L7344
89.01	Ac	II	2726.23	10.0	0.0033	NIST	L7344
89.01	Ac	II	2760.18	10.0	0.0033	NIST	L7344
89.01	Ac	II	2781.56	10.0	0.0033	NIST	L7344
89.01	Ac	II	2797.59	20.0	0.0067	NIST	L7344
89.01	Ac	II	2806.76	20.0	0.0067	NIST	L7344
89.01	Ac	II	2833.47	8.0	0.0027	NIST	L7344
89.01	Ac	II	2847.16	150.0	0.05	NIST	L7344
89.01	Ac	II	2895.2	8.0	0.0027	NIST	L7344
89.01	Ac	II	2896.82	30.0	0.01	NIST	L7344
89.01	Ac	II	2923.02	30.0	0.01	NIST	L7344
89.01	Ac	II	2994.17	200.0	0.0667	NIST	L7344
89.01	Ac	II	3043.3	500.0	0.1667	NIST	L7344
89.01	Ac	II	3069.36	200.0	0.0667	NIST	L7344
89.01	Ac	II	3078.07	100.0	0.0333	NIST	L7344
89.01	Ac	II	3086.04	100.0	0.0333	NIST	L7344
89.01	Ac	II	3087.37	100.0	0.0333	NIST	L7344
89.01	Ac	II	3112.83	200.0	0.0667	NIST	L7344
89.01	Ac	II	3120.16	100.0	0.0333	NIST	L7344
89.01	Ac	II	3153.09	500.0	0.1667	NIST	L7344
89.01	Ac	II	3154.41	600.0	0.2	NIST	L7344
89.01	Ac	II	3164.81	200.0	0.0667	NIST	L7344
89.01	Ac	II	3230.59	300.0	0.1	NIST	L7344
89.01	Ac	II	3237.7	150.0	0.05	NIST	L7344
89.01	Ac	II	3260.91	500.0	0.1667	NIST	L7344
89.01	Ac	II	3318.01	100.0	0.0333	NIST	L7344
89.01	Ac	II	3383.53	200.0	0.0667	NIST	L7344
89.01	Ac	II	3413.84	200.0	0.0667	NIST	L7344
89.01	Ac	II	3417.77	500.0	0.1667	NIST	L7344
89.01	Ac	II	3481.16	500.0	0.1667	NIST	L7344
89.01	Ac	II	3489.53	200.0	0.0667	NIST	L7344
89.01	Ac	II	3529.24	100.0	0.0333	NIST	L7344
89.01	Ac	II	3534.63	100.0	0.0333	NIST	L7344
89.01	Ac	II	3554.99	200.0	0.0667	NIST	L7344
89.01	Ac	II	3565.59	1000.0	0.3333	NIST	L7344
89.01	Ac	II	3694.88	100.0	0.0333	NIST	L7344
89.01	Ac	II	3756.67	300.0	0.1	NIST	L7344
89.01	Ac	II	3799.82	200.0	0.0667	NIST	L7344
89.01	Ac	II	3863.12	2000.0	0.6667	NIST	L7344
89.01	Ac	II	3914.47	100.0	0.0333	NIST	L7344
89.01	Ac	II	4061.6	400.0	0.1333	NIST	L7344
89.01	Ac	II	4088.44	3000.0	1.0	NIST	L7344
89.01	Ac	II	4168.4	3000.0	1.0	NIST	L7344
89.01	Ac	II	4209.69	300.0	0.1	NIST	L7344
89.01	Ac	II	4359.13	300.0	0.1	NIST	L7344
89.01	Ac	II	4386.41	1000.0	0.3333	NIST	L7344
89.01	Ac	II	4507.2	1000.0	0.3333	NIST	L7344
89.01	Ac	II	4605.45	500.0	0.1667	NIST	L7344
89.01	Ac	II	4720.16	400.0	0.1333	NIST	L7344
89.01	Ac	II	4812.22	300.0	0.1	NIST	L7344
89.01	Ac	II	4945.18	100.0	0.0333	NIST	L7344
89.01	Ac	II	4958.23	100.0	0.0333	NIST	L7344
89.01	Ac	II	4960.87	100.0	0.0333	NIST	L7344
89.01	Ac	II	5446.38	150.0	0.05	NIST	L7344
89.01	Ac	II	5732.05	300.0	0.1	NIST	L7344
89.01	Ac	II	5758.97	400.0	0.1333	NIST	L7344
89.01	Ac	II	5910.85	1000.0	0.3333	NIST	L7344
89.01	Ac	II	6164.75	600.0	0.2	NIST	L7344
89.01	Ac	II	6167.83	200.0	0.0667	NIST	L7344
89.01	Ac	II	6242.83	400.0	0.1333	NIST	L7344
