atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
47.02	Ag	III	709.8	200.0	0.2667	NIST	L650
47.02	Ag	III	713.85	200.0	0.2667	NIST	L650
47.02	Ag	III	717.73	100.0	0.1333	NIST	L650
47.02	Ag	III	718.53	200.0	0.2667	NIST	L650
47.02	Ag	III	726.96	300.0	0.4	NIST	L650
47.02	Ag	III	730.04	350.0	0.4667	NIST	L650
47.02	Ag	III	730.28	150.0	0.2	NIST	L650
47.02	Ag	III	730.94	150.0	0.2	NIST	L650
47.02	Ag	III	736.57	200.0	0.2667	NIST	L650
47.02	Ag	III	738.13	100.0	0.1333	NIST	L650
47.02	Ag	III	740.98	200.0	0.2667	NIST	L650
47.02	Ag	III	742.29	200.0	0.2667	NIST	L650
47.02	Ag	III	748.3	200.0	0.2667	NIST	L650
47.02	Ag	III	755.73	150.0	0.2	NIST	L650
47.02	Ag	III	758.27	100.0	0.1333	NIST	L650
47.02	Ag	III	767.19	200.0	0.2667	NIST	L650
47.02	Ag	III	768.33	250.0	0.3333	NIST	L650
47.02	Ag	III	769.61	150.0	0.2	NIST	L650
47.02	Ag	III	776.38	350.0	0.4667	NIST	L650
47.02	Ag	III	782.91	200.0	0.2667	NIST	L650
47.02	Ag	III	785.76	150.0	0.2	NIST	L650
47.02	Ag	III	789.08	200.0	0.2667	NIST	L650
47.02	Ag	III	792.35	250.0	0.3333	NIST	L650
47.02	Ag	III	796.54	200.0	0.2667	NIST	L650
47.02	Ag	III	797.91	250.0	0.3333	NIST	L650
47.02	Ag	III	799.41	400.0	0.5333	NIST	L650
47.02	Ag	III	808.88	300.0	0.4	NIST	L650
47.02	Ag	III	816.12	150.0	0.2	NIST	L650
47.02	Ag	III	822.39	180.0	0.24	NIST	L650
47.02	Ag	III	838.11	200.0	0.2667	NIST	L650
47.02	Ag	III	1373.22	120.0	0.16	NIST	L3039
47.02	Ag	III	1374.76	120.0	0.16	NIST	L3039
47.02	Ag	III	1404.93	110.0	0.1467	NIST	L3039
47.02	Ag	III	1413.9	120.0	0.16	NIST	L3039
47.02	Ag	III	1414.29	120.0	0.16	NIST	L3039
47.02	Ag	III	1428.61	120.0	0.16	NIST	L3039
47.02	Ag	III	1452.74	120.0	0.16	NIST	L3039
47.02	Ag	III	1456.41	200.0	0.2667	NIST	L926
47.02	Ag	III	1471.44	100.0	0.1333	NIST	L3039
47.02	Ag	III	1489.01	300.0	0.4	NIST	L926
47.02	Ag	III	1515.08	150.0	0.2	NIST	L3039
47.02	Ag	III	1524.23	100.0	0.1333	NIST	L3039
47.02	Ag	III	1527.04	120.0	0.16	NIST	L3039
47.02	Ag	III	1541.14	150.0	0.2	NIST	L3039
47.02	Ag	III	1550.89	150.0	0.2	NIST	L3039
47.02	Ag	III	1553.04	130.0	0.1733	NIST	L3039
47.02	Ag	III	1587.41	130.0	0.1733	NIST	L3039
47.02	Ag	III	1589.28	120.0	0.16	NIST	L3039
47.02	Ag	III	1613.79	100.0	0.1333	NIST	L926
47.02	Ag	III	1619.14	130.0	0.1733	NIST	L3039
47.02	Ag	III	1634.46	100.0	0.1333	NIST	L3039
47.02	Ag	III	1652.24	100.0	0.1333	NIST	L926
47.02	Ag	III	1653.6	130.0	0.1733	NIST	L3039
47.02	Ag	III	1654.43	300.0	0.4	NIST	L926
47.02	Ag	III	1656.18	700.0	0.9333	NIST	L926
47.02	Ag	III	1657.1	150.0	0.2	NIST	L3039
47.02	Ag	III	1661.54	100.0	0.1333	NIST	L926
47.02	Ag	III	1670.75	130.0	0.1733	NIST	L3039
47.02	Ag	III	1676.14	150.0	0.2	NIST	L3039
47.02	Ag	III	1681.07	100.0	0.1333	NIST	L650
47.02	Ag	III	1693.51	500.0	0.6667	NIST	L650
47.02	Ag	III	1705.06	200.0	0.2667	NIST	L650
47.02	Ag	III	1708.86	150.0	0.2	NIST	L650
47.02	Ag	III	1717.68	130.0	0.1733	NIST	L3039
47.02	Ag	III	1722.27	200.0	0.2667	NIST	L650
47.02	Ag	III	1726.76	150.0	0.2	NIST	L3039
47.02	Ag	III	1728.14	250.0	0.3333	NIST	L650
47.02	Ag	III	1747.34	200.0	0.2667	NIST	L650
47.02	Ag	III	1749.64	120.0	0.16	NIST	L3039
47.02	Ag	III	1750.89	150.0	0.2	NIST	L3039
47.02	Ag	III	1751.03	750.0	1.0	NIST	L650
47.02	Ag	III	1760.57	100.0	0.1333	NIST	L650
47.02	Ag	III	1762.62	150.0	0.2	NIST	L3039
47.02	Ag	III	1768.7	150.0	0.2	NIST	L650
47.02	Ag	III	1771.81	100.0	0.1333	NIST	L650
47.02	Ag	III	1783.85	100.0	0.1333	NIST	L3039
47.02	Ag	III	1791.7	100.0	0.1333	NIST	L3039
47.02	Ag	III	1792.69	100.0	0.1333	NIST	L3039
47.02	Ag	III	1793.9	150.0	0.2	NIST	L650
47.02	Ag	III	1802.24	150.0	0.2	NIST	L650
47.02	Ag	III	1802.26	150.0	0.2	NIST	L3039
47.02	Ag	III	1802.77	100.0	0.1333	NIST	L3039
47.02	Ag	III	1808.23	300.0	0.4	NIST	L650
47.02	Ag	III	1816.83	250.0	0.3333	NIST	L650
47.02	Ag	III	1822.45	150.0	0.2	NIST	L650
47.02	Ag	III	1828.83	350.0	0.4667	NIST	L650
47.02	Ag	III	1832.33	250.0	0.3333	NIST	L650
47.02	Ag	III	1832.5	120.0	0.16	NIST	L3039
47.02	Ag	III	1834.31	100.0	0.1333	NIST	L650
47.02	Ag	III	1836.1	250.0	0.3333	NIST	L650
47.02	Ag	III	1838.64	150.0	0.2	NIST	L650
47.02	Ag	III	1840.14	400.0	0.5333	NIST	L650
47.02	Ag	III	1846.96	100.0	0.1333	NIST	L650
47.02	Ag	III	1849.93	120.0	0.16	NIST	L650
47.02	Ag	III	1856.33	150.0	0.2	NIST	L650
47.02	Ag	III	1858.91	120.0	0.16	NIST	L650
47.02	Ag	III	1860.39	100.0	0.1333	NIST	L3039
47.02	Ag	III	1860.64	100.0	0.1333	NIST	L650
47.02	Ag	III	1867.12	350.0	0.4667	NIST	L650
47.02	Ag	III	1868.1	150.0	0.2	NIST	L650
47.02	Ag	III	1872.55	100.0	0.1333	NIST	L650
47.02	Ag	III	1873.45	400.0	0.5333	NIST	L650
47.02	Ag	III	1880.36	250.0	0.3333	NIST	L650
47.02	Ag	III	1889.57	300.0	0.4	NIST	L650
47.02	Ag	III	1916.92	400.0	0.5333	NIST	L650
47.02	Ag	III	1917.08	600.0	0.8	NIST	L650
47.02	Ag	III	1925.3	200.0	0.2667	NIST	L650
47.02	Ag	III	1946.32	150.0	0.2	NIST	L650
47.02	Ag	III	1948.44	100.0	0.1333	NIST	L650
47.02	Ag	III	1957.62	700.0	0.9333	NIST	L650
47.02	Ag	III	1959.27	120.0	0.16	NIST	L3039
47.02	Ag	III	1960.86	100.0	0.1333	NIST	L650
47.02	Ag	III	1966.89	400.0	0.5333	NIST	L650
47.02	Ag	III	1975.92	600.0	0.8	NIST	L650
47.02	Ag	III	1977.03	500.0	0.6667	NIST	L650
47.02	Ag	III	1981.87	150.0	0.2	NIST	L650
47.02	Ag	III	1987.02	200.0	0.2667	NIST	L650
47.02	Ag	III	1995.16	130.0	0.1733	NIST	L3039
47.02	Ag	III	1999.59	600.0	0.8	NIST	L650
47.02	Ag	III	2007.3	300.0	0.4	NIST	L926
47.02	Ag	III	2011.49	200.0	0.2667	NIST	L650
47.02	Ag	III	2013.65	150.0	0.2	NIST	L650
47.02	Ag	III	2041.33	150.0	0.2	NIST	L3039
47.02	Ag	III	2053.17	150.0	0.2	NIST	L650
47.02	Ag	III	2053.83	150.0	0.2	NIST	L650
47.02	Ag	III	2056.99	200.0	0.2667	NIST	L650
47.02	Ag	III	2081.04	200.0	0.2667	NIST	L650
47.02	Ag	III	2146.47	300.0	0.4	NIST	L926
47.02	Ag	III	2149.19	150.0	0.2	NIST	L650
47.02	Ag	III	2161.89	600.0	0.8	NIST	L650
47.02	Ag	III	2166.21	150.0	0.2	NIST	L926
47.02	Ag	III	2211.23	150.0	0.2	NIST	L650
47.02	Ag	III	2238.4	100.0	0.1333	NIST	L650
47.02	Ag	III	2246.51	500.0	0.6667	NIST	L926
47.02	Ag	III	2286.5	100.0	0.1333	NIST	L650
47.02	Ag	III	2310.04	700.0	0.9333	NIST	L926
47.02	Ag	III	2386.85	100.0	0.1333	NIST	L650
47.02	Ag	III	2395.69	300.0	0.4	NIST	L650
47.02	Ag	III	2469.62	100.0	0.1333	NIST	L650
47.02	Ag	III	2562.87	100.0	0.1333	NIST	L650
