atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
13.00	Al	I	145.88	3.0	0.0	NIST	L5491
13.00	Al	I	146.26	3.0	0.0	NIST	L5491
13.00	Al	I	150.4	2.0	0.0	NIST	L5491
13.00	Al	I	150.94	3.0	0.0	NIST	L5491
13.00	Al	I	151.84	5.0	0.0	NIST	L5491
13.00	Al	I	152.32	3.0	0.0	NIST	L5491
13.00	Al	I	152.72	6.0	0.0	NIST	L5491
13.00	Al	I	152.85	3.0	0.0	NIST	L5491
13.00	Al	I	153.06	2.0	0.0	NIST	L5491
13.00	Al	I	153.62	2.0	0.0	NIST	L5491
13.00	Al	I	153.88	4.0	0.0	NIST	L5491
13.00	Al	I	154.26	1.0	0.0	NIST	L5491
13.00	Al	I	154.45	1.0	0.0	NIST	L5491
13.00	Al	I	154.84	5.0	0.0	NIST	L5491
13.00	Al	I	154.99	2.0	0.0	NIST	L5491
13.00	Al	I	155.1	2.0	0.0	NIST	L5491
13.00	Al	I	155.45	20.0	0.0001	NIST	L5491
13.00	Al	I	155.83	10.0	0.0001	NIST	L5491
13.00	Al	I	156.05	9.0	0.0001	NIST	L5491
13.00	Al	I	156.25	7.0	0.0	NIST	L5491
13.00	Al	I	156.87	2.0	0.0	NIST	L5491
13.00	Al	I	157.03	1.0	0.0	NIST	L5491
13.00	Al	I	157.13	3.0	0.0	NIST	L5491
13.00	Al	I	157.44	2.0	0.0	NIST	L5491
13.00	Al	I	157.64	1.0	0.0	NIST	L5491
13.00	Al	I	157.86	2.0	0.0	NIST	L5491
13.00	Al	I	157.98	2.0	0.0	NIST	L5491
13.00	Al	I	158.08	2.0	0.0	NIST	L5491
13.00	Al	I	159.25	6.0	0.0	NIST	L5491
13.00	Al	I	1181.907	36.0	0.0002	NIST	L3597
13.00	Al	I	1182.01	26.0	0.0002	NIST	L3597
13.00	Al	I	1182.379	57.0	0.0003	NIST	L3597
13.00	Al	I	1185.66	81.0	0.0005	NIST	L3597
13.00	Al	I	1185.79	57.0	0.0003	NIST	L3597
13.00	Al	I	1186.346	60.0	0.0004	NIST	L3597
13.00	Al	I	1190.939	94.0	0.0005	NIST	L3597
13.00	Al	I	1191.34	75.0	0.0004	NIST	L3597
13.00	Al	I	1192.211	130.0	0.0008	NIST	L3597
13.00	Al	I	1192.32	140.0	0.0008	NIST	L3597
13.00	Al	I	1193.807	86.0	0.0005	NIST	L3597
13.00	Al	I	1194.955	62.0	0.0004	NIST	L3597
13.00	Al	I	1197.73	36.0	0.0002	NIST	L3597
13.00	Al	I	1198.482	65.0	0.0004	NIST	L3597
13.00	Al	I	1198.686	125.0	0.0007	NIST	L3597
13.00	Al	I	1199.34	86.0	0.0005	NIST	L3597
13.00	Al	I	1199.959	120.0	0.0007	NIST	L3597
13.00	Al	I	1200.095	91.0	0.0005	NIST	L3597
13.00	Al	I	1200.459	96.0	0.0006	NIST	L3597
13.00	Al	I	1200.853	150.0	0.0009	NIST	L3597
13.00	Al	I	1202.066	34.0	0.0002	NIST	L3597
13.00	Al	I	1202.463	160.0	0.0009	NIST	L3597
13.00	Al	I	1209.165	55.0	0.0003	NIST	L3597
13.00	Al	I	1210.803	110.0	0.0006	NIST	L3597
13.00	Al	I	1212.33	105.0	0.0006	NIST	L3597
13.00	Al	I	1213.425	165.0	0.001	NIST	L3597
13.00	Al	I	1213.954	78.0	0.0005	NIST	L3597
13.00	Al	I	1214.553	265.0	0.0015	NIST	L3597
13.00	Al	I	1215.084	96.0	0.0006	NIST	L3597
13.00	Al	I	1216.212	260.0	0.0015	NIST	L3597
13.00	Al	I	1229.783	160.0	0.0009	NIST	L3597
13.00	Al	I	1231.484	455.0	0.0027	NIST	L3597
13.00	Al	I	1234.85	1000.0	0.0058	NIST	L3597
13.00	Al	I	1235.587	50.0	0.0003	NIST	L3597
13.00	Al	I	1237.298	100.0	0.0006	NIST	L3597
13.00	Al	I	1237.442	590.0	0.0035	NIST	L3597
13.00	Al	I	1237.986	230.0	0.0013	NIST	L3597
13.00	Al	I	1238.628	550.0	0.0032	NIST	L3597
13.00	Al	I	1238.81	260.0	0.0015	NIST	L3597
13.00	Al	I	1239.162	775.0	0.0045	NIST	L3597
13.00	Al	I	1240.352	1035.0	0.0061	NIST	L3597
13.00	Al	I	1240.531	425.0	0.0025	NIST	L3597
13.00	Al	I	1269.956	285.0	0.0017	NIST	L3597
13.00	Al	I	1271.765	620.0	0.0036	NIST	L3597
13.00	Al	I	1279.45	1780.0	0.0104	NIST	L3597
13.00	Al	I	1284.454	75.0	0.0004	NIST	L3597
13.00	Al	I	1286.325	155.0	0.0009	NIST	L3597
13.00	Al	I	1286.789	1100.0	0.0064	NIST	L3597
13.00	Al	I	1287.532	395.0	0.0023	NIST	L3597
13.00	Al	I	1287.946	730.0	0.0043	NIST	L3597
13.00	Al	I	1288.21	570.0	0.0033	NIST	L3597
13.00	Al	I	1288.65	2090.0	0.0122	NIST	L3597
13.00	Al	I	1289.393	335.0	0.002	NIST	L3597
13.00	Al	I	1289.812	1890.0	0.0111	NIST	L3597
13.00	Al	I	1290.076	475.0	0.0028	NIST	L3597
13.00	Al	I	1368.908	705.0	0.0041	NIST	L3597
13.00	Al	I	1371.01	1130.0	0.0066	NIST	L3597
13.00	Al	I	1397.8	2350.0	0.0137	NIST	L3597
13.00	Al	I	1413.156	4370.0	0.0256	NIST	L3597
13.00	Al	I	1414.24	1150.0	0.0067	NIST	L3597
13.00	Al	I	1415.401	1870.0	0.0109	NIST	L3597
13.00	Al	I	1416.481	1000.0	0.0058	NIST	L3597
13.00	Al	I	1417.222	630.0	0.0037	NIST	L3597
13.00	Al	I	1419.479	1040.0	0.0061	NIST	L3597
13.00	Al	I	1425.037	800.0	0.0047	NIST	L3597
13.00	Al	I	1431.018	380.0	0.0022	NIST	L3597
13.00	Al	I	1431.865	315.0	0.0018	NIST	L3597
13.00	Al	I	1434.155	500.0	0.0029	NIST	L3597
