atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
13.08	Al	IX	41.543	20.0	0.0333	NIST	L927
13.08	Al	IX	43.549	10.0	0.0167	NIST	L3463
13.08	Al	IX	44.704	60.0	0.1	NIST	L927
13.08	Al	IX	44.743	80.0	0.1333	NIST	L927
13.08	Al	IX	47.755	10.0	0.0167	NIST	L3463
13.08	Al	IX	47.856	50.0	0.0833	NIST	L3463
13.08	Al	IX	49.854	100.0	0.1667	NIST	L3463
13.08	Al	IX	49.916	100.0	0.1667	NIST	L927
13.08	Al	IX	52.966	10.0	0.0167	NIST	L927
13.08	Al	IX	53.098	10.0	0.0167	NIST	L927
13.08	Al	IX	53.237	60.0	0.1	NIST	L927
13.08	Al	IX	53.267	60.0	0.1	NIST	L927
13.08	Al	IX	53.376	10.0	0.0167	NIST	L3463
13.08	Al	IX	53.412	10.0	0.0167	NIST	L3463
13.08	Al	IX	53.424	10.0	0.0167	NIST	L3463
13.08	Al	IX	53.488	1.0	0.0017	NIST	L3463
13.08	Al	IX	53.554	10.0	0.0167	NIST	L3463
13.08	Al	IX	55.622	1.0	0.0017	NIST	L3463
13.08	Al	IX	55.667	10.0	0.0167	NIST	L3463
13.08	Al	IX	56.151	50.0	0.0833	NIST	L3463
13.08	Al	IX	56.304	70.0	0.1167	NIST	L3463
13.08	Al	IX	56.899	100.0	0.1667	NIST	L3463
13.08	Al	IX	56.945	250.0	0.4167	NIST	L3463
13.08	Al	IX	58.06	10.0	0.0167	NIST	L3463
13.08	Al	IX	58.112	50.0	0.0833	NIST	L3463
13.08	Al	IX	58.222	100.0	0.1667	NIST	L3463
13.08	Al	IX	58.276	1.0	0.0017	NIST	L3463
13.08	Al	IX	59.381	10.0	0.0167	NIST	L3463
13.08	Al	IX	59.761	300.0	0.5	NIST	L3463
13.08	Al	IX	60.162	10.0	0.0167	NIST	L3463
13.08	Al	IX	60.197	50.0	0.0833	NIST	L3463
13.08	Al	IX	60.222	10.0	0.0167	NIST	L3463
13.08	Al	IX	60.262	10.0	0.0167	NIST	L3463
13.08	Al	IX	60.312	50.0	0.0833	NIST	L3463
13.08	Al	IX	60.347	100.0	0.1667	NIST	L3463
13.08	Al	IX	60.504	150.0	0.25	NIST	L3463
13.08	Al	IX	60.549	200.0	0.3333	NIST	L3463
13.08	Al	IX	60.588	300.0	0.5	NIST	L3463
13.08	Al	IX	60.645	10.0	0.0167	NIST	L3463
13.08	Al	IX	60.896	300.0	0.5	NIST	L3463
13.08	Al	IX	61.069	600.0	1.0	NIST	L3463
13.08	Al	IX	61.647	10.0	0.0167	NIST	L3463
13.08	Al	IX	62.07	50.0	0.0833	NIST	L3463
13.08	Al	IX	62.296	200.0	0.3333	NIST	L3463
13.08	Al	IX	62.327	250.0	0.4167	NIST	L3463
13.08	Al	IX	62.369	150.0	0.25	NIST	L3463
13.08	Al	IX	62.474	100.0	0.1667	NIST	L3463
13.08	Al	IX	62.587	100.0	0.1667	NIST	L3463
13.08	Al	IX	62.916	150.0	0.25	NIST	L3463
13.08	Al	IX	63.025	500.0	0.8333	NIST	L3463
13.08	Al	IX	63.509	500.0	0.8333	NIST	L3463
13.08	Al	IX	63.632	300.0	0.5	NIST	L3463
13.08	Al	IX	64.625	50.0	0.0833	NIST	L3463
13.08	Al	IX	64.885	150.0	0.25	NIST	L3463
13.08	Al	IX	64.904	100.0	0.1667	NIST	L3463
13.08	Al	IX	66.038	50.0	0.0833	NIST	L3463
13.08	Al	IX	66.092	50.0	0.0833	NIST	L3463
13.08	Al	IX	66.142	120.0	0.2	NIST	L3463
13.08	Al	IX	66.239	150.0	0.25	NIST	L3463
13.08	Al	IX	66.275	50.0	0.0833	NIST	L3463
13.08	Al	IX	66.321	60.0	0.1	NIST	L3463
13.08	Al	IX	66.624	10.0	0.0167	NIST	L3463
13.08	Al	IX	66.836	100.0	0.1667	NIST	L3463
13.08	Al	IX	67.828	10.0	0.0167	NIST	L3463
13.08	Al	IX	68.531	100.0	0.1667	NIST	L3463
13.08	Al	IX	68.637	50.0	0.0833	NIST	L3463
13.08	Al	IX	68.681	10.0	0.0167	NIST	L3463
13.08	Al	IX	68.783	10.0	0.0167	NIST	L3463
13.08	Al	IX	68.825	50.0	0.0833	NIST	L3463
13.08	Al	IX	68.904	10.0	0.0167	NIST	L3463
13.08	Al	IX	68.958	50.0	0.0833	NIST	L3463
13.08	Al	IX	69.135	215.0	0.3583	NIST	L1785
13.08	Al	IX	69.258	50.0	0.0833	NIST	L3463
13.08	Al	IX	69.716	100.0	0.1667	NIST	L3463
13.08	Al	IX	69.85	50.0	0.0833	NIST	L3463
13.08	Al	IX	70.09	100.0	0.1667	NIST	L3463
13.08	Al	IX	73.451	1.0	0.0017	NIST	L3463
13.08	Al	IX	73.625	1.0	0.0017	NIST	L3463
13.08	Al	IX	74.785	50.0	0.0833	NIST	L3463
13.08	Al	IX	77.315	10.0	0.0167	NIST	L3463
13.08	Al	IX	77.381	150.0	0.25	NIST	L3463
13.08	Al	IX	280.114	175.0	0.2917	NIST	L1785
13.08	Al	IX	282.407	240.0	0.4	NIST	L1785
13.08	Al	IX	284.015	345.0	0.575	NIST	L1785
