atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
13.09	Al	X	7.934	90.0	0.12	NIST	L4330
13.09	Al	X	7.951	150.0	0.2	NIST	L4330
13.09	Al	X	38.255	100.0	0.1333	NIST	L753
13.09	Al	X	40.421	25.0	0.0333	NIST	L753
13.09	Al	X	41.73	100.0	0.1333	NIST	L753
13.09	Al	X	44.902	10.0	0.0133	NIST	L3463
13.09	Al	X	50.67	50.0	0.0667	NIST	L3463
13.09	Al	X	50.717	75.0	0.1	NIST	L753
13.09	Al	X	50.762	350.0	0.4667	NIST	L753
13.09	Al	X	50.802	50.0	0.0667	NIST	L3463
13.09	Al	X	50.903	50.0	0.0667	NIST	L753
13.09	Al	X	50.946	10.0	0.0133	NIST	L3463
13.09	Al	X	51.039	10.0	0.0133	NIST	L3463
13.09	Al	X	51.362	350.0	0.4667	NIST	L3463
13.09	Al	X	51.4	1.0	0.0013	NIST	L3463
13.09	Al	X	51.454	1.0	0.0013	NIST	L3463
13.09	Al	X	51.979	300.0	0.4	NIST	L3463
13.09	Al	X	54.115	220.0	0.2933	NIST	L3463
13.09	Al	X	55.227	150.0	0.2	NIST	L3463
13.09	Al	X	55.272	500.0	0.6667	NIST	L3463
13.09	Al	X	55.376	750.0	1.0	NIST	L3463
13.09	Al	X	55.731	50.0	0.0667	NIST	L3463
13.09	Al	X	56.59	75.0	0.1	NIST	L753
13.09	Al	X	56.65	10.0	0.0133	NIST	L3463
13.09	Al	X	56.696	75.0	0.1	NIST	L753
13.09	Al	X	56.762	10.0	0.0133	NIST	L3463
13.09	Al	X	56.802	200.0	0.2667	NIST	L3463
13.09	Al	X	56.945	250.0	0.3333	NIST	L753
13.09	Al	X	56.964	150.0	0.2	NIST	L3463
13.09	Al	X	57.024	250.0	0.3333	NIST	L3463
13.09	Al	X	57.072	10.0	0.0133	NIST	L3463
13.09	Al	X	57.116	75.0	0.1	NIST	L753
13.09	Al	X	57.368	350.0	0.4667	NIST	L3463
13.09	Al	X	57.663	10.0	0.0133	NIST	L3463
13.09	Al	X	58.808	1.0	0.0013	NIST	L3463
13.09	Al	X	58.858	100.0	0.1333	NIST	L3463
13.09	Al	X	58.987	150.0	0.2	NIST	L3463
13.09	Al	X	59.107	300.0	0.4	NIST	L3463
13.09	Al	X	59.298	10.0	0.0133	NIST	L3463
13.09	Al	X	60.052	50.0	0.0667	NIST	L3463
13.09	Al	X	60.632	205.0	0.2733	NIST	L1785
13.09	Al	X	60.7	10.0	0.0133	NIST	L3463
13.09	Al	X	60.896	185.0	0.2467	NIST	L3463
13.09	Al	X	63.134	200.0	0.2667	NIST	L3463
13.09	Al	X	64.269	10.0	0.0133	NIST	L3463
13.09	Al	X	65.032	175.0	0.2333	NIST	L1785
13.09	Al	X	65.821	50.0	0.0667	NIST	L3463
13.09	Al	X	332.78	20.0	0.0267	NIST	L1471
13.09	Al	X	401.183	10.0	0.0133	NIST	L7396
