atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
13.10	Al	XI	6.7435	3.0	0.03	NIST	L4466c7
13.10	Al	XI	6.7775	9.0	0.09	NIST	L4466c7
13.10	Al	XI	6.7921	13.0	0.13	NIST	L4466c7
13.10	Al	XI	6.8045	27.0	0.27	NIST	L4466c7
13.10	Al	XI	6.8215	5.0	0.05	NIST	L4466c7
13.10	Al	XI	6.8277	3.0	0.03	NIST	L4466c7
13.10	Al	XI	6.8463	3.0	0.03	NIST	L4466c7
13.10	Al	XI	7.774	10.0	0.1	NIST	L2560c7
13.10	Al	XI	29.416	2.0	0.02	NIST	L695
13.10	Al	XI	29.793	3.0	0.03	NIST	L695
13.10	Al	XI	30.376	4.0	0.04	NIST	L695
13.10	Al	XI	31.313	5.0	0.05	NIST	L695
13.10	Al	XI	31.426	1.0	0.01	NIST	L695
13.10	Al	XI	31.483	2.0	0.02	NIST	L695
13.10	Al	XI	32.068	2.0	0.02	NIST	L695
13.10	Al	XI	32.128	3.0	0.03	NIST	L695
13.10	Al	XI	33.007	9.0	0.09	NIST	L695
13.10	Al	XI	33.109	3.0	0.03	NIST	L695
13.10	Al	XI	33.172	5.0	0.05	NIST	L695
13.10	Al	XI	34.994	9.0	0.09	NIST	L695
13.10	Al	XI	35.065	10.0	0.1	NIST	L695
13.10	Al	XI	35.163	2.0	0.02	NIST	L695
13.10	Al	XI	35.239	2.0	0.02	NIST	L695
13.10	Al	XI	36.675	12.0	0.12	NIST	L695
13.10	Al	XI	39.091	10.0	0.1	NIST	L695
13.10	Al	XI	39.18	12.0	0.12	NIST	L3463
13.10	Al	XI	39.53	6.0	0.06	NIST	L695
13.10	Al	XI	39.623	7.0	0.07	NIST	L695
13.10	Al	XI	48.297	15.0	0.15	NIST	L3463
13.10	Al	XI	48.338	15.0	0.15	NIST	L3463
13.10	Al	XI	52.299	12.0	0.12	NIST	L3463
13.10	Al	XI	52.446	15.0	0.15	NIST	L3463
13.10	Al	XI	54.217	5.0	0.05	NIST	L3463
13.10	Al	XI	54.388	6.0	0.06	NIST	L3463
13.10	Al	XI	550.03	100.0	1.0	NIST	L654
13.10	Al	XI	568.12	50.0	0.5	NIST	L654
