atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
18.00	Ar	I	802.859	20.0	0.0006	NIST	L2131
18.00	Ar	I	806.471	100.0	0.0029	NIST	L2131
18.00	Ar	I	806.869	60.0	0.0017	NIST	L2131
18.00	Ar	I	807.218	30.0	0.0009	NIST	L2131
18.00	Ar	I	807.653	40.0	0.0011	NIST	L2131
18.00	Ar	I	809.927	50.0	0.0014	NIST	L2131
18.00	Ar	I	816.232	120.0	0.0034	NIST	L2131
18.00	Ar	I	816.464	70.0	0.002	NIST	L2131
18.00	Ar	I	820.124	80.0	0.0023	NIST	L2131
18.00	Ar	I	825.346	120.0	0.0034	NIST	L2131
18.00	Ar	I	826.365	120.0	0.0034	NIST	L2131
18.00	Ar	I	834.392	150.0	0.0043	NIST	L2131
18.00	Ar	I	835.002	100.0	0.0029	NIST	L2131
18.00	Ar	I	842.805	100.0	0.0029	NIST	L2131
18.00	Ar	I	866.8	180.0	0.0051	NIST	L2131
18.00	Ar	I	869.754	150.0	0.0043	NIST	L2131
18.00	Ar	I	876.058	180.0	0.0051	NIST	L2131
18.00	Ar	I	879.947	180.0	0.0051	NIST	L2131
18.00	Ar	I	894.31	150.0	0.0043	NIST	L2131
18.00	Ar	I	1048.22	1000.0	0.0286	NIST	L2131
18.00	Ar	I	1066.66	500.0	0.0143	NIST	L2131
18.00	Ar	I	3200.37	8.0	0.0002	NIST	L2131
18.00	Ar	I	3319.34	7.0	0.0002	NIST	L3512
18.00	Ar	I	3373.47	7.0	0.0002	NIST	L3512
18.00	Ar	I	3393.73	7.0	0.0002	NIST	L3512
18.00	Ar	I	3461.07	7.0	0.0002	NIST	L3512
18.00	Ar	I	3554.306	7.0	0.0002	NIST	L2634
18.00	Ar	I	3606.522	7.0	0.0002	NIST	L2634
18.00	Ar	I	3770.369	20.0	0.0006	NIST	L2634
18.00	Ar	I	3834.679	7.0	0.0002	NIST	L2634
18.00	Ar	I	3947.505	7.0	0.0002	NIST	L2634
18.00	Ar	I	3948.979	35.0	0.001	NIST	L2634
18.00	Ar	I	4044.418	50.0	0.0014	NIST	L2634
18.00	Ar	I	4158.59	400.0	0.0114	NIST	L2634
18.00	Ar	I	4164.18	50.0	0.0014	NIST	L2634
18.00	Ar	I	4181.884	50.0	0.0014	NIST	L2634
18.00	Ar	I	4190.713	100.0	0.0029	NIST	L2634
18.00	Ar	I	4191.029	50.0	0.0014	NIST	L2634
18.00	Ar	I	4198.317	200.0	0.0057	NIST	L2634
18.00	Ar	I	4200.674	400.0	0.0114	NIST	L2634
18.00	Ar	I	4251.185	25.0	0.0007	NIST	L2634
18.00	Ar	I	4259.362	200.0	0.0057	NIST	L2634
18.00	Ar	I	4266.286	100.0	0.0029	NIST	L2634
18.00	Ar	I	4272.169	150.0	0.0043	NIST	L2634
18.00	Ar	I	4300.101	100.0	0.0029	NIST	L2634
18.00	Ar	I	4333.561	100.0	0.0029	NIST	L2634
18.00	Ar	I	4335.338	50.0	0.0014	NIST	L2634
18.00	Ar	I	4345.168	25.0	0.0007	NIST	L2634
18.00	Ar	I	4510.733	100.0	0.0029	NIST	L2634
18.00	Ar	I	4522.323	20.0	0.0006	NIST	L2634
18.00	Ar	I	4596.097	15.0	0.0004	NIST	L2634
18.00	Ar	I	4628.441	7.0	0.0002	NIST	L2634
18.00	Ar	I	4702.316	15.0	0.0004	NIST	L2634
18.00	Ar	I	5151.391	5.0	0.0001	NIST	L2634
18.00	Ar	I	5162.285	15.0	0.0004	NIST	L2634
18.00	Ar	I	5187.746	20.0	0.0006	NIST	L2634
18.00	Ar	I	5221.271	7.0	0.0002	NIST	L2634
18.00	Ar	I	5421.352	5.0	0.0001	NIST	L2634
18.00	Ar	I	5451.652	10.0	0.0003	NIST	L2634
18.00	Ar	I	5495.874	25.0	0.0007	NIST	L2634
18.00	Ar	I	5506.113	5.0	0.0001	NIST	L2634
18.00	Ar	I	5558.702	25.0	0.0007	NIST	L2634
18.00	Ar	I	5572.541	10.0	0.0003	NIST	L2634
18.00	Ar	I	5606.733	35.0	0.001	NIST	L2634
18.00	Ar	I	5650.704	20.0	0.0006	NIST	L2634
18.00	Ar	I	5739.52	10.0	0.0003	NIST	L2634
18.00	Ar	I	5834.263	5.0	0.0001	NIST	L2634
18.00	Ar	I	5860.31	10.0	0.0003	NIST	L2634
18.00	Ar	I	5882.624	15.0	0.0004	NIST	L2634
18.00	Ar	I	5888.584	25.0	0.0007	NIST	L2634
18.00	Ar	I	5912.085	50.0	0.0014	NIST	L2634
18.00	Ar	I	5928.813	15.0	0.0004	NIST	L2634
18.00	Ar	I	5942.669	5.0	0.0001	NIST	L2634
18.00	Ar	I	5987.302	7.0	0.0002	NIST	L2634
18.00	Ar	I	5998.999	5.0	0.0001	NIST	L2634
18.00	Ar	I	6025.15	5.0	0.0001	NIST	L2634
18.00	Ar	I	6032.127	70.0	0.002	NIST	L2634
18.00	Ar	I	6043.223	35.0	0.001	NIST	L2634
18.00	Ar	I	6052.723	10.0	0.0003	NIST	L2634
18.00	Ar	I	6059.372	20.0	0.0006	NIST	L2634
18.00	Ar	I	6098.803	7.0	0.0002	NIST	L2634
18.00	Ar	I	6105.635	10.0	0.0003	NIST	L2634
18.00	Ar	I	6145.441	10.0	0.0003	NIST	L2634
18.00	Ar	I	6170.174	7.0	0.0002	NIST	L2634
18.00	Ar	I	6173.096	10.0	0.0003	NIST	L2634
18.00	Ar	I	6212.503	10.0	0.0003	NIST	L2634
18.00	Ar	I	6215.938	5.0	0.0001	NIST	L2634
18.00	Ar	I	6296.872	7.0	0.0002	NIST	L2634
18.00	Ar	I	6307.657	15.0	0.0004	NIST	L2634
18.00	Ar	I	6369.575	7.0	0.0002	NIST	L2634
18.00	Ar	I	6384.717	20.0	0.0006	NIST	L2634
18.00	Ar	I	6416.307	70.0	0.002	NIST	L2634
18.00	Ar	I	6538.112	15.0	0.0004	NIST	L2634
18.00	Ar	I	6604.853	15.0	0.0004	NIST	L2634
18.00	Ar	I	6660.676	5.0	0.0001	NIST	L2634
18.00	Ar	I	6664.051	5.0	0.0001	NIST	L2634
18.00	Ar	I	6677.282	100.0	0.0029	NIST	L2634
18.00	Ar	I	6752.834	150.0	0.0043	NIST	L2634
18.00	Ar	I	6756.163	5.0	0.0001	NIST	L2634
18.00	Ar	I	6766.612	15.0	0.0004	NIST	L2634
18.00	Ar	I	6871.289	150.0	0.0043	NIST	L2634
18.00	Ar	I	6879.582	5.0	0.0001	NIST	L2634
18.00	Ar	I	6888.174	10.0	0.0003	NIST	L2634
18.00	Ar	I	6937.664	50.0	0.0014	NIST	L2634
18.00	Ar	I	6951.478	7.0	0.0002	NIST	L2634
