atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
18.02	Ar	III	368.3	3.0	0.0026	NIST	L9366
18.02	Ar	III	371.75	3.0	0.0026	NIST	L9366
18.02	Ar	III	382.629	125.0	0.1064	NIST	L11588
18.02	Ar	III	387.475	100.0	0.0851	NIST	L11588
18.02	Ar	III	389.511	25.0	0.0213	NIST	L11588
18.02	Ar	III	395.919	50.0	0.0426	NIST	L11588
18.02	Ar	III	396.369	200.0	0.1702	NIST	L11588
18.02	Ar	III	396.422	50.0	0.0426	NIST	L11588
18.02	Ar	III	397.668	50.0	0.0426	NIST	L11588
18.02	Ar	III	398.151	50.0	0.0426	NIST	L11588
18.02	Ar	III	398.178	125.0	0.1064	NIST	L11588
18.02	Ar	III	398.394	20.0	0.017	NIST	L11588
18.02	Ar	III	398.88	50.0	0.0426	NIST	L11588
18.02	Ar	III	400.63	1.0	0.0009	NIST	L9366
18.02	Ar	III	409.08	1.0	0.0009	NIST	L9366
18.02	Ar	III	422.49	1.0	0.0009	NIST	L9366
18.02	Ar	III	466.53	250.0	0.2128	NIST	L11588
18.02	Ar	III	467.399	300.0	0.2553	NIST	L11588
18.02	Ar	III	468.479	200.0	0.1702	NIST	L11588
18.02	Ar	III	468.965	150.0	0.1277	NIST	L11588
18.02	Ar	III	469.839	200.0	0.1702	NIST	L11588
18.02	Ar	III	469.976	200.0	0.1702	NIST	L11588
18.02	Ar	III	472.66	5.0	0.0043	NIST	L9366
18.02	Ar	III	473.922	300.0	0.2553	NIST	L11588
18.02	Ar	III	475.16	3.0	0.0026	NIST	L9366
18.02	Ar	III	475.46	6.0	0.0051	NIST	L9366
18.02	Ar	III	476.2	3.0	0.0026	NIST	L9366
18.02	Ar	III	476.436	350.0	0.2979	NIST	L11588
18.02	Ar	III	477.34	3.0	0.0026	NIST	L9366
18.02	Ar	III	481.854	300.0	0.2553	NIST	L11588
18.02	Ar	III	482.552	400.0	0.3404	NIST	L11588
18.02	Ar	III	484.117	250.0	0.2128	NIST	L11588
18.02	Ar	III	484.45	250.0	0.2128	NIST	L11588
18.02	Ar	III	485.153	300.0	0.2553	NIST	L11588
18.02	Ar	III	485.528	200.0	0.1702	NIST	L11588
18.02	Ar	III	485.68	6.0	0.0051	NIST	L9366
18.02	Ar	III	487.029	350.0	0.2979	NIST	L11588
18.02	Ar	III	488.451	350.0	0.2979	NIST	L11588
18.02	Ar	III	490.23	3.0	0.0026	NIST	L9366
18.02	Ar	III	491.121	200.0	0.1702	NIST	L11588
18.02	Ar	III	492.227	150.0	0.1277	NIST	L11588
18.02	Ar	III	503.39	3.0	0.0026	NIST	L9366
18.02	Ar	III	506.2	3.0	0.0026	NIST	L9366
18.02	Ar	III	507.48	6.0	0.0051	NIST	L9366
18.02	Ar	III	507.623	25.0	0.0213	NIST	L11588
18.02	Ar	III	508.439	450.0	0.383	NIST	L8114
18.02	Ar	III	508.607	300.0	0.2553	NIST	L11588
18.02	Ar	III	508.668	180.0	0.1532	NIST	L11588
18.02	Ar	III	511.5018	300.0	0.2553	NIST	L8114
18.02	Ar	III	511.5675	180.0	0.1532	NIST	L8114
18.02	Ar	III	512.765	180.0	0.1532	NIST	L11588
18.02	Ar	III	517.56	6.0	0.0051	NIST	L9366
18.02	Ar	III	524.329	25.0	0.0213	NIST	L11588
18.02	Ar	III	528.04	6.0	0.0051	NIST	L9366
18.02	Ar	III	529.9005	450.0	0.383	NIST	L8114
18.02	Ar	III	530.46	6.0	0.0051	NIST	L9366
18.02	Ar	III	531.16	6.0	0.0051	NIST	L9366
18.02	Ar	III	532.41	350.0	0.2979	NIST	L11588
18.02	Ar	III	533.63	3.0	0.0026	NIST	L9366
18.02	Ar	III	534.268	50.0	0.0426	NIST	L11588
18.02	Ar	III	534.92	3.0	0.0026	NIST	L9366
18.02	Ar	III	535.5881	350.0	0.2979	NIST	L8114
18.02	Ar	III	535.79	6.0	0.0051	NIST	L9366
18.02	Ar	III	537.4622	300.0	0.2553	NIST	L8114
18.02	Ar	III	538.35	6.0	0.0051	NIST	L9366
18.02	Ar	III	538.789	300.0	0.2553	NIST	L8114
18.02	Ar	III	547.4304	50.0	0.0426	NIST	L11588
18.02	Ar	III	547.7	40.0	0.034	NIST	L11588
18.02	Ar	III	552.24	1.0	0.0009	NIST	L9366
18.02	Ar	III	553.4696	450.0	0.383	NIST	L8114
18.02	Ar	III	556.8979	300.0	0.2553	NIST	L8114
18.02	Ar	III	558.3231	250.0	0.2128	NIST	L8114
18.02	Ar	III	562.44	6.0	0.0051	NIST	L9366
18.02	Ar	III	573.4666	200.0	0.1702	NIST	L8114
18.02	Ar	III	573.84	3.0	0.0026	NIST	L9366
18.02	Ar	III	577.1457	150.0	0.1277	NIST	L8114
18.02	Ar	III	578.3865	200.0	0.1702	NIST	L8114
18.02	Ar	III	579.206	150.0	0.1277	NIST	L11588
18.02	Ar	III	599.988	10.0	0.0085	NIST	L11588
18.02	Ar	III	636.8194	150.0	0.1277	NIST	L8114
18.02	Ar	III	637.256	300.0	0.2553	NIST	L11588
18.02	Ar	III	637.2881	1000.0	0.8511	NIST	L8114
18.02	Ar	III	641.3658	250.0	0.2128	NIST	L8114
18.02	Ar	III	641.8072	600.0	0.5106	NIST	L8114
18.02	Ar	III	643.2572	450.0	0.383	NIST	L8114
18.02	Ar	III	690.179	400.0	0.3404	NIST	L11588
18.02	Ar	III	694.336	250.0	0.2128	NIST	L11588
18.02	Ar	III	695.539	300.0	0.2553	NIST	L8114
18.02	Ar	III	697.764	100.0	0.0851	NIST	L11588
18.02	Ar	III	699.72	1.0	0.0009	NIST	L3264
18.02	Ar	III	701.989	25.0	0.0213	NIST	L11588
18.02	Ar	III	769.151	600.0	0.5106	NIST	L11588
18.02	Ar	III	871.0995	500.0	0.4255	NIST	L8114
