atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
18.09	Ar	X	27.938	2.0	0.0033	NIST	L12134
18.09	Ar	X	28.101	1.0	0.0016	NIST	L12134
18.09	Ar	X	29.11	3.0	0.0049	NIST	L12134
18.09	Ar	X	30.959	7.0	0.0115	NIST	L12134
18.09	Ar	X	31.491	5.0	0.0082	NIST	L12134
18.09	Ar	X	31.641	4.0	0.0066	NIST	L12134
18.09	Ar	X	32.74	1.0	0.0016	NIST	L1334
18.09	Ar	X	36.553	5.0	0.0082	NIST	L12134
18.09	Ar	X	36.758	2.0	0.0033	NIST	L12134
18.09	Ar	X	37.431	16.0	0.0262	NIST	L12134
18.09	Ar	X	37.598	8.0	0.0131	NIST	L12134
18.09	Ar	X	37.808	1.0	0.0016	NIST	L12134
18.09	Ar	X	38.227	5.0	0.0082	NIST	L12134
18.09	Ar	X	38.411	9.0	0.0148	NIST	L12134
18.09	Ar	X	38.498	8.0	0.0131	NIST	L12134
18.09	Ar	X	41.57	4.0	0.0066	NIST	L1334
18.09	Ar	X	41.89	2.0	0.0033	NIST	L1334
18.09	Ar	X	42.94	5.0	0.0082	NIST	L1334
18.09	Ar	X	43.272	11.0	0.018	NIST	L12134
18.09	Ar	X	43.705	5.0	0.0082	NIST	L12134
18.09	Ar	X	43.928	14.0	0.023	NIST	L12134
18.09	Ar	X	44.059	5.0	0.0082	NIST	L12134
18.09	Ar	X	44.257	11.0	0.018	NIST	L12134
18.09	Ar	X	44.449	20.0	0.0328	NIST	L12134
18.09	Ar	X	44.63	8.0	0.0131	NIST	L1334
18.09	Ar	X	44.84	6.0	0.0098	NIST	L1334
18.09	Ar	X	45.026	5.0	0.0082	NIST	L12134
18.09	Ar	X	131.43	1.0	0.0016	NIST	L4421
18.09	Ar	X	131.771	4.0	0.0066	NIST	L4421
18.09	Ar	X	132.349	5.0	0.0082	NIST	L4421
18.09	Ar	X	132.746	4.0	0.0066	NIST	L4421
18.09	Ar	X	133.163	2.0	0.0033	NIST	L4421
18.09	Ar	X	133.341	3.0	0.0049	NIST	L4421
18.09	Ar	X	157.114	2.0	0.0033	NIST	L4421
18.09	Ar	X	157.6	2.0	0.0033	NIST	L4421
18.09	Ar	X	157.905	2.0	0.0033	NIST	L4421
18.09	Ar	X	163.778	1.0	0.0016	NIST	L4421
18.09	Ar	X	165.82	6.0	0.0098	NIST	L4421
18.09	Ar	X	165.901	1.0	0.0016	NIST	L4421
18.09	Ar	X	166.532	5.0	0.0082	NIST	L4421
18.09	Ar	X	167.826	4.0	0.0066	NIST	L4421
18.09	Ar	X	169.906	1.0	0.0016	NIST	L4421
18.09	Ar	X	169.985	1.0	0.0016	NIST	L4421
18.09	Ar	X	170.477	1.0	0.0016	NIST	L4421
18.09	Ar	X	537.28	50.0	0.082	NIST	L11349
18.09	Ar	X	538.29	100.0	0.1639	NIST	L11349
18.09	Ar	X	540.9	250.0	0.4098	NIST	L11349
18.09	Ar	X	541.45	210.0	0.3443	NIST	L11349
18.09	Ar	X	541.79	90.0	0.1475	NIST	L11349
18.09	Ar	X	543.79	320.0	0.5246	NIST	L11349
18.09	Ar	X	544.57	40.0	0.0656	NIST	L11349
18.09	Ar	X	547.69	50.0	0.082	NIST	L11349
18.09	Ar	X	548.43	150.0	0.2459	NIST	L11349
18.09	Ar	X	549.25	290.0	0.4754	NIST	L11349
18.09	Ar	X	554.55	60.0	0.0984	NIST	L11349
18.09	Ar	X	557.07	220.0	0.3607	NIST	L11349
18.09	Ar	X	564.17	60.0	0.0984	NIST	L11349
18.09	Ar	X	595.05	80.0	0.1311	NIST	L11349
18.09	Ar	X	597.58	70.0	0.1148	NIST	L11349
18.09	Ar	X	623.15	60.0	0.0984	NIST	L11349
18.09	Ar	X	641.98	170.0	0.2787	NIST	L11349
18.09	Ar	X	651.64	110.0	0.1803	NIST	L11349
18.09	Ar	X	677.75	610.0	1.0	NIST	L11349
18.09	Ar	X	693.78	50.0	0.082	NIST	L11349
18.09	Ar	X	705.61	410.0	0.6721	NIST	L11349
18.09	Ar	X	706.45	80.0	0.1311	NIST	L11349
18.09	Ar	X	720.52	340.0	0.5574	NIST	L11349
18.09	Ar	X	723.72	240.0	0.3934	NIST	L11349
18.09	Ar	X	738.56	210.0	0.3443	NIST	L11349
18.09	Ar	X	751.98	50.0	0.082	NIST	L11349
18.09	Ar	X	763.91	100.0	0.1639	NIST	L11349
18.09	Ar	X	777.13	40.0	0.0656	NIST	L11349
