atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
05.00	B	I	61.52	10.0	0.0476	NIST	L11176
05.00	B	I	61.95	40.0	0.1905	NIST	L11176
05.00	B	I	62.13	30.0	0.1429	NIST	L11176
05.00	B	I	62.34	10.0	0.0476	NIST	L11176
05.00	B	I	62.45	30.0	0.1429	NIST	L11176
05.00	B	I	62.56	30.0	0.1429	NIST	L11176
05.00	B	I	64.62	40.0	0.1905	NIST	L11176
05.00	B	I	65.01	100.0	0.4762	NIST	L11176
05.00	B	I	65.06	80.0	0.381	NIST	L11176
05.00	B	I	1378.654	2.0	0.0095	NIST	L2166
05.00	B	I	1378.875	3.0	0.0143	NIST	L2166
05.00	B	I	1378.943	4.0	0.019	NIST	L2166
05.00	B	I	1379.166	1.0	0.0048	NIST	L2166
05.00	B	I	1465.548	2.0	0.0095	NIST	L3744
05.00	B	I	1465.663	3.0	0.0143	NIST	L3744
05.00	B	I	1465.801	2.0	0.0095	NIST	L3744
05.00	B	I	1525.281	1.0	0.0048	NIST	L2166
05.00	B	I	1525.637	1.0	0.0048	NIST	L2166
05.00	B	I	1533.806	2.0	0.0095	NIST	L2166
05.00	B	I	1534.166	2.0	0.0095	NIST	L2166
05.00	B	I	1546.423	4.0	0.019	NIST	L2166
05.00	B	I	1546.789	6.0	0.0286	NIST	L2166
05.00	B	I	1558.701	6.0	0.0286	NIST	L2166
05.00	B	I	1559.071	7.0	0.0333	NIST	L2166
05.00	B	I	1566.286	4.0	0.019	NIST	L2166
05.00	B	I	1566.66	6.0	0.0286	NIST	L2166
05.00	B	I	1573.301	7.0	0.0333	NIST	L2166
05.00	B	I	1573.679	11.0	0.0524	NIST	L2166
05.00	B	I	1600.373	14.0	0.0667	NIST	L2166
05.00	B	I	1600.455	12.0	0.0571	NIST	L2166
05.00	B	I	1600.761	20.0	0.0952	NIST	L2166
05.00	B	I	1600.85	20.0	0.0952	NIST	L2166
05.00	B	I	1607.733	13.0	0.0619	NIST	L3744
05.00	B	I	1662.608	8.0	0.0381	NIST	L2166
05.00	B	I	1663.031	14.0	0.0667	NIST	L2166
05.00	B	I	1666.85	20.0	0.0952	NIST	L2166
05.00	B	I	1667.272	30.0	0.1429	NIST	L2166
05.00	B	I	1817.8437	20.0	0.0952	NIST	u29
05.00	B	I	1818.34891	30.0	0.1429	NIST	u29
05.00	B	I	1825.8939	70.0	0.3333	NIST	u29
05.00	B	I	1826.39952	100.0	0.4762	NIST	u29
05.00	B	I	2066.377	30.0	0.1429	NIST	L1461
05.00	B	I	2066.654	40.0	0.1905	NIST	L1461
05.00	B	I	2066.93	11.0	0.0524	NIST	L1461
05.00	B	I	2067.02	6.0	0.0286	NIST	L776
05.00	B	I	2067.193	30.0	0.1429	NIST	L1461
05.00	B	I	2088.88851	90.0	0.4286	NIST	L11406
05.00	B	I	2089.57004	150.0	0.7143	NIST	L11406
05.00	B	I	2388.6	30.0	0.1429	NIST	L6232
05.00	B	I	2496.7687	110.0	0.5238	NIST	L11406
05.00	B	I	2497.7224	210.0	1.0	NIST	L11406
05.00	B	I	2861.1	20.0	0.0952	NIST	L6232
05.00	B	I	5818.4	60.0	0.2857	NIST	L6232
05.00	B	I	5821.07	100.0	0.4762	NIST	L6232
05.00	B	I	5822.33	10.0	0.0476	NIST	L6232
05.00	B	I	5942.63	3.0	0.0143	NIST	L694
05.00	B	I	5942.72	2.0	0.0095	NIST	L694
05.00	B	I	6244.57	9.0	0.0429	NIST	L694
05.00	B	I	6244.66	6.0	0.0286	NIST	L694
05.00	B	I	8211.83	60.0	0.2857	NIST	L694
05.00	B	I	8212.04	50.0	0.2381	NIST	L694
05.00	B	I	8667.223	4.0	0.019	NIST	L776
05.00	B	I	8668.57	8.0	0.0381	NIST	L776
05.00	B	I	11660.031	200.0	0.9524	NIST	u29
05.00	B	I	11662.456	100.0	0.4762	NIST	u29
05.00	B	I	12901.588	3.0	0.0143	NIST	u29
05.00	B	I	12901.827	4.0	0.019	NIST	u29
05.00	B	I	15624.714	20.0	0.0952	NIST	u29
05.00	B	I	15629.069	40.0	0.1905	NIST	u29
05.00	B	I	16240.331	40.0	0.1905	NIST	u29
05.00	B	I	16244.649	80.0	0.381	NIST	u29
05.00	B	I	16245.037	8.0	0.0381	NIST	u29
05.00	B	I	18994.005	30.0	0.1429	NIST	u29
05.00	B	I	18994.507	50.0	0.2381	NIST	u29
05.00	B	I	33119.47	1.0	0.0048	NIST	u29
05.00	B	I	33121.049	8.0	0.0381	NIST	u29
05.00	B	I	33126.41	5.0	0.0238	NIST	u29
05.00	B	I	36012.21	9.0	0.0429	NIST	u29
05.00	B	I	36020.46	5.0	0.0238	NIST	u29
