atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
05.02	B	III	51.66	3.0	0.0001	NIST	L4250
05.02	B	III	53.92	1.0	0.0	NIST	L4250
05.02	B	III	54.69	3.0	0.0001	NIST	L4250
05.02	B	III	55.26	1.0	0.0	NIST	L4250
05.02	B	III	55.78	3.0	0.0001	NIST	L4250
05.02	B	III	56.16	4.0	0.0001	NIST	L4250
05.02	B	III	56.3	3.0	0.0001	NIST	L6200
05.02	B	III	56.35	3.0	0.0001	NIST	L4250
05.02	B	III	56.56	3.0	0.0001	NIST	L4250
05.02	B	III	60.396	19.0	0.0006	NIST	L5145
05.02	B	III	60.44	170.0	0.0053	NIST	L6119
05.02	B	III	60.493	90.0	0.0028	NIST	L5145
05.02	B	III	60.5	90.0	0.0028	NIST	L6119
05.02	B	III	60.643	50.0	0.0016	NIST	L5145
05.02	B	III	60.67	100.0	0.0031	NIST	L6119
05.02	B	III	60.675	30.0	0.0009	NIST	L5145
05.02	B	III	61.19	25.0	0.0008	NIST	L6119
05.02	B	III	61.238	43.0	0.0013	NIST	L5145
05.02	B	III	61.34	30.0	0.0009	NIST	L6119
05.02	B	III	61.376	4.0	0.0001	NIST	L5145
05.02	B	III	62.261	100.0	0.0031	NIST	L6119
05.02	B	III	62.263	40.0	0.0013	NIST	L5145
05.02	B	III	62.55	23.0	0.0007	NIST	L5145
05.02	B	III	66.4	1.0	0.0	NIST	L4250
05.02	B	III	302.9	5.0	0.0002	NIST	L6901
05.02	B	III	303.9	5.0	0.0002	NIST	L6901
05.02	B	III	316.54	5.0	0.0002	NIST	L6901
05.02	B	III	324.33	60.0	0.0019	NIST	L6901
05.02	B	III	327.21	100.0	0.0031	NIST	L6901
05.02	B	III	328.95	60.0	0.0019	NIST	L6901
05.02	B	III	329.62	100.0	0.0031	NIST	L6901
05.02	B	III	338.3	130.0	0.0041	NIST	L6901
05.02	B	III	350.28	55.0	0.0017	NIST	L6901
05.02	B	III	359.68	85.0	0.0027	NIST	L6901
05.02	B	III	365.69	20.0	0.0006	NIST	L6901
05.02	B	III	366.31	100.0	0.0031	NIST	L6901
05.02	B	III	367.7	230.0	0.0072	NIST	L6901
05.02	B	III	372.3	10.0	0.0003	NIST	L6901
05.02	B	III	376.373	90.0	0.0028	NIST	L7581
05.02	B	III	380.14	50.0	0.0016	NIST	L6901
05.02	B	III	397.91	74.0	0.0023	NIST	L6901
05.02	B	III	398.41	316.0	0.0099	NIST	L6901
05.02	B	III	399.77	240.0	0.0075	NIST	L6901
05.02	B	III	402.53	128.0	0.004	NIST	L6901
05.02	B	III	407.6	8.0	0.0003	NIST	L6901
05.02	B	III	408.73	149.0	0.0047	NIST	L6901
05.02	B	III	411.81	470.0	0.0147	NIST	L3492
05.02	B	III	413.05	27.0	0.0008	NIST	L6901
05.02	B	III	415.05	66.0	0.0021	NIST	L6901
05.02	B	III	421.29	63.0	0.002	NIST	L6901
05.02	B	III	423.27	5.0	0.0002	NIST	L12547
05.02	B	III	432.5	24.0	0.0008	NIST	L6901
05.02	B	III	434.627	92.0	0.0029	NIST	L7581
05.02	B	III	438.19	24.0	0.0008	NIST	L12547
05.02	B	III	447.67	36.0	0.0011	NIST	L6901
05.02	B	III	457.55	918.0	0.0287	NIST	L6901
05.02	B	III	458.652	80.0	0.0025	NIST	L12547
05.02	B	III	458.729	235.0	0.0073	NIST	L12547
05.02	B	III	465.57	34.0	0.0011	NIST	L12547
05.02	B	III	475.42	26.0	0.0008	NIST	L6901
05.02	B	III	493.4	189.0	0.0059	NIST	L6901
05.02	B	III	499.67	119.0	0.0037	NIST	L6901
05.02	B	III	510.77	437.0	0.0137	NIST	L12547
05.02	B	III	510.86	873.0	0.0273	NIST	L12547
05.02	B	III	514.9	118.0	0.0037	NIST	L6680
05.02	B	III	518.241	4136.0	0.1293	NIST	L12547
05.02	B	III	518.262	2067.0	0.0646	NIST	L12547
05.02	B	III	518.95	625.0	0.0195	NIST	L6680
05.02	B	III	528.151	117.0	0.0037	NIST	L12547
05.02	B	III	528.256	235.0	0.0073	NIST	L12547
05.02	B	III	534.0	219.0	0.0068	NIST	L6901
05.02	B	III	559.95	114.0	0.0036	NIST	L6680
05.02	B	III	567.3	395.0	0.0123	NIST	L6680
05.02	B	III	585.6	53.0	0.0017	NIST	L6680
05.02	B	III	665.52	123.0	0.0038	NIST	L12547
05.02	B	III	676.995	12000.0	0.375	NIST	L482
05.02	B	III	677.142	23000.0	0.7188	NIST	L482
05.02	B	III	758.476	5000.0	0.1562	NIST	L482
05.02	B	III	758.668	10000.0	0.3125	NIST	L482
05.02	B	III	949.51	5.0	0.0002	NIST	L12547
05.02	B	III	989.99	15.0	0.0005	NIST	L12547
05.02	B	III	992.3	42.0	0.0013	NIST	L12547
05.02	B	III	1025.6	35.0	0.0011	NIST	L12547
05.02	B	III	1059.1	10.0	0.0003	NIST	L12547
05.02	B	III	1077.6	15.0	0.0005	NIST	L12547
05.02	B	III	1115.0	9.0	0.0003	NIST	L12547
05.02	B	III	1154.5	10.0	0.0003	NIST	L6680
05.02	B	III	1169.2	25.0	0.0008	NIST	L12547
05.02	B	III	1195.0	40.0	0.0013	NIST	L6730
05.02	B	III	1213.2	70.0	0.0022	NIST	L6730
05.02	B	III	1224.1	10.0	0.0003	NIST	L6680
05.02	B	III	1251.2	13.0	0.0004	NIST	L6680
05.02	B	III	1275.6	14.0	0.0004	NIST	L6680
05.02	B	III	1296.8	7.0	0.0002	NIST	L6680
05.02	B	III	1308.66	10.0	0.0003	NIST	L12547
05.02	B	III	1366.3	18.0	0.0006	NIST	L12547
05.02	B	III	1400.46	12.0	0.0004	NIST	L12547
05.02	B	III	1416.4	15.0	0.0005	NIST	L12547
05.02	B	III	1421.41	970.0	0.0303	NIST	L482
05.02	B	III	1424.33	190.0	0.0059	NIST	L12547
05.02	B	III	1424.532	190.0	0.0059	NIST	L12547
05.02	B	III	1435.7	70.0	0.0022	NIST	L12547
05.02	B	III	1449.2	5.0	0.0002	NIST	L6901
05.02	B	III	1455.0	15.0	0.0005	NIST	L12547
05.02	B	III	1463.16	111.0	0.0035	NIST	L12547
05.02	B	III	1557.12	26.0	0.0008	NIST	L12547
05.02	B	III	1588.53	403.0	0.0126	NIST	L12547
05.02	B	III	1596.66	2500.0	0.0781	NIST	L482
05.02	B	III	1610.33	117.0	0.0037	NIST	L12547
05.02	B	III	1616.31	816.0	0.0255	NIST	L12547
05.02	B	III	1692.21	39.0	0.0012	NIST	L12547
05.02	B	III	1701.99	7007.0	0.219	NIST	L12547
05.02	B	III	1705.67	360.0	0.0112	NIST	L12547
05.02	B	III	1727.28	230.0	0.0072	NIST	L12547
05.02	B	III	1752.65	126.0	0.0039	NIST	L12547
05.02	B	III	1753.51	72.0	0.0023	NIST	L12547
05.02	B	III	1764.91	1316.0	0.0411	NIST	L12547
05.02	B	III	1785.5	70.0	0.0022	NIST	L12547
05.02	B	III	1787.6	15.0	0.0005	NIST	L12547
05.02	B	III	1795.6	224.0	0.007	NIST	L12547
05.02	B	III	1817.09	99.0	0.0031	NIST	L12547
05.02	B	III	1820.44	18.0	0.0006	NIST	L12547
05.02	B	III	1836.74	467.0	0.0146	NIST	L12547
05.02	B	III	1850.82	112.0	0.0035	NIST	L12547
05.02	B	III	1864.82	14.0	0.0004	NIST	L12547
05.02	B	III	1867.31	23.0	0.0007	NIST	L12547
05.02	B	III	1879.09	16.0	0.0005	NIST	L12547
05.02	B	III	1898.86	73.0	0.0023	NIST	L12547
05.02	B	III	1900.16	100.0	0.0031	NIST	L12547
05.02	B	III	1912.24	33.0	0.001	NIST	L12547
05.02	B	III	1918.22	55.0	0.0017	NIST	L12547
05.02	B	III	1953.495	3000.0	0.0938	NIST	L482
05.02	B	III	1953.827	6000.0	0.1875	NIST	L482
05.02	B	III	1960.06	65.0	0.002	NIST	L12547
05.02	B	III	1961.42	25.0	0.0008	NIST	L12547
05.02	B	III	1962.96	46.0	0.0014	NIST	L12547
05.02	B	III	1964.66	28.0	0.0009	NIST	L12547
05.02	B	III	1979.16	760.0	0.0238	NIST	L12547
05.02	B	III	1985.6	7.0	0.0002	NIST	L12547
05.02	B	III	2011.86	56.0	0.0017	NIST	L12547
05.02	B	III	2013.6	73.0	0.0023	NIST	L12547
05.02	B	III	2015.57	400.0	0.0125	NIST	L12547
05.02	B	III	2053.51	95.0	0.003	NIST	L12547
05.02	B	III	2065.7787	32000.0	1.0	NIST	L9416
05.02	B	III	2067.2356	20000.0	0.625	NIST	L9416
