atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
05.03	B	IV	43.35	1.0	0.0004	NIST	L4250
05.03	B	IV	43.59	2.0	0.0008	NIST	L4250
05.03	B	IV	48.304	7.0	0.0029	NIST	L5145
05.03	B	IV	48.437	6.0	0.0025	NIST	L5145
05.03	B	IV	48.718	5.0	0.0021	NIST	L4172
05.03	B	IV	48.77	5.0	0.0021	NIST	L4172
05.03	B	IV	48.9	10.0	0.0042	NIST	L4250
05.03	B	IV	48.933	30.0	0.0125	NIST	L5145
05.03	B	IV	49.07	2.0	0.0008	NIST	L4250
05.03	B	IV	49.4549	100.0	0.0417	NIST	L490
05.03	B	IV	49.938	8.0	0.0033	NIST	L5145
05.03	B	IV	50.033	15.0	0.0063	NIST	L5145
05.03	B	IV	50.19	2.0	0.0008	NIST	L4250
05.03	B	IV	50.4347	300.0	0.125	NIST	L490
05.03	B	IV	52.6853	700.0	0.2917	NIST	L490
05.03	B	IV	52.87	1.0	0.0004	NIST	L4250
05.03	B	IV	60.3144	1000.0	0.4167	NIST	L490
05.03	B	IV	61.088	15.0	0.0063	NIST	L5145
05.03	B	IV	213.04	1.0	0.0004	NIST	L3762
05.03	B	IV	216.04	1.0	0.0004	NIST	L3762
05.03	B	IV	220.1	2.0	0.0008	NIST	L3762
05.03	B	IV	226.71	5.0	0.0021	NIST	L3762
05.03	B	IV	230.0	1.0	0.0004	NIST	L4319
05.03	B	IV	230.84	2.0	0.0008	NIST	L2419
05.03	B	IV	233.08	1.0	0.0004	NIST	L4319
05.03	B	IV	233.99	3.0	0.0013	NIST	L2419
05.03	B	IV	237.71	1.0	0.0004	NIST	L4319
05.03	B	IV	238.56	20.0	0.0083	NIST	L3762
05.03	B	IV	242.49	1.0	0.0004	NIST	L3762
05.03	B	IV	245.3	3.0	0.0013	NIST	L4319
05.03	B	IV	246.02	12.0	0.005	NIST	L3762
05.03	B	IV	246.15	14.0	0.0058	NIST	L3762
05.03	B	IV	247.35	1.0	0.0004	NIST	L3762
05.03	B	IV	251.11	3.0	0.0013	NIST	L3762
05.03	B	IV	258.84	5.0	0.0021	NIST	L3762
05.03	B	IV	259.65	5.0	0.0021	NIST	L3762
05.03	B	IV	259.89	30.0	0.0125	NIST	L3762
05.03	B	IV	264.02	50.0	0.0208	NIST	L3492
05.03	B	IV	274.95	16.0	0.0067	NIST	L3762
05.03	B	IV	288.12	4.0	0.0017	NIST	L3762
05.03	B	IV	289.64	120.0	0.05	NIST	L3492
05.03	B	IV	294.5	6.0	0.0025	NIST	L3762
05.03	B	IV	308.41	30.0	0.0125	NIST	L3492
05.03	B	IV	310.52	4.0	0.0017	NIST	L3762
05.03	B	IV	318.0	1.0	0.0004	NIST	L2419
05.03	B	IV	344.01	190.0	0.0792	NIST	L3492
05.03	B	IV	380.94	8.0	0.0033	NIST	L3492
05.03	B	IV	385.0	430.0	0.1792	NIST	L3492
05.03	B	IV	406.84	40.0	0.0167	NIST	L3492
05.03	B	IV	418.66	220.0	0.0917	NIST	L3492
05.03	B	IV	427.7	30.0	0.0125	NIST	L3492
05.03	B	IV	534.0	9.0	0.0037	NIST	L3762
05.03	B	IV	551.0	13.0	0.0054	NIST	L3762
05.03	B	IV	561.8	13.0	0.0054	NIST	L3762
05.03	B	IV	576.3	6.0	0.0025	NIST	L3762
05.03	B	IV	577.9	7.0	0.0029	NIST	L3762
05.03	B	IV	578.6	40.0	0.0167	NIST	L2612
05.03	B	IV	580.2	30.0	0.0125	NIST	L2612
05.03	B	IV	581.2	15.0	0.0063	NIST	L3762
05.03	B	IV	582.2	10.0	0.0042	NIST	L3762
05.03	B	IV	596.1	30.0	0.0125	NIST	L6730
05.03	B	IV	601.1	4.0	0.0017	NIST	L3762
05.03	B	IV	602.3	7.0	0.0029	NIST	L3762
05.03	B	IV	610.4	40.0	0.0167	NIST	L2612
05.03	B	IV	613.6	6.0	0.0025	NIST	L3762
05.03	B	IV	625.5	40.0	0.0167	NIST	L6730
05.03	B	IV	627.4	50.0	0.0208	NIST	L2612
05.03	B	IV	633.4	20.0	0.0083	NIST	L2612
05.03	B	IV	635.0	7.0	0.0029	NIST	L3762
05.03	B	IV	659.8	20.0	0.0083	NIST	L6730
05.03	B	IV	662.5	90.0	0.0375	NIST	L6730
05.03	B	IV	669.7	30.0	0.0125	NIST	L6730
05.03	B	IV	682.6	180.0	0.075	NIST	L6730
05.03	B	IV	685.4	40.0	0.0167	NIST	L6730
05.03	B	IV	689.6	40.0	0.0167	NIST	L6730
05.03	B	IV	693.0	12.0	0.005	NIST	L3762
05.03	B	IV	724.6	100.0	0.0417	NIST	L6730
05.03	B	IV	767.7	30.0	0.0125	NIST	L6730
05.03	B	IV	772.4	230.0	0.0958	NIST	L6730
05.03	B	IV	790.0	50.0	0.0208	NIST	L6730
05.03	B	IV	799.66	200.0	0.0833	NIST	L3492
05.03	B	IV	800.6	40.0	0.0167	NIST	L12548
05.03	B	IV	805.5	11.0	0.0046	NIST	L2612
05.03	B	IV	809.6	100.0	0.0417	NIST	L6730
05.03	B	IV	817.0	11.0	0.0046	NIST	L3762
05.03	B	IV	1025.1	70.0	0.0292	NIST	L3492
05.03	B	IV	1099.3	3.0	0.0013	NIST	L3762
05.03	B	IV	1112.16	130.0	0.0542	NIST	L12548
05.03	B	IV	1134.8	11.0	0.0046	NIST	L3762
05.03	B	IV	1163.8	14.0	0.0058	NIST	L6730
05.03	B	IV	1168.9	350.0	0.1458	NIST	L3492
05.03	B	IV	1170.86	35.0	0.0146	NIST	L3492
05.03	B	IV	1187.6	80.0	0.0333	NIST	L3492
05.03	B	IV	1190.56	90.0	0.0375	NIST	L3492
05.03	B	IV	1196.06	40.0	0.0167	NIST	L3492
05.03	B	IV	1215.05	60.0	0.025	NIST	L12548
05.03	B	IV	1221.5	50.0	0.0208	NIST	L6730
05.03	B	IV	1318.77	30.0	0.0125	NIST	L12548
05.03	B	IV	1351.42	110.0	0.0458	NIST	L12548
05.03	B	IV	1353.07	110.0	0.0458	NIST	L12548
05.03	B	IV	1357.8	50.0	0.0208	NIST	L12548
05.03	B	IV	1510.76	60.0	0.025	NIST	L12548
05.03	B	IV	1590.35	180.0	0.075	NIST	L12548
05.03	B	IV	1633.12	60.0	0.025	NIST	L12548
05.03	B	IV	1637.6	370.0	0.1542	NIST	L12548
05.03	B	IV	1640.09	630.0	0.2625	NIST	L12548
05.03	B	IV	1653.12	20.0	0.0083	NIST	L12548
05.03	B	IV	1655.22	90.0	0.0375	NIST	L12548
05.03	B	IV	1672.54	14.0	0.0058	NIST	L12548
05.03	B	IV	2056.82	20.0	0.0083	NIST	L12548
05.03	B	IV	2058.95	50.0	0.0208	NIST	L12548
05.03	B	IV	2197.84	6.0	0.0025	NIST	L12548
05.03	B	IV	2255.89	270.0	0.1125	NIST	L12548
05.03	B	IV	2283.71	12.0	0.005	NIST	L12548
05.03	B	IV	2333.05	130.0	0.0542	NIST	L12548
05.03	B	IV	2335.71	80.0	0.0333	NIST	L12548
05.03	B	IV	2351.04	4.0	0.0017	NIST	L12548
05.03	B	IV	2384.45	40.0	0.0167	NIST	L12548
05.03	B	IV	2414.81	600.0	0.25	NIST	L12548
05.03	B	IV	2524.4	1300.0	0.5417	NIST	L12548
05.03	B	IV	2530.06	2400.0	1.0	NIST	L12548
05.03	B	IV	2533.74	40.0	0.0167	NIST	L12548
05.03	B	IV	2566.52	240.0	0.1	NIST	L12548
05.03	B	IV	2589.16	110.0	0.0458	NIST	L12548
05.03	B	IV	2595.01	170.0	0.0708	NIST	L12548
05.03	B	IV	2640.31	40.0	0.0167	NIST	L12548
05.03	B	IV	2704.56	20.0	0.0083	NIST	L12548
05.03	B	IV	2821.6296	2400.0	1.0	NIST	L12760
05.03	B	IV	2824.5361	800.0	0.3333	NIST	L12760
05.03	B	IV	2825.8298	1700.0	0.7083	NIST	L12760
05.03	B	IV	2901.77	90.0	0.0375	NIST	L12548
05.03	B	IV	2906.06	250.0	0.1042	NIST	L12548
05.03	B	IV	4197.77	30.0	0.0125	NIST	L12548
05.03	B	IV	4459.44	30.0	0.0125	NIST	L12548
05.03	B	IV	4490.8	20.0	0.0083	NIST	L3492
05.03	B	IV	4647.13	320.0	0.1333	NIST	L12548
05.03	B	IV	4658.15	1100.0	0.4583	NIST	L12548
05.03	B	IV	4685.0	110.0	0.0458	NIST	L12548
05.03	B	IV	4719.7	80.0	0.0333	NIST	L12548
05.03	B	IV	4773.3	60.0	0.025	NIST	L12548
05.03	B	IV	4812.77	70.0	0.0292	NIST	L12548
