atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
05.04	B	V	37.03	10.0	0.0033	NIST	L4250
05.04	B	V	37.21	20.0	0.0067	NIST	L4250
05.04	B	V	37.48	80.0	0.0267	NIST	L3762
05.04	B	V	37.94	150.0	0.05	NIST	L3762
05.04	B	V	38.87	300.0	0.1	NIST	L3762
05.04	B	V	40.98	1000.0	0.3333	NIST	L3762
05.04	B	V	48.59	3000.0	1.0	NIST	L3762
05.04	B	V	158.7	50.0	0.0167	NIST	L3762
05.04	B	V	164.0	120.0	0.04	NIST	L3762
05.04	B	V	173.5	100.0	0.0333	NIST	L3762
05.04	B	V	194.4	300.0	0.1	NIST	L3762
05.04	B	V	262.4	1000.0	0.3333	NIST	L3762
05.04	B	V	368.92	20.0	0.0067	NIST	L3762
05.04	B	V	381.71	40.0	0.0133	NIST	L3762
05.04	B	V	437.4	90.0	0.03	NIST	L3762
05.04	B	V	749.7	1000.0	0.3333	NIST	L3762
05.04	B	V	778.0	170.0	0.0567	NIST	L3762
05.04	B	V	866.3	150.0	0.05	NIST	L3762
05.04	B	V	1049.8	160.0	0.0533	NIST	L3762
05.04	B	V	1215.05	60.0	0.02	NIST	L12548
05.04	B	V	1494.99	20.0	0.0067	NIST	L12548
05.04	B	V	1619.97	711.0	0.237	NIST	L12548
05.04	B	V	1860.45	56.0	0.0187	NIST	L12548
05.04	B	V	2981.36	130.0	0.0433	NIST	L12548
05.04	B	V	2998.6	20.0	0.0067	NIST	L12548
05.04	B	V	4944.6	70.0	0.0233	NIST	L12548
