atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
56.01	Ba	II	1924.6712	10.0	0.0011	NIST	L9224
56.01	Ba	II	1985.7548	6.0	0.0006	NIST	L9224
56.01	Ba	II	2024.0561	5.0	0.0005	NIST	L9224
56.01	Ba	II	2052.7516	12.0	0.0013	NIST	L9224
56.01	Ba	II	2079.9753	9.0	0.001	NIST	L9224
56.01	Ba	II	2153.9336	74.0	0.008	NIST	L9224
56.01	Ba	II	2200.8853	30.0	0.0032	NIST	L9224
56.01	Ba	II	2214.7634	45.0	0.0048	NIST	L9224
56.01	Ba	II	2232.7858	170.0	0.0183	NIST	L9224
56.01	Ba	II	2235.3795	17.0	0.0018	NIST	L9224
56.01	Ba	II	2245.6883	173.0	0.0186	NIST	L9224
56.01	Ba	II	2254.7779	415.0	0.0446	NIST	L9224
56.01	Ba	II	2285.9894	68.0	0.0073	NIST	L9224
56.01	Ba	II	2304.2473	3370.0	0.3624	NIST	L9224
56.01	Ba	II	2335.2672	4310.0	0.4634	NIST	L9224
56.01	Ba	II	2347.5915	510.0	0.0548	NIST	L9224
56.01	Ba	II	2528.4078	249.0	0.0268	NIST	L9224
56.01	Ba	II	2634.7799	381.0	0.041	NIST	L9224
56.01	Ba	II	2641.371	41.0	0.0044	NIST	L9224
56.01	Ba	II	2647.2608	64.0	0.0069	NIST	L9224
56.01	Ba	II	2771.3528	77.0	0.0083	NIST	L9224
56.01	Ba	II	3891.779	500.0	0.0538	NIST	L9224
56.01	Ba	II	4130.6491	910.0	0.0978	NIST	L9224
56.01	Ba	II	4166.0014	103.0	0.0111	NIST	L9224
56.01	Ba	II	4267.9199	8.0	0.0009	NIST	L9224
56.01	Ba	II	4309.2662	4.0	0.0004	NIST	L9224
56.01	Ba	II	4524.926	188.0	0.0202	NIST	L9224
56.01	Ba	II	4554.033	9300.0	1.0	NIST	L9224
56.01	Ba	II	4899.927	273.0	0.0294	NIST	L9224
56.01	Ba	II	4934.077	6900.0	0.7419	NIST	L9224
56.01	Ba	II	4957.092	10.0	0.0011	NIST	L9224
56.01	Ba	II	5012.954	5.0	0.0005	NIST	L9224
56.01	Ba	II	5853.675	331.0	0.0356	NIST	L9224
56.01	Ba	II	6141.713	1510.0	0.1624	NIST	L9224
56.01	Ba	II	6496.898	900.0	0.0968	NIST	L9224
56.01	Ba	II	6769.477	6.0	0.0006	NIST	L9224
56.01	Ba	II	6874.079	7.0	0.0008	NIST	L9224
56.01	Ba	II	8710.768	24.0	0.0026	NIST	L9224
56.01	Ba	II	8737.751	18.0	0.0019	NIST	L9224
56.01	Ba	II	8897.463	2.0	0.0002	NIST	L9224
56.01	Ba	II	9603.111	9.0	0.001	NIST	L9224
56.01	Ba	II	10115.009	14.0	0.0015	NIST	L9224
56.01	Ba	II	10212.839	2.0	0.0002	NIST	L9224
56.01	Ba	II	11577.083	3.0	0.0003	NIST	L9224
56.01	Ba	II	12474.957	5.0	0.0005	NIST	L9224
56.01	Ba	II	13057.798	29.0	0.0031	NIST	L9224
56.01	Ba	II	14211.47	13.0	0.0014	NIST	L9224
56.01	Ba	II	18530.69	2.0	0.0002	NIST	L9224
56.01	Ba	II	25930.31	2.0	0.0002	NIST	L9224
