atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
56.03	Ba	IV	463.69	15.0	0.0001	NIST	L11023
56.03	Ba	IV	468.664	75.0	0.0005	NIST	L11023
56.03	Ba	IV	486.325	2500.0	0.0167	NIST	L11023
56.03	Ba	IV	486.676	100.0	0.0007	NIST	L11023
56.03	Ba	IV	492.36	2500.0	0.0167	NIST	L11023
56.03	Ba	IV	502.84	25000.0	0.1667	NIST	L11023
56.03	Ba	IV	503.946	30000.0	0.2	NIST	L11023
56.03	Ba	IV	504.767	22500.0	0.15	NIST	L11023
56.03	Ba	IV	506.229	50000.0	0.3333	NIST	L11023
56.03	Ba	IV	510.402	100.0	0.0007	NIST	L11023
56.03	Ba	IV	520.007	9000.0	0.06	NIST	L11023
56.03	Ba	IV	523.183	1000.0	0.0067	NIST	L11023
56.03	Ba	IV	529.797	6000.0	0.04	NIST	L11023
56.03	Ba	IV	532.123	3250.0	0.0217	NIST	L11023
56.03	Ba	IV	546.378	2.0	0.0	NIST	L11023
56.03	Ba	IV	548.085	30000.0	0.2	NIST	L11023
56.03	Ba	IV	559.69	30000.0	0.2	NIST	L11023
56.03	Ba	IV	560.618	4250.0	0.0283	NIST	L11023
56.03	Ba	IV	572.23	3000.0	0.02	NIST	L11023
56.03	Ba	IV	578.038	45000.0	0.3	NIST	L11023
56.03	Ba	IV	585.446	45000.0	0.3	NIST	L11023
56.03	Ba	IV	591.222	2000.0	0.0133	NIST	L11023
56.03	Ba	IV	610.142	10000.0	0.0667	NIST	L11023
56.03	Ba	IV	610.469	45000.0	0.3	NIST	L11023
56.03	Ba	IV	615.024	30000.0	0.2	NIST	L11023
56.03	Ba	IV	618.114	50000.0	0.3333	NIST	L11023
56.03	Ba	IV	626.274	15000.0	0.1	NIST	L11023
56.03	Ba	IV	631.06	15000.0	0.1	NIST	L11023
56.03	Ba	IV	632.326	25000.0	0.1667	NIST	L11023
56.03	Ba	IV	659.67	4500.0	0.03	NIST	L11023
56.03	Ba	IV	683.308	4000.0	0.0267	NIST	L11023
56.03	Ba	IV	689.439	500.0	0.0033	NIST	L11023
56.03	Ba	IV	691.63	5000.0	0.0333	NIST	L11023
56.03	Ba	IV	694.628	25000.0	0.1667	NIST	L11023
56.03	Ba	IV	703.606	100.0	0.0007	NIST	L11023
56.03	Ba	IV	711.256	1.0	0.0	NIST	L11023
56.03	Ba	IV	775.365	12500.0	0.0833	NIST	L11023
56.03	Ba	IV	794.882	150000.0	1.0	NIST	L11023
56.03	Ba	IV	923.739	100000.0	0.6667	NIST	L11023
