atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
56.08	Ba	IX	134.405	10.0	0.0107	NIST	L11824
56.08	Ba	IX	137.651	30.0	0.0322	NIST	L11824
56.08	Ba	IX	181.353	40.0	0.0429	NIST	L11824
56.08	Ba	IX	184.502	30.0	0.0322	NIST	L11824
56.08	Ba	IX	274.397	34.0	0.0364	NIST	L11824
56.08	Ba	IX	278.851	52.0	0.0557	NIST	L11824
56.08	Ba	IX	295.32	70.0	0.075	NIST	L11824
56.08	Ba	IX	318.607	60.0	0.0643	NIST	L11824
56.08	Ba	IX	360.342	86.0	0.0922	NIST	L11824
56.08	Ba	IX	387.523	128.0	0.1372	NIST	L11824
56.08	Ba	IX	390.979	89.0	0.0954	NIST	L11824
56.08	Ba	IX	396.081	90.0	0.0965	NIST	L11824
56.08	Ba	IX	411.379	399.0	0.4277	NIST	L11824
56.08	Ba	IX	412.91	475.0	0.5091	NIST	L11824
56.08	Ba	IX	414.456	582.0	0.6238	NIST	L11824
56.08	Ba	IX	417.56	71.0	0.0761	NIST	L11824
56.08	Ba	IX	417.848	85.0	0.0911	NIST	L11824
56.08	Ba	IX	418.08	54.0	0.0579	NIST	L11824
56.08	Ba	IX	421.229	29.0	0.0311	NIST	L11824
56.08	Ba	IX	422.107	787.0	0.8435	NIST	L11824
56.08	Ba	IX	422.507	201.0	0.2154	NIST	L11824
56.08	Ba	IX	423.075	414.0	0.4437	NIST	L11824
56.08	Ba	IX	424.198	489.0	0.5241	NIST	L11824
56.08	Ba	IX	428.53	33.0	0.0354	NIST	L11824
56.08	Ba	IX	432.115	200.0	0.2144	NIST	L11824
56.08	Ba	IX	434.479	391.0	0.4191	NIST	L11824
56.08	Ba	IX	436.054	491.0	0.5263	NIST	L11824
56.08	Ba	IX	436.696	198.0	0.2122	NIST	L11824
56.08	Ba	IX	437.515	186.0	0.1994	NIST	L11824
56.08	Ba	IX	437.871	235.0	0.2519	NIST	L11824
56.08	Ba	IX	441.174	281.0	0.3012	NIST	L11824
56.08	Ba	IX	445.218	103.0	0.1104	NIST	L11824
56.08	Ba	IX	445.79	141.0	0.1511	NIST	L11824
56.08	Ba	IX	455.913	52.0	0.0557	NIST	L11824
56.08	Ba	IX	456.361	839.0	0.8992	NIST	L11824
56.08	Ba	IX	461.01	200.0	0.2144	NIST	L11824
56.08	Ba	IX	463.606	220.0	0.2358	NIST	L11824
56.08	Ba	IX	463.75	82.0	0.0879	NIST	L11824
56.08	Ba	IX	465.99	299.0	0.3205	NIST	L11824
56.08	Ba	IX	467.475	123.0	0.1318	NIST	L11824
56.08	Ba	IX	470.565	186.0	0.1994	NIST	L11824
56.08	Ba	IX	471.132	150.0	0.1608	NIST	L11824
56.08	Ba	IX	471.204	113.0	0.1211	NIST	L11824
56.08	Ba	IX	476.71	163.0	0.1747	NIST	L11824
56.08	Ba	IX	479.069	237.0	0.254	NIST	L11824
56.08	Ba	IX	487.455	483.0	0.5177	NIST	L11824
56.08	Ba	IX	505.593	338.0	0.3623	NIST	L11824
56.08	Ba	IX	517.997	156.0	0.1672	NIST	L11824
56.08	Ba	IX	524.224	327.0	0.3505	NIST	L11824
56.08	Ba	IX	526.51	100.0	0.1072	NIST	L11824
56.08	Ba	IX	547.049	97.0	0.104	NIST	L11824
56.08	Ba	IX	557.976	62.0	0.0665	NIST	L11824
56.08	Ba	IX	558.99	120.0	0.1286	NIST	L11824
56.08	Ba	IX	569.113	831.0	0.8907	NIST	L11824
56.08	Ba	IX	573.781	113.0	0.1211	NIST	L11824
56.08	Ba	IX	576.023	366.0	0.3923	NIST	L11824
56.08	Ba	IX	584.773	530.0	0.5681	NIST	L11824
56.08	Ba	IX	585.624	638.0	0.6838	NIST	L11824
56.08	Ba	IX	589.793	62.0	0.0665	NIST	L11824
56.08	Ba	IX	594.149	238.0	0.2551	NIST	L11824
56.08	Ba	IX	597.815	845.0	0.9057	NIST	L11824
56.08	Ba	IX	600.825	310.0	0.3323	NIST	L11824
56.08	Ba	IX	602.041	105.0	0.1125	NIST	L11824
56.08	Ba	IX	603.543	355.0	0.3805	NIST	L11824
56.08	Ba	IX	603.925	132.0	0.1415	NIST	L11824
56.08	Ba	IX	605.38	512.0	0.5488	NIST	L11824
56.08	Ba	IX	610.137	541.0	0.5798	NIST	L11824
56.08	Ba	IX	612.913	303.0	0.3248	NIST	L11824
56.08	Ba	IX	614.872	446.0	0.478	NIST	L11824
56.08	Ba	IX	615.401	181.0	0.194	NIST	L11824
56.08	Ba	IX	618.402	114.0	0.1222	NIST	L11824
56.08	Ba	IX	621.526	367.0	0.3934	NIST	L11824
56.08	Ba	IX	624.857	381.0	0.4084	NIST	L11824
56.08	Ba	IX	629.19	463.0	0.4962	NIST	L11824
56.08	Ba	IX	634.744	515.0	0.552	NIST	L11824
56.08	Ba	IX	634.987	113.0	0.1211	NIST	L11824
56.08	Ba	IX	644.256	515.0	0.552	NIST	L11824
56.08	Ba	IX	647.822	377.0	0.4041	NIST	L11824
56.08	Ba	IX	650.0	383.0	0.4105	NIST	L11824
56.08	Ba	IX	651.756	356.0	0.3816	NIST	L11824
56.08	Ba	IX	651.923	183.0	0.1961	NIST	L11824
56.08	Ba	IX	653.987	218.0	0.2337	NIST	L11824
56.08	Ba	IX	677.494	505.0	0.5413	NIST	L11824
56.08	Ba	IX	678.997	501.0	0.537	NIST	L11824
56.08	Ba	IX	687.715	249.0	0.2669	NIST	L11824
56.08	Ba	IX	688.771	439.0	0.4705	NIST	L11824
56.08	Ba	IX	695.944	188.0	0.2015	NIST	L11824
56.08	Ba	IX	698.488	88.0	0.0943	NIST	L11824
56.08	Ba	IX	710.944	107.0	0.1147	NIST	L11824
56.08	Ba	IX	718.903	116.0	0.1243	NIST	L11824
56.08	Ba	IX	725.371	281.0	0.3012	NIST	L11824
56.08	Ba	IX	730.533	46.0	0.0493	NIST	L11824
56.08	Ba	IX	739.202	152.0	0.1629	NIST	L11824
56.08	Ba	IX	739.589	208.0	0.2229	NIST	L11824
56.08	Ba	IX	743.906	313.0	0.3355	NIST	L11824
56.08	Ba	IX	744.298	357.0	0.3826	NIST	L11824
56.08	Ba	IX	762.94	45.0	0.0482	NIST	L11824
56.08	Ba	IX	764.73	244.0	0.2615	NIST	L11824
56.08	Ba	IX	767.792	228.0	0.2444	NIST	L11824
56.08	Ba	IX	771.448	121.0	0.1297	NIST	L11824
56.08	Ba	IX	777.019	102.0	0.1093	NIST	L11824
56.08	Ba	IX	782.595	177.0	0.1897	NIST	L11824
56.08	Ba	IX	783.023	149.0	0.1597	NIST	L11824
56.08	Ba	IX	792.138	58.0	0.0622	NIST	L11824
56.08	Ba	IX	794.168	55.0	0.0589	NIST	L11824
56.08	Ba	IX	814.253	409.0	0.4384	NIST	L11824
56.08	Ba	IX	814.707	165.0	0.1768	NIST	L11824
56.08	Ba	IX	815.954	142.0	0.1522	NIST	L11824
56.08	Ba	IX	833.738	933.0	1.0	NIST	L11824
56.08	Ba	IX	874.3	296.0	0.3173	NIST	L11824
