atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
56.10	Ba	XI	101.391	70.0	0.0879	NIST	L9885
56.10	Ba	XI	122.103	70.0	0.0879	NIST	L9885
56.10	Ba	XI	124.001	50.0	0.0628	NIST	L9885
56.10	Ba	XI	125.042	100.0	0.1256	NIST	L9885
56.10	Ba	XI	126.908	30.0	0.0377	NIST	L9885
56.10	Ba	XI	340.585	64.0	0.0804	NIST	L9885
56.10	Ba	XI	374.12	68.0	0.0854	NIST	L9885
56.10	Ba	XI	375.166	35.0	0.044	NIST	L9885
56.10	Ba	XI	375.815	150.0	0.1884	NIST	L9885
56.10	Ba	XI	378.308	53.0	0.0666	NIST	L9885
56.10	Ba	XI	380.044	266.0	0.3342	NIST	L9885
56.10	Ba	XI	381.177	222.0	0.2789	NIST	L9885
56.10	Ba	XI	381.306	35.0	0.044	NIST	L9885
56.10	Ba	XI	382.36	70.0	0.0879	NIST	L9885
56.10	Ba	XI	384.297	458.0	0.5754	NIST	L9885
56.10	Ba	XI	385.281	48.0	0.0603	NIST	L9885
56.10	Ba	XI	385.542	76.0	0.0955	NIST	L9885
56.10	Ba	XI	387.057	71.0	0.0892	NIST	L9885
56.10	Ba	XI	388.449	720.0	0.9045	NIST	L9885
56.10	Ba	XI	388.558	363.0	0.456	NIST	L9885
56.10	Ba	XI	388.744	24.0	0.0302	NIST	L9885
56.10	Ba	XI	389.066	48.0	0.0603	NIST	L9885
56.10	Ba	XI	389.667	121.0	0.152	NIST	L9885
56.10	Ba	XI	390.079	56.0	0.0704	NIST	L9885
56.10	Ba	XI	390.181	100.0	0.1256	NIST	L9885
56.10	Ba	XI	390.82	134.0	0.1683	NIST	L9885
56.10	Ba	XI	390.979	154.0	0.1935	NIST	L9885
56.10	Ba	XI	391.547	63.0	0.0791	NIST	L9885
56.10	Ba	XI	393.332	47.0	0.059	NIST	L9885
56.10	Ba	XI	394.514	371.0	0.4661	NIST	L9885
56.10	Ba	XI	395.049	178.0	0.2236	NIST	L9885
56.10	Ba	XI	395.213	314.0	0.3945	NIST	L9885
56.10	Ba	XI	395.919	125.0	0.157	NIST	L9885
56.10	Ba	XI	396.078	353.0	0.4435	NIST	L9885
56.10	Ba	XI	396.865	403.0	0.5063	NIST	L9885
56.10	Ba	XI	396.948	247.0	0.3103	NIST	L9885
56.10	Ba	XI	397.199	270.0	0.3392	NIST	L9885
56.10	Ba	XI	399.806	81.0	0.1018	NIST	L9885
56.10	Ba	XI	401.361	99.0	0.1244	NIST	L9885
56.10	Ba	XI	402.611	84.0	0.1055	NIST	L9885
56.10	Ba	XI	404.244	186.0	0.2337	NIST	L9885
56.10	Ba	XI	404.93	174.0	0.2186	NIST	L9885
56.10	Ba	XI	405.172	191.0	0.2399	NIST	L9885
56.10	Ba	XI	406.394	99.0	0.1244	NIST	L9885
56.10	Ba	XI	407.46	132.0	0.1658	NIST	L9885
56.10	Ba	XI	409.651	113.0	0.142	NIST	L9885
56.10	Ba	XI	411.807	368.0	0.4623	NIST	L9885
56.10	Ba	XI	413.654	333.0	0.4183	NIST	L9885
56.10	Ba	XI	414.264	213.0	0.2676	NIST	L9885
56.10	Ba	XI	417.156	245.0	0.3078	NIST	L9885
56.10	Ba	XI	425.319	356.0	0.4472	NIST	L9885
56.10	Ba	XI	425.461	780.0	0.9799	NIST	L9885
56.10	Ba	XI	425.677	373.0	0.4686	NIST	L9885
56.10	Ba	XI	426.504	298.0	0.3744	NIST	L9885
56.10	Ba	XI	426.605	720.0	0.9045	NIST	L9885
56.10	Ba	XI	427.122	550.0	0.691	NIST	L9885
56.10	Ba	XI	427.659	472.0	0.593	NIST	L9885
56.10	Ba	XI	427.975	453.0	0.5691	NIST	L9885
56.10	Ba	XI	428.311	145.0	0.1822	NIST	L9885
56.10	Ba	XI	429.3	616.0	0.7739	NIST	L9885
56.10	Ba	XI	431.742	451.0	0.5666	NIST	L9885
56.10	Ba	XI	431.904	172.0	0.2161	NIST	L9885
56.10	Ba	XI	432.51	154.0	0.1935	NIST	L9885
56.10	Ba	XI	433.449	284.0	0.3568	NIST	L9885
56.10	Ba	XI	433.591	255.0	0.3204	NIST	L9885
56.10	Ba	XI	434.305	211.0	0.2651	NIST	L9885
56.10	Ba	XI	434.97	122.0	0.1533	NIST	L9885
56.10	Ba	XI	435.201	63.0	0.0791	NIST	L9885
56.10	Ba	XI	435.525	131.0	0.1646	NIST	L9885
56.10	Ba	XI	436.073	129.0	0.1621	NIST	L9885
56.10	Ba	XI	439.078	238.0	0.299	NIST	L9885
56.10	Ba	XI	439.412	215.0	0.2701	NIST	L9885
56.10	Ba	XI	439.695	79.0	0.0992	NIST	L9885
56.10	Ba	XI	440.437	325.0	0.4083	NIST	L9885
56.10	Ba	XI	440.786	175.0	0.2198	NIST	L9885
56.10	Ba	XI	447.505	132.0	0.1658	NIST	L9885
56.10	Ba	XI	447.85	147.0	0.1847	NIST	L9885
56.10	Ba	XI	449.865	86.0	0.108	NIST	L9885
56.10	Ba	XI	452.201	61.0	0.0766	NIST	L9885
56.10	Ba	XI	467.408	152.0	0.191	NIST	L9885
56.10	Ba	XI	512.573	79.0	0.0992	NIST	L9885
