atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
56.11	Ba	XII	96.924	38.0	0.6333	NIST	L8885
56.11	Ba	XII	97.058	10.0	0.1667	NIST	L8885
56.11	Ba	XII	99.155	60.0	1.0	NIST	L8885
56.11	Ba	XII	99.183	52.0	0.8667	NIST	L8885
56.11	Ba	XII	99.33	51.0	0.85	NIST	L8885
56.11	Ba	XII	99.828	57.0	0.95	NIST	L8885
56.11	Ba	XII	100.13	50.0	0.8333	NIST	L8885
56.11	Ba	XII	104.182	50.0	0.8333	NIST	L8885
56.11	Ba	XII	106.635	16.0	0.2667	NIST	L8885
56.11	Ba	XII	109.43	26.0	0.4333	NIST	L8885
56.11	Ba	XII	109.581	5.0	0.0833	NIST	L8885
56.11	Ba	XII	109.898	30.0	0.5	NIST	L8885
56.11	Ba	XII	110.17	7.0	0.1167	NIST	L8885
56.11	Ba	XII	110.347	18.0	0.3	NIST	L8885
56.11	Ba	XII	110.875	8.0	0.1333	NIST	L8885
56.11	Ba	XII	111.28	8.0	0.1333	NIST	L8885
56.11	Ba	XII	111.413	26.0	0.4333	NIST	L8885
56.11	Ba	XII	111.774	35.0	0.5833	NIST	L8885
56.11	Ba	XII	111.922	50.0	0.8333	NIST	L8885
56.11	Ba	XII	112.204	16.0	0.2667	NIST	L8885
56.11	Ba	XII	112.295	40.0	0.6667	NIST	L8885
56.11	Ba	XII	112.437	28.0	0.4667	NIST	L8885
56.11	Ba	XII	112.606	19.0	0.3167	NIST	L8885
56.11	Ba	XII	112.676	8.0	0.1333	NIST	L8885
56.11	Ba	XII	112.916	32.0	0.5333	NIST	L8885
56.11	Ba	XII	113.531	15.0	0.25	NIST	L8885
56.11	Ba	XII	113.552	52.0	0.8667	NIST	L8885
56.11	Ba	XII	113.651	60.0	1.0	NIST	L8885
56.11	Ba	XII	113.698	43.0	0.7167	NIST	L8885
56.11	Ba	XII	113.986	21.0	0.35	NIST	L8885
56.11	Ba	XII	114.08	52.0	0.8667	NIST	L8885
56.11	Ba	XII	114.153	47.0	0.7833	NIST	L8885
56.11	Ba	XII	114.173	48.0	0.8	NIST	L8885
56.11	Ba	XII	114.218	10.0	0.1667	NIST	L8885
56.11	Ba	XII	114.458	52.0	0.8667	NIST	L8885
56.11	Ba	XII	114.594	45.0	0.75	NIST	L8885
56.11	Ba	XII	114.765	45.0	0.75	NIST	L8885
56.11	Ba	XII	114.806	59.0	0.9833	NIST	L8885
56.11	Ba	XII	115.0	41.0	0.6833	NIST	L8885
56.11	Ba	XII	115.071	43.0	0.7167	NIST	L8885
56.11	Ba	XII	115.295	35.0	0.5833	NIST	L8885
56.11	Ba	XII	115.429	24.0	0.4	NIST	L8885
56.11	Ba	XII	115.473	53.0	0.8833	NIST	L8885
56.11	Ba	XII	115.632	60.0	1.0	NIST	L8885
56.11	Ba	XII	115.994	25.0	0.4167	NIST	L8885
56.11	Ba	XII	116.038	14.0	0.2333	NIST	L8885
56.11	Ba	XII	116.372	53.0	0.8833	NIST	L8885
56.11	Ba	XII	116.47	10.0	0.1667	NIST	L8885
56.11	Ba	XII	116.59	12.0	0.2	NIST	L8885
56.11	Ba	XII	116.623	37.0	0.6167	NIST	L8885
56.11	Ba	XII	116.659	6.0	0.1	NIST	L8885
56.11	Ba	XII	116.794	54.0	0.9	NIST	L8885
56.11	Ba	XII	117.1	8.0	0.1333	NIST	L8885
56.11	Ba	XII	117.31	14.0	0.2333	NIST	L8885
56.11	Ba	XII	117.746	11.0	0.1833	NIST	L8885
56.11	Ba	XII	118.236	18.0	0.3	NIST	L8885
56.11	Ba	XII	118.585	25.0	0.4167	NIST	L8885
56.11	Ba	XII	118.656	16.0	0.2667	NIST	L8885
56.11	Ba	XII	118.713	29.0	0.4833	NIST	L8885
56.11	Ba	XII	119.042	23.0	0.3833	NIST	L8885
56.11	Ba	XII	119.105	9.0	0.15	NIST	L8885
56.11	Ba	XII	119.611	10.0	0.1667	NIST	L8885
56.11	Ba	XII	120.184	16.0	0.2667	NIST	L8885
56.11	Ba	XII	120.428	19.0	0.3167	NIST	L8885
56.11	Ba	XII	121.07	14.0	0.2333	NIST	L8885
56.11	Ba	XII	121.854	10.0	0.1667	NIST	L8885
56.11	Ba	XII	121.924	12.0	0.2	NIST	L8885
56.11	Ba	XII	122.179	15.0	0.25	NIST	L8885
56.11	Ba	XII	122.317	16.0	0.2667	NIST	L8885
56.11	Ba	XII	122.725	11.0	0.1833	NIST	L8885
56.11	Ba	XII	123.036	17.0	0.2833	NIST	L8885
56.11	Ba	XII	123.59	16.0	0.2667	NIST	L8885
56.11	Ba	XII	125.56	18.0	0.3	NIST	L8885
56.11	Ba	XII	126.009	10.0	0.1667	NIST	L8885
56.11	Ba	XII	128.537	8.0	0.1333	NIST	L8885
56.11	Ba	XII	129.104	6.0	0.1	NIST	L8885
56.11	Ba	XII	131.812	11.0	0.1833	NIST	L8885
56.11	Ba	XII	139.916	15.0	0.25	NIST	L8885
56.11	Ba	XII	144.37	7.0	0.1167	NIST	L8885
