atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
04.01	Be	II	92.53	4.0	0.0017	NIST	L12158
04.01	Be	II	93.16	11.0	0.0047	NIST	L12158
04.01	Be	II	93.43	11.0	0.0047	NIST	L12158
04.01	Be	II	93.71	7.0	0.003	NIST	L12158
04.01	Be	II	93.93	2.0	0.0008	NIST	L12158
04.01	Be	II	94.56	8.0	0.0034	NIST	L12158
04.01	Be	II	94.79	21.0	0.0089	NIST	L12158
04.01	Be	II	95.34	8.0	0.0034	NIST	L12158
04.01	Be	II	95.62	20.0	0.0085	NIST	L12158
04.01	Be	II	95.734	25.0	0.0106	NIST	L12158
04.01	Be	II	95.77	20.0	0.0085	NIST	L12158
04.01	Be	II	96.02	5.0	0.0021	NIST	L12158
04.01	Be	II	96.25	15.0	0.0064	NIST	L12158
04.01	Be	II	97.88	7.0	0.003	NIST	L12158
04.01	Be	II	100.55	25.0	0.0106	NIST	L12158
04.01	Be	II	100.778	25.0	0.0106	NIST	L12158
04.01	Be	II	100.949	40.0	0.0169	NIST	L12158
04.01	Be	II	101.75	10.0	0.0042	NIST	L12158
04.01	Be	II	102.35	5.0	0.0021	NIST	L12158
04.01	Be	II	102.49	5.0	0.0021	NIST	L12158
04.01	Be	II	104.01	15.0	0.0064	NIST	L12158
04.01	Be	II	104.4	50.0	0.0212	NIST	L12158
04.01	Be	II	104.65	35.0	0.0148	NIST	L12158
04.01	Be	II	601.5	1.0	0.0004	NIST	L12158
04.01	Be	II	604.1	1.0	0.0004	NIST	L12158
04.01	Be	II	609.6	1.0	0.0004	NIST	L12158
04.01	Be	II	664.5	1.0	0.0004	NIST	L12158
04.01	Be	II	714.2	5.0	0.0021	NIST	L12158
04.01	Be	II	714.6	5.0	0.0021	NIST	L12158
04.01	Be	II	716.4	3.0	0.0013	NIST	L12158
04.01	Be	II	725.71	250.0	0.1059	NIST	L12158
04.01	Be	II	736.4	5.0	0.0021	NIST	L12158
04.01	Be	II	742.0	3.0	0.0013	NIST	L12158
04.01	Be	II	743.579	150.0	0.0636	NIST	L12158
04.01	Be	II	754.4	3.0	0.0013	NIST	L12158
04.01	Be	II	775.375	200.0	0.0847	NIST	L12158
04.01	Be	II	803.1	3.0	0.0013	NIST	L12158
04.01	Be	II	842.057	350.0	0.1483	NIST	L12158
04.01	Be	II	867.1	17.0	0.0072	NIST	L12158
04.01	Be	II	877.5	1.0	0.0004	NIST	L12158
04.01	Be	II	923.8	3.0	0.0013	NIST	L12158
04.01	Be	II	925.246	250.0	0.1059	NIST	L12158
04.01	Be	II	943.559	200.0	0.0847	NIST	L12158
04.01	Be	II	949.746	50.0	0.0212	NIST	L12158
04.01	Be	II	960.0	3.0	0.0013	NIST	L12158
04.01	Be	II	973.266	250.0	0.1059	NIST	L12158
04.01	Be	II	981.7	7.0	0.003	NIST	L12158
04.01	Be	II	984.025	100.0	0.0424	NIST	L12158
04.01	Be	II	1006.5	3.0	0.0013	NIST	L12158
04.01	Be	II	1020.1	3.0	0.0013	NIST	L12158
04.01	Be	II	1026.926	300.0	0.1271	NIST	L12158
04.01	Be	II	1036.271	400.0	0.1695	NIST	L12158
04.01	Be	II	1048.234	300.0	0.1271	NIST	L12158
04.01	Be	II	1111.8	9.0	0.0038	NIST	L12158
04.01	Be	II	1142.956	350.0	0.1483	NIST	L12158
04.01	Be	II	1143.03	350.0	0.1483	NIST	L12158
04.01	Be	II	1155.9	40.0	0.0169	NIST	L12158
04.01	Be	II	1187.5	9.0	0.0038	NIST	L12158
04.01	Be	II	1197.19	500.0	0.2119	NIST	L12158
04.01	Be	II	1512.258	810.0	0.3432	NIST	L12158
04.01	Be	II	1512.412	960.0	0.4068	NIST	L12158
04.01	Be	II	1776.1	610.0	0.2585	NIST	L12158
04.01	Be	II	1776.307	810.0	0.3432	NIST	L12158
04.01	Be	II	2161.275	50.0	0.0212	NIST	L12158
04.01	Be	II	2296.97	250.0	0.1059	NIST	L12158
04.01	Be	II	2324.6	40.0	0.0169	NIST	L12158
04.01	Be	II	2413.34	10.0	0.0042	NIST	L12158
04.01	Be	II	2413.455	210.0	0.089	NIST	L12158
04.01	Be	II	2453.844	310.0	0.1314	NIST	L12158
04.01	Be	II	2507.429	210.0	0.089	NIST	L12158
04.01	Be	II	2562.9	5.0	0.0021	NIST	L12158
04.01	Be	II	2599.2	11.0	0.0047	NIST	L12158
04.01	Be	II	2617.985	110.0	0.0466	NIST	L12158
04.01	Be	II	2618.133	310.0	0.1314	NIST	L12158
04.01	Be	II	2697.455	110.0	0.0466	NIST	L12158
04.01	Be	II	2697.585	310.0	0.1314	NIST	L12158
04.01	Be	II	2728.877	310.0	0.1314	NIST	L12158
04.01	Be	II	2764.2	3.0	0.0013	NIST	L12158
04.01	Be	II	2828.8	1.0	0.0004	NIST	L12158
04.01	Be	II	2845.3	3.0	0.0013	NIST	L12158
04.01	Be	II	3046.524	210.0	0.089	NIST	L12158
04.01	Be	II	3046.691	410.0	0.1737	NIST	L12158
04.01	Be	II	3130.4219	2360.0	1.0	NIST	L12158
04.01	Be	II	3131.0667	2160.0	0.9153	NIST	L12158
04.01	Be	II	3179.87	25.0	0.0106	NIST	L12158
04.01	Be	II	3197.103	310.0	0.1314	NIST	L12158
04.01	Be	II	3197.149	410.0	0.1737	NIST	L12158
