atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
83.01	Bi	II	1058.88	15.0	0.15	NIST	L3331
83.01	Bi	II	1085.47	20.0	0.2	NIST	L3331
83.01	Bi	II	1099.2	10.0	0.1	NIST	L3331
83.01	Bi	II	1163.19	8.0	0.08	NIST	L3331
83.01	Bi	II	1167.06	8.0	0.08	NIST	L3331
83.01	Bi	II	1225.43	10.0	0.1	NIST	L3331
83.01	Bi	II	1232.78	15.0	0.15	NIST	L3331
83.01	Bi	II	1241.045	10.0	0.1	NIST	L9843
83.01	Bi	II	1265.35	10.0	0.1	NIST	L3331
83.01	Bi	II	1283.715	15.0	0.15	NIST	L9843
83.01	Bi	II	1306.18	10.0	0.1	NIST	L3331
83.01	Bi	II	1325.46	20.0	0.2	NIST	L3331
83.01	Bi	II	1329.47	20.0	0.2	NIST	L3331
83.01	Bi	II	1350.07	20.0	0.2	NIST	L3331
83.01	Bi	II	1372.61	25.0	0.25	NIST	L3331
83.01	Bi	II	1376.02	15.0	0.15	NIST	L3331
83.01	Bi	II	1393.92	20.0	0.2	NIST	L3331
83.01	Bi	II	1436.81	45.0	0.45	NIST	L9843
83.01	Bi	II	1447.94	25.0	0.25	NIST	L3331
83.01	Bi	II	1455.091	50.0	0.5	NIST	L9843
83.01	Bi	II	1462.14	25.0	0.25	NIST	L3331
83.01	Bi	II	1486.954	35.0	0.35	NIST	L9843
83.01	Bi	II	1502.5	20.0	0.2	NIST	L3331
83.01	Bi	II	1520.549	40.0	0.4	NIST	L9843
83.01	Bi	II	1533.139	40.0	0.4	NIST	L9843
83.01	Bi	II	1536.745	30.0	0.3	NIST	L9843
83.01	Bi	II	1538.037	35.0	0.35	NIST	L9843
83.01	Bi	II	1563.67	20.0	0.2	NIST	L3331
83.01	Bi	II	1573.69	40.0	0.4	NIST	L9843
83.01	Bi	II	1591.76	60.0	0.6	NIST	L9843
83.01	Bi	II	1601.58	25.0	0.25	NIST	L3331
83.01	Bi	II	1609.69	40.0	0.4	NIST	L9843
83.01	Bi	II	1611.358	40.0	0.4	NIST	L9843
83.01	Bi	II	1652.81	20.0	0.2	NIST	L3331
83.01	Bi	II	1749.29	20.0	0.2	NIST	L3331
83.01	Bi	II	1777.05	80.0	0.8	NIST	L9843
83.01	Bi	II	1787.406	60.0	0.6	NIST	L9843
83.01	Bi	II	1791.842	70.0	0.7	NIST	L9843
83.01	Bi	II	1823.728	70.0	0.7	NIST	L9843
83.01	Bi	II	1902.341	100.0	1.0	NIST	L9843
83.01	Bi	II	1989.35	25.0	0.25	NIST	L3331
83.01	Bi	II	2068.937	45.0	0.45	NIST	L9843
83.01	Bi	II	2143.4	15.0	0.15	NIST	L3331
83.01	Bi	II	2143.46	15.0	0.15	NIST	L3331
83.01	Bi	II	2186.93	60.0	0.6	NIST	L9887
83.01	Bi	II	2214.031	40.0	0.4	NIST	L9887
83.01	Bi	II	2368.12	16.0	0.16	NIST	L3331
83.01	Bi	II	2368.384	12.0	0.12	NIST	L9887
83.01	Bi	II	2501.0	10.0	0.1	NIST	L3331
83.01	Bi	II	2544.5	20.0	0.2	NIST	L3331
83.01	Bi	II	2693.0	12.0	0.12	NIST	L3331
83.01	Bi	II	2713.3	20.0	0.2	NIST	L3331
83.01	Bi	II	2803.42	15.0	0.15	NIST	L3331
83.01	Bi	II	2803.7	11.0	0.11	NIST	L3331
83.01	Bi	II	2805.3	12.0	0.12	NIST	L3331
83.01	Bi	II	2936.7	15.0	0.15	NIST	L3331
83.01	Bi	II	2950.4	20.0	0.2	NIST	L3331
83.01	Bi	II	2963.4	12.0	0.12	NIST	L3331
83.01	Bi	II	3430.605	10.0	0.1	NIST	L9887
83.01	Bi	II	3431.23	12.0	0.12	NIST	L3331
83.01	Bi	II	3654.2	12.0	0.12	NIST	L3331
83.01	Bi	II	3792.564	70.0	0.7	NIST	L9887
83.01	Bi	II	3811.1	12.0	0.12	NIST	L3331
83.01	Bi	II	3815.8	20.0	0.2	NIST	L3331
83.01	Bi	II	3845.8	10.0	0.1	NIST	L3331
83.01	Bi	II	3864.025	30.0	0.3	NIST	L9887
83.01	Bi	II	4079.072	40.0	0.4	NIST	L9887
83.01	Bi	II	4097.2	10.0	0.1	NIST	L3331
83.01	Bi	II	4259.413	75.0	0.75	NIST	L9887
83.01	Bi	II	4272.0	25.0	0.25	NIST	L3331
83.01	Bi	II	4301.697	70.0	0.7	NIST	L9887
83.01	Bi	II	4339.8	12.0	0.12	NIST	L3331
83.01	Bi	II	4340.5	25.0	0.25	NIST	L3331
83.01	Bi	II	4379.4	12.0	0.12	NIST	L3331
83.01	Bi	II	4476.8	25.0	0.25	NIST	L3331
83.01	Bi	II	4705.285	60.0	0.6	NIST	L9887
83.01	Bi	II	4730.267	30.0	0.3	NIST	L9887
83.01	Bi	II	4749.7	20.0	0.2	NIST	L3331
83.01	Bi	II	4908.2	12.0	0.12	NIST	L3331
83.01	Bi	II	4916.6	10.0	0.1	NIST	L3331
83.01	Bi	II	4969.7	12.0	0.12	NIST	L3331
83.01	Bi	II	4993.6	20.0	0.2	NIST	L3331
83.01	Bi	II	5091.6	10.0	0.1	NIST	L3331
83.01	Bi	II	5124.356	50.0	0.5	NIST	L9887
83.01	Bi	II	5144.492	60.0	0.6	NIST	L9887
83.01	Bi	II	5201.5	20.0	0.2	NIST	L3331
83.01	Bi	II	5209.325	75.0	0.75	NIST	L9887
83.01	Bi	II	5270.512	40.0	0.4	NIST	L9887
83.01	Bi	II	5397.8	10.0	0.1	NIST	L3331
83.01	Bi	II	5655.2	20.0	0.2	NIST	L3331
83.01	Bi	II	5719.138	40.0	0.4	NIST	L9887
83.01	Bi	II	5818.3	12.0	0.12	NIST	L3331
83.01	Bi	II	5860.2	20.0	0.2	NIST	L3331
83.01	Bi	II	5973.0	20.0	0.2	NIST	L3331
83.01	Bi	II	6059.1	15.0	0.15	NIST	L3331
83.01	Bi	II	6128.0	15.0	0.15	NIST	L3331
83.01	Bi	II	6497.7	15.0	0.15	NIST	L3331
83.01	Bi	II	6577.2	10.0	0.1	NIST	L3331
83.01	Bi	II	6600.339	40.0	0.4	NIST	L3331
83.01	Bi	II	6809.196	50.0	0.5	NIST	L3331
