atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
83.02	Bi	III	590.73	1.0	0.0125	NIST	L3331
83.02	Bi	III	670.76	5.0	0.0625	NIST	L3331
83.02	Bi	III	775.16	4.0	0.05	NIST	L3331
83.02	Bi	III	803.65	6.0	0.075	NIST	L3331
83.02	Bi	III	920.93	7.0	0.0875	NIST	L3331
83.02	Bi	III	925.48	6.0	0.075	NIST	L3331
83.02	Bi	III	1039.99	25.0	0.3125	NIST	L3331
83.02	Bi	III	1045.76	50.0	0.625	NIST	L3331
83.02	Bi	III	1051.81	30.0	0.375	NIST	L3331
83.02	Bi	III	1139.01	20.0	0.25	NIST	L3331
83.02	Bi	III	1145.91	15.0	0.1875	NIST	L3331
83.02	Bi	III	1224.64	50.0	0.625	NIST	L3331
83.02	Bi	III	1326.84	40.0	0.5	NIST	L3331
83.02	Bi	III	1346.12	60.0	0.75	NIST	L3331
83.02	Bi	III	1423.33	35.0	0.4375	NIST	L3331
83.02	Bi	III	1423.52	35.0	0.4375	NIST	L3331
83.02	Bi	III	1461.0	60.0	0.75	NIST	L3331
83.02	Bi	III	1606.4	60.0	0.75	NIST	L3331
83.02	Bi	III	1691.5	20.0	0.25	NIST	L3331
83.02	Bi	III	1834.32	20.0	0.25	NIST	L3331
83.02	Bi	III	1863.9	10.0	0.125	NIST	L3331
83.02	Bi	III	1912.12	10.0	0.125	NIST	L3331
83.02	Bi	III	1988.26	10.0	0.125	NIST	L3331
83.02	Bi	III	2020.75	20.0	0.25	NIST	L3331
83.02	Bi	III	2021.15	20.0	0.25	NIST	L3331
83.02	Bi	III	2073.22	10.0	0.125	NIST	L3331
83.02	Bi	III	2073.37	14.0	0.175	NIST	L3331
83.02	Bi	III	2103.42	15.0	0.1875	NIST	L3331
83.02	Bi	III	2213.55	30.0	0.375	NIST	L3331
83.02	Bi	III	2414.6	75.0	0.9375	NIST	L3331
83.02	Bi	III	2437.6	10.0	0.125	NIST	L3331
83.02	Bi	III	2847.4	30.0	0.375	NIST	L3331
83.02	Bi	III	2855.6	80.0	1.0	NIST	L3331
83.02	Bi	III	3115.0	35.0	0.4375	NIST	L3331
83.02	Bi	III	3451.0	40.0	0.5	NIST	L3331
83.02	Bi	III	3473.8	40.0	0.5	NIST	L3331
83.02	Bi	III	3485.5	35.0	0.4375	NIST	L3331
83.02	Bi	III	3540.8	15.0	0.1875	NIST	L3331
83.02	Bi	III	3613.4	45.0	0.5625	NIST	L3331
83.02	Bi	III	3695.32	50.0	0.625	NIST	L3331
83.02	Bi	III	3695.68	50.0	0.625	NIST	L3331
83.02	Bi	III	4224.6	12.0	0.15	NIST	L3331
83.02	Bi	III	4327.8	25.0	0.3125	NIST	L3331
83.02	Bi	III	4560.84	30.0	0.375	NIST	L3331
83.02	Bi	III	4561.54	30.0	0.375	NIST	L3331
83.02	Bi	III	4797.4	40.0	0.5	NIST	L3331
83.02	Bi	III	5079.3	45.0	0.5625	NIST	L3331
83.02	Bi	III	6623.4	12.0	0.15	NIST	L3331
