atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
35.01	Br	II	711.68	300.0	0.3	NIST	L7484
35.01	Br	II	815.48	250.0	0.25	NIST	L7484
35.01	Br	II	856.19	350.0	0.35	NIST	L7484
35.01	Br	II	889.23	1000.0	1.0	NIST	L7484
35.01	Br	II	896.64	500.0	0.5	NIST	L7484
35.01	Br	II	905.99	500.0	0.5	NIST	L7484
35.01	Br	II	922.56	300.0	0.3	NIST	L7484
35.01	Br	II	948.97	1000.0	1.0	NIST	L7484
35.01	Br	II	984.93	500.0	0.5	NIST	L7484
35.01	Br	II	1012.1	500.0	0.5	NIST	L7392
35.01	Br	II	1015.54	1000.0	1.0	NIST	L7484
35.01	Br	II	1037.02	500.0	0.5	NIST	L7392
35.01	Br	II	1049.0	1000.0	1.0	NIST	L7484
35.01	Br	II	1064.76	450.0	0.45	NIST	L7484
35.01	Br	II	1071.87	500.0	0.5	NIST	L7392
35.01	Br	II	2285.17	350.0	0.35	NIST	L7392
35.01	Br	II	2287.6	350.0	0.35	NIST	L7392
35.01	Br	II	2317.3	500.0	0.5	NIST	L7392
35.01	Br	II	2336.93	400.0	0.4	NIST	L7392
35.01	Br	II	2386.45	350.0	0.35	NIST	L7392
35.01	Br	II	2386.7	500.0	0.5	NIST	L7392
35.01	Br	II	2388.69	300.0	0.3	NIST	L7392
35.01	Br	II	2388.96	450.0	0.45	NIST	L7392
35.01	Br	II	2389.69	500.0	0.5	NIST	L7392
35.01	Br	II	2392.21	350.0	0.35	NIST	L7392
35.01	Br	II	2392.42	400.0	0.4	NIST	L7392
35.01	Br	II	2488.5	300.0	0.3	NIST	L7392
35.01	Br	II	2495.22	300.0	0.3	NIST	L7392
35.01	Br	II	2521.7	450.0	0.45	NIST	L7392
35.01	Br	II	2541.48	400.0	0.4	NIST	L7392
35.01	Br	II	2556.92	400.0	0.4	NIST	L7392
35.01	Br	II	2690.17	350.0	0.35	NIST	L7392
35.01	Br	II	2713.77	400.0	0.4	NIST	L7392
35.01	Br	II	2746.52	350.0	0.35	NIST	L7392
35.01	Br	II	2807.55	300.0	0.3	NIST	L7392
35.01	Br	II	2893.4	400.0	0.4	NIST	L7392
35.01	Br	II	2917.18	400.0	0.4	NIST	L7392
35.01	Br	II	2967.21	400.0	0.4	NIST	L7392
35.01	Br	II	2972.26	500.0	0.5	NIST	L7392
35.01	Br	II	2981.86	300.0	0.3	NIST	L7392
