atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
35.02	Br	III	611.1	450.0	0.9	NIST	L7483
35.02	Br	III	620.4	300.0	0.6	NIST	L7483
35.02	Br	III	665.54	500.0	1.0	NIST	L773
35.02	Br	III	677.19	500.0	1.0	NIST	L773
35.02	Br	III	677.8	300.0	0.6	NIST	L7483
35.02	Br	III	687.68	450.0	0.9	NIST	L773
35.02	Br	III	690.2	400.0	0.8	NIST	L7483
35.02	Br	III	696.99	350.0	0.7	NIST	L773
35.02	Br	III	727.0	300.0	0.6	NIST	L7483
35.02	Br	III	736.4	300.0	0.6	NIST	L7483
35.02	Br	III	769.63	250.0	0.5	NIST	L773
35.02	Br	III	817.79	250.0	0.5	NIST	L773
35.02	Br	III	949.0	350.0	0.7	NIST	L7483
35.02	Br	III	960.4	400.0	0.8	NIST	L7483
35.02	Br	III	984.9	450.0	0.9	NIST	L7483
35.02	Br	III	1313.5	250.0	0.5	NIST	L7483
35.02	Br	III	1402.9	250.0	0.5	NIST	L7483
35.02	Br	III	2293.44	400.0	0.8	NIST	L7483
35.02	Br	III	2313.29	300.0	0.6	NIST	L7483
35.02	Br	III	2462.39	300.0	0.6	NIST	L7483
35.02	Br	III	2482.6	300.0	0.6	NIST	L7483
35.02	Br	III	2499.25	350.0	0.7	NIST	L773
35.02	Br	III	2529.49	350.0	0.7	NIST	L7483
35.02	Br	III	2551.09	350.0	0.7	NIST	L7483
35.02	Br	III	2570.83	350.0	0.7	NIST	L7483
35.02	Br	III	2573.17	300.0	0.6	NIST	L7483
35.02	Br	III	2584.99	400.0	0.8	NIST	L7483
35.02	Br	III	2589.14	500.0	1.0	NIST	L7483
35.02	Br	III	2594.48	300.0	0.6	NIST	L7483
35.02	Br	III	2595.98	400.0	0.8	NIST	L7483
35.02	Br	III	2606.2	450.0	0.9	NIST	L7483
35.02	Br	III	2608.15	350.0	0.7	NIST	L7483
35.02	Br	III	2613.13	500.0	1.0	NIST	L7483
35.02	Br	III	2616.26	350.0	0.7	NIST	L7483
35.02	Br	III	2626.52	500.0	1.0	NIST	L7483
35.02	Br	III	2629.23	350.0	0.7	NIST	L7483
35.02	Br	III	2639.6	350.0	0.7	NIST	L7483
35.02	Br	III	2671.53	350.0	0.7	NIST	L7483
35.02	Br	III	2735.83	350.0	0.7	NIST	L7483
35.02	Br	III	2770.5	300.0	0.6	NIST	L7483
35.02	Br	III	2785.28	300.0	0.6	NIST	L7483
35.02	Br	III	2804.16	300.0	0.6	NIST	L7483
35.02	Br	III	2926.96	400.0	0.8	NIST	L7483
35.02	Br	III	2936.22	300.0	0.6	NIST	L7483
35.02	Br	III	2969.0	350.0	0.7	NIST	L7483
35.02	Br	III	2994.04	400.0	0.8	NIST	L7483
35.02	Br	III	3020.76	500.0	1.0	NIST	L7483
35.02	Br	III	3033.63	300.0	0.6	NIST	L7483
35.02	Br	III	3036.45	350.0	0.7	NIST	L7483
35.02	Br	III	3074.42	500.0	1.0	NIST	L7483
35.02	Br	III	3091.94	350.0	0.7	NIST	L7483
35.02	Br	III	3117.29	350.0	0.7	NIST	L7483
35.02	Br	III	3147.81	300.0	0.6	NIST	L773
35.02	Br	III	3174.08	400.0	0.8	NIST	L773
35.02	Br	III	3321.08	300.0	0.6	NIST	L7483
35.02	Br	III	3333.07	450.0	0.9	NIST	L773
35.02	Br	III	3349.64	500.0	1.0	NIST	L773
35.02	Br	III	3385.25	300.0	0.6	NIST	L773
35.02	Br	III	3447.36	450.0	0.9	NIST	L773
35.02	Br	III	3487.58	400.0	0.8	NIST	L773
35.02	Br	III	3506.47	300.0	0.6	NIST	L7483
35.02	Br	III	3517.36	450.0	0.9	NIST	L773
35.02	Br	III	3540.16	500.0	1.0	NIST	L773
35.02	Br	III	3551.08	300.0	0.6	NIST	L7483
35.02	Br	III	3562.43	500.0	1.0	NIST	L773
35.02	Br	III	3600.71	450.0	0.9	NIST	L773
35.02	Br	III	3693.53	250.0	0.5	NIST	L7483
35.02	Br	III	3820.26	450.0	0.9	NIST	L773
35.02	Br	III	3903.95	200.0	0.4	NIST	L7483
35.02	Br	III	4506.55	350.0	0.7	NIST	L773
35.02	Br	III	4519.74	200.0	0.4	NIST	L7483
35.02	Br	III	5175.87	150.0	0.3	NIST	L7483
35.02	Br	III	5446.8	100.0	0.2	NIST	L7483
35.02	Br	III	7192.8	100.0	0.2	NIST	L7483
35.02	Br	III	7673.1	100.0	0.2	NIST	L7483
