atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
35.03	Br	IV	366.636	100.0	0.1	NIST	L1157
35.03	Br	IV	370.694	200.0	0.2	NIST	L1157
35.03	Br	IV	379.734	700.0	0.7	NIST	L1157
35.03	Br	IV	384.101	600.0	0.6	NIST	L1157
35.03	Br	IV	400.37	700.0	0.7	NIST	L1157
35.03	Br	IV	534.457	350.0	0.35	NIST	L1157
35.03	Br	IV	542.055	800.0	0.8	NIST	L1157
35.03	Br	IV	545.429	1000.0	1.0	NIST	L1157
35.03	Br	IV	549.94	800.0	0.8	NIST	L1157
35.03	Br	IV	554.481	900.0	0.9	NIST	L1157
35.03	Br	IV	555.727	700.0	0.7	NIST	L1157
35.03	Br	IV	555.934	600.0	0.6	NIST	L1157
35.03	Br	IV	557.984	900.0	0.9	NIST	L1157
35.03	Br	IV	559.756	1000.0	1.0	NIST	L1157
35.03	Br	IV	563.788	900.0	0.9	NIST	L1157
35.03	Br	IV	563.937	800.0	0.8	NIST	L1157
35.03	Br	IV	565.314	900.0	0.9	NIST	L1157
35.03	Br	IV	567.443	800.0	0.8	NIST	L1157
35.03	Br	IV	569.194	1000.0	1.0	NIST	L1157
35.03	Br	IV	569.291	800.0	0.8	NIST	L1157
35.03	Br	IV	573.6	900.0	0.9	NIST	L1157
35.03	Br	IV	576.589	1000.0	1.0	NIST	L1157
35.03	Br	IV	579.953	250.0	0.25	NIST	L1157
35.03	Br	IV	585.102	1000.0	1.0	NIST	L1157
35.03	Br	IV	586.71	1000.0	1.0	NIST	L1157
35.03	Br	IV	589.043	50.0	0.05	NIST	L1157
35.03	Br	IV	597.514	1000.0	1.0	NIST	L1157
35.03	Br	IV	599.594	250.0	0.25	NIST	L1157
35.03	Br	IV	600.085	1000.0	1.0	NIST	L1157
35.03	Br	IV	601.265	1000.0	1.0	NIST	L1157
35.03	Br	IV	603.674	900.0	0.9	NIST	L1157
35.03	Br	IV	605.778	900.0	0.9	NIST	L1157
35.03	Br	IV	607.031	1000.0	1.0	NIST	L1157
35.03	Br	IV	610.54	500.0	0.5	NIST	L1157
35.03	Br	IV	610.64	400.0	0.4	NIST	L1157
35.03	Br	IV	617.851	1000.0	1.0	NIST	L1157
35.03	Br	IV	618.261	900.0	0.9	NIST	L1157
35.03	Br	IV	619.871	1000.0	1.0	NIST	L1157
35.03	Br	IV	623.234	700.0	0.7	NIST	L1157
35.03	Br	IV	625.528	750.0	0.75	NIST	L1157
35.03	Br	IV	630.135	1000.0	1.0	NIST	L1157
35.03	Br	IV	635.035	700.0	0.7	NIST	L1157
35.03	Br	IV	637.437	900.0	0.9	NIST	L1157
35.03	Br	IV	642.227	1000.0	1.0	NIST	L1157
35.03	Br	IV	649.773	700.0	0.7	NIST	L1157
35.03	Br	IV	652.667	400.0	0.4	NIST	L1157
35.03	Br	IV	661.528	1000.0	1.0	NIST	L1157
35.03	Br	IV	680.784	800.0	0.8	NIST	L1157
35.03	Br	IV	683.51	1000.0	1.0	NIST	L1157
35.03	Br	IV	689.045	700.0	0.7	NIST	L1157
35.03	Br	IV	697.723	1000.0	1.0	NIST	L1157
35.03	Br	IV	703.866	700.0	0.7	NIST	L1157
35.03	Br	IV	715.385	1000.0	1.0	NIST	L1157
35.03	Br	IV	717.098	500.0	0.5	NIST	L1157
35.03	Br	IV	722.956	200.0	0.2	NIST	L1157
35.03	Br	IV	729.57	800.0	0.8	NIST	L1157
35.03	Br	IV	731.001	1000.0	1.0	NIST	L1157
35.03	Br	IV	732.83	750.0	0.75	NIST	L1157
35.03	Br	IV	757.633	400.0	0.4	NIST	L1157
35.03	Br	IV	782.808	700.0	0.7	NIST	L1157
35.03	Br	IV	784.645	900.0	0.9	NIST	L1157
35.03	Br	IV	792.261	300.0	0.3	NIST	L1157
35.03	Br	IV	800.122	1000.0	1.0	NIST	L1157
35.03	Br	IV	801.145	800.0	0.8	NIST	L1157
35.03	Br	IV	813.657	1000.0	1.0	NIST	L1157
35.03	Br	IV	819.732	800.0	0.8	NIST	L1157
35.03	Br	IV	820.804	600.0	0.6	NIST	L1157
35.03	Br	IV	897.577	250.0	0.25	NIST	L1157
35.03	Br	IV	898.863	800.0	0.8	NIST	L1157
35.03	Br	IV	1016.346	80.0	0.08	NIST	L1157
35.03	Br	IV	1064.325	250.0	0.25	NIST	L1157
35.03	Br	IV	1076.587	700.0	0.7	NIST	L1157
35.03	Br	IV	1088.921	150.0	0.15	NIST	L1157
35.03	Br	IV	1123.726	25.0	0.025	NIST	L1157
35.03	Br	IV	1128.545	200.0	0.2	NIST	L1157
35.03	Br	IV	1198.714	100.0	0.1	NIST	L1157
35.03	Br	IV	1228.041	600.0	0.6	NIST	L1157
35.03	Br	IV	1263.673	800.0	0.8	NIST	L1157
35.03	Br	IV	1265.949	50.0	0.05	NIST	L1157
35.03	Br	IV	1266.29	500.0	0.5	NIST	L1157
35.03	Br	IV	1274.822	900.0	0.9	NIST	L1157
35.03	Br	IV	1283.148	20.0	0.02	NIST	L1157
35.03	Br	IV	1302.667	150.0	0.15	NIST	L1157
35.03	Br	IV	1308.546	500.0	0.5	NIST	L1157
35.03	Br	IV	1309.903	800.0	0.8	NIST	L1157
35.03	Br	IV	1344.705	300.0	0.3	NIST	L1157
35.03	Br	IV	1351.677	200.0	0.2	NIST	L1157
35.03	Br	IV	1357.912	120.0	0.12	NIST	L1157
35.03	Br	IV	1379.231	20.0	0.02	NIST	L1157
35.03	Br	IV	1473.561	150.0	0.15	NIST	L1157
35.03	Br	IV	1508.025	120.0	0.12	NIST	L1157
35.03	Br	IV	1593.83	700.0	0.7	NIST	L1157
35.03	Br	IV	1615.89	700.0	0.7	NIST	L1157
35.03	Br	IV	1643.988	900.0	0.9	NIST	L1157
35.03	Br	IV	1703.506	1000.0	1.0	NIST	L1157
35.03	Br	IV	1746.459	600.0	0.6	NIST	L1157
35.03	Br	IV	1772.42	30.0	0.03	NIST	L1157
35.03	Br	IV	1800.257	800.0	0.8	NIST	L1157
35.03	Br	IV	1866.495	100.0	0.1	NIST	L1157
35.03	Br	IV	1923.198	700.0	0.7	NIST	L1157
35.03	Br	IV	1942.712	150.0	0.15	NIST	L1157
35.03	Br	IV	2008.221	10.0	0.01	NIST	L1157
35.03	Br	IV	2022.069	10.0	0.01	NIST	L1157
35.03	Br	IV	2023.885	800.0	0.8	NIST	L1157
35.03	Br	IV	2028.526	600.0	0.6	NIST	L1157
35.03	Br	IV	2034.291	800.0	0.8	NIST	L1157
35.03	Br	IV	2036.842	200.0	0.2	NIST	L1157
35.03	Br	IV	2039.836	10.0	0.01	NIST	L1157
35.03	Br	IV	2048.796	800.0	0.8	NIST	L1157
35.03	Br	IV	2066.45	600.0	0.6	NIST	L1157
35.03	Br	IV	2078.998	500.0	0.5	NIST	L1157
35.03	Br	IV	2083.232	500.0	0.5	NIST	L1157
35.03	Br	IV	2091.945	1000.0	1.0	NIST	L1157
35.03	Br	IV	2125.793	300.0	0.3	NIST	L1157
35.03	Br	IV	2133.789	1000.0	1.0	NIST	L1157
35.03	Br	IV	2143.007	900.0	0.9	NIST	L1157
35.03	Br	IV	2145.014	1000.0	1.0	NIST	L1157
35.03	Br	IV	2178.717	800.0	0.8	NIST	L1157
35.03	Br	IV	2193.17	700.0	0.7	NIST	L1157
35.03	Br	IV	2204.477	900.0	0.9	NIST	L1157
35.03	Br	IV	2241.517	700.0	0.7	NIST	L1157
35.03	Br	IV	2243.385	400.0	0.4	NIST	L1157
35.03	Br	IV	2257.212	1000.0	1.0	NIST	L1157
35.03	Br	IV	2262.982	800.0	0.8	NIST	L1157
35.03	Br	IV	2268.107	500.0	0.5	NIST	L1157
35.03	Br	IV	2269.996	800.0	0.8	NIST	L1157
35.03	Br	IV	2272.725	1000.0	1.0	NIST	L1157
35.03	Br	IV	2307.398	1000.0	1.0	NIST	L1157
35.03	Br	IV	2323.944	350.0	0.35	NIST	L1157
35.03	Br	IV	2327.203	700.0	0.7	NIST	L1157
35.03	Br	IV	2329.764	800.0	0.8	NIST	L1157
35.03	Br	IV	2336.921	900.0	0.9	NIST	L1157
35.03	Br	IV	2350.226	750.0	0.75	NIST	L1157
35.03	Br	IV	2363.192	25.0	0.025	NIST	L1157
35.03	Br	IV	2408.161	1000.0	1.0	NIST	L1157
35.03	Br	IV	2411.579	1000.0	1.0	NIST	L1157
