atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
06.00	C	I	750.68	1.0	0.0	NIST	L5263
06.00	C	I	751.24	1.0	0.0	NIST	L5263
06.00	C	I	751.42	1.0	0.0	NIST	L5263
06.00	C	I	751.99	1.0	0.0	NIST	L5263
06.00	C	I	752.13	1.0	0.0	NIST	L5263
06.00	C	I	752.93	1.0	0.0	NIST	L5263
06.00	C	I	753.08	1.0	0.0	NIST	L5263
06.00	C	I	754.21	2.0	0.0	NIST	L5263
06.00	C	I	754.39	1.0	0.0	NIST	L5263
06.00	C	I	755.96	3.0	0.0	NIST	L5263
06.00	C	I	756.17	2.0	0.0	NIST	L5263
06.00	C	I	756.31	1.0	0.0	NIST	L5263
06.00	C	I	758.51	4.0	0.0	NIST	L5263
06.00	C	I	758.64	3.0	0.0	NIST	L5263
06.00	C	I	758.76	2.0	0.0	NIST	L5263
06.00	C	I	762.35	4.0	0.0	NIST	L5263
06.00	C	I	762.52	3.0	0.0	NIST	L5263
06.00	C	I	762.69	3.0	0.0	NIST	L5263
06.00	C	I	768.57	4.0	0.0	NIST	L5263
06.00	C	I	768.93	4.0	0.0	NIST	L5263
06.00	C	I	769.08	5.0	0.0	NIST	L5263
06.00	C	I	779.68	8.0	0.0	NIST	L5263
06.00	C	I	779.93	7.0	0.0	NIST	L5263
06.00	C	I	780.13	7.0	0.0	NIST	L5263
06.00	C	I	780.24	7.0	0.0	NIST	L5263
06.00	C	I	780.4	9.0	0.0	NIST	L5263
06.00	C	I	802.71	8.0	0.0	NIST	L5263
06.00	C	I	802.81	10.0	0.0	NIST	L5263
06.00	C	I	803.0	14.0	0.0	NIST	L5263
06.00	C	I	803.15	6.0	0.0	NIST	L5263
06.00	C	I	803.24	6.0	0.0	NIST	L5263
06.00	C	I	803.37	6.0	0.0	NIST	L5263
06.00	C	I	869.3	47.0	0.0	NIST	L5263
06.00	C	I	945.18746	7800.0	0.0	NIST	L12129
06.00	C	I	945.33418	17000.0	0.0	NIST	L12129
06.00	C	I	945.57546	18000.0	0.0	NIST	L12129
06.00	C	I	1103.42	46000.0	0.0	NIST	L8834c153
06.00	C	I	1103.6	170000.0	0.0	NIST	L8445
06.00	C	I	1103.86	190000.0	0.0	NIST	L8445
06.00	C	I	1104.16	220000.0	0.0	NIST	L8445
06.00	C	I	1104.22	9500.0	0.0	NIST	L5455
06.00	C	I	1104.55	180000.0	0.0	NIST	L8445
06.00	C	I	1104.59	230000.0	0.0	NIST	L8834
06.00	C	I	1104.96	190000.0	0.0	NIST	L8445
06.00	C	I	1104.975	38000.0	0.0	NIST	L5455
06.00	C	I	1105.14	110000.0	0.0	NIST	L8445
06.00	C	I	1105.466	58000.0	0.0	NIST	L5455
06.00	C	I	1105.47	190000.0	0.0	NIST	L8445
06.00	C	I	1105.75	140000.0	0.0	NIST	L8445
06.00	C	I	1106.07	190000.0	0.0	NIST	L8445
06.00	C	I	1106.077	120000.0	0.0	NIST	L5455
06.00	C	I	1106.29	160000.0	0.0	NIST	L8445
06.00	C	I	1106.446	49000.0	0.0	NIST	L5455
06.00	C	I	1106.5	220000.0	0.0	NIST	L8445
06.00	C	I	1106.516	88000.0	0.0	NIST	L5455
06.00	C	I	1106.8	300000.0	0.0	NIST	L8445
