atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
20.03	Ca	IV	249.41	150.0	0.2	NIST	L7256
20.03	Ca	IV	250.15	150.0	0.2	NIST	L7256
20.03	Ca	IV	251.35	150.0	0.2	NIST	L7256
20.03	Ca	IV	296.55	250.0	0.3333	NIST	L7256
20.03	Ca	IV	299.32	200.0	0.2667	NIST	L7256
20.03	Ca	IV	318.09	200.0	0.2667	NIST	L7256
20.03	Ca	IV	318.39	50.0	0.0667	NIST	L7256
20.03	Ca	IV	321.59	120.0	0.16	NIST	L7256
20.03	Ca	IV	329.12	250.0	0.3333	NIST	L7256
20.03	Ca	IV	329.39	150.0	0.2	NIST	L7256
20.03	Ca	IV	331.44	200.0	0.2667	NIST	L7256
20.03	Ca	IV	331.99	250.0	0.3333	NIST	L7256
20.03	Ca	IV	332.53	235.0	0.3133	NIST	L7256
20.03	Ca	IV	332.81	150.0	0.2	NIST	L7256
20.03	Ca	IV	338.83	200.0	0.2667	NIST	L7256
20.03	Ca	IV	339.79	150.0	0.2	NIST	L7256
20.03	Ca	IV	340.29	200.0	0.2667	NIST	L7256
20.03	Ca	IV	341.29	200.0	0.2667	NIST	L7256
20.03	Ca	IV	341.46	200.0	0.2667	NIST	L7256
20.03	Ca	IV	342.45	250.0	0.3333	NIST	L7256
20.03	Ca	IV	343.19	100.0	0.1333	NIST	L7256
20.03	Ca	IV	343.44	200.0	0.2667	NIST	L7256
20.03	Ca	IV	343.93	250.0	0.3333	NIST	L7256
20.03	Ca	IV	344.96	200.0	0.2667	NIST	L7256
20.03	Ca	IV	345.13	215.0	0.2867	NIST	L7256
20.03	Ca	IV	374.74	250.0	0.3333	NIST	L7256
20.03	Ca	IV	434.57	600.0	0.8	NIST	L7256
20.03	Ca	IV	437.27	100.0	0.1333	NIST	L7256
20.03	Ca	IV	437.77	250.0	0.3333	NIST	L7256
20.03	Ca	IV	438.93	200.0	0.2667	NIST	L7256
20.03	Ca	IV	443.82	750.0	1.0	NIST	L7256
20.03	Ca	IV	445.02	50.0	0.0667	NIST	L7256
20.03	Ca	IV	450.57	500.0	0.6667	NIST	L7256
20.03	Ca	IV	454.55	50.0	0.0667	NIST	L7256
20.03	Ca	IV	456.98	250.0	0.3333	NIST	L7256
20.03	Ca	IV	461.09	250.0	0.3333	NIST	L7256
20.03	Ca	IV	565.46	150.0	0.2	NIST	L7256
20.03	Ca	IV	656.0	750.0	1.0	NIST	L7256
20.03	Ca	IV	669.7	500.0	0.6667	NIST	L7256
