atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
48.02	Cd	III	677.39	8.0	0.04	NIST	L3540
48.02	Cd	III	684.58	15.0	0.075	NIST	L3540
48.02	Cd	III	720.7	10.0	0.05	NIST	L3540
48.02	Cd	III	1383.6	5.0	0.025	NIST	L3540
48.02	Cd	III	1392.1	15.0	0.075	NIST	L3540
48.02	Cd	III	1396.78	10.0	0.05	NIST	L3540
48.02	Cd	III	1416.28	25.0	0.125	NIST	L3540
48.02	Cd	III	1420.29	5.0	0.025	NIST	L3540
48.02	Cd	III	1420.54	8.0	0.04	NIST	L3540
48.02	Cd	III	1432.86	5.0	0.025	NIST	L3540
48.02	Cd	III	1446.08	20.0	0.1	NIST	L3540
48.02	Cd	III	1447.55	25.0	0.125	NIST	L3540
48.02	Cd	III	1455.74	30.0	0.15	NIST	L3540
48.02	Cd	III	1466.14	8.0	0.04	NIST	L3540
48.02	Cd	III	1471.97	5.0	0.025	NIST	L3540
48.02	Cd	III	1491.81	15.0	0.075	NIST	L3540
48.02	Cd	III	1511.01	5.0	0.025	NIST	L3540
48.02	Cd	III	1511.65	10.0	0.05	NIST	L3540
48.02	Cd	III	1513.13	5.0	0.025	NIST	L3540
48.02	Cd	III	1523.55	10.0	0.05	NIST	L3540
48.02	Cd	III	1528.4	15.0	0.075	NIST	L3540
48.02	Cd	III	1529.3	30.0	0.15	NIST	L3540
48.02	Cd	III	1532.1	5.0	0.025	NIST	L3540
48.02	Cd	III	1545.17	50.0	0.25	NIST	L3540
48.02	Cd	III	1547.57	25.0	0.125	NIST	L3540
48.02	Cd	III	1550.07	10.0	0.05	NIST	L3540
48.02	Cd	III	1550.45	20.0	0.1	NIST	L3540
48.02	Cd	III	1550.89	15.0	0.075	NIST	L3540
48.02	Cd	III	1552.18	5.0	0.025	NIST	L3540
48.02	Cd	III	1556.48	5.0	0.025	NIST	L3540
48.02	Cd	III	1560.66	15.0	0.075	NIST	L3540
48.02	Cd	III	1566.03	5.0	0.025	NIST	L3540
48.02	Cd	III	1568.98	15.0	0.075	NIST	L3540
48.02	Cd	III	1582.39	10.0	0.05	NIST	L3540
48.02	Cd	III	1601.59	40.0	0.2	NIST	L3540
48.02	Cd	III	1604.87	20.0	0.1	NIST	L3540
48.02	Cd	III	1606.64	20.0	0.1	NIST	L3540
48.02	Cd	III	1607.28	10.0	0.05	NIST	L3540
48.02	Cd	III	1608.91	15.0	0.075	NIST	L3540
48.02	Cd	III	1609.61	10.0	0.05	NIST	L3540
48.02	Cd	III	1612.51	15.0	0.075	NIST	L3540
48.02	Cd	III	1625.27	15.0	0.075	NIST	L3540
48.02	Cd	III	1628.54	25.0	0.125	NIST	L3540
48.02	Cd	III	1651.87	20.0	0.1	NIST	L3540
48.02	Cd	III	1655.63	25.0	0.125	NIST	L3540
48.02	Cd	III	1678.15	30.0	0.15	NIST	L3540
48.02	Cd	III	1699.7	10.0	0.05	NIST	L3540
48.02	Cd	III	1707.16	40.0	0.2	NIST	L3540
48.02	Cd	III	1721.93	10.0	0.05	NIST	L3540
48.02	Cd	III	1722.95	40.0	0.2	NIST	L3540
48.02	Cd	III	1725.66	30.0	0.15	NIST	L3540
48.02	Cd	III	1739.0	25.0	0.125	NIST	L3540
48.02	Cd	III	1745.69	5.0	0.025	NIST	L3540
48.02	Cd	III	1747.67	40.0	0.2	NIST	L3540
48.02	Cd	III	1748.15	15.0	0.075	NIST	L3540
48.02	Cd	III	1768.82	30.0	0.15	NIST	L3540
48.02	Cd	III	1773.06	40.0	0.2	NIST	L3540
48.02	Cd	III	1789.19	30.0	0.15	NIST	L3540
48.02	Cd	III	1793.4	75.0	0.375	NIST	L3540
48.02	Cd	III	1796.1	15.0	0.075	NIST	L3540
48.02	Cd	III	1800.57	5.0	0.025	NIST	L3540
48.02	Cd	III	1823.41	40.0	0.2	NIST	L3540
48.02	Cd	III	1844.66	50.0	0.25	NIST	L3540
48.02	Cd	III	1851.13	40.0	0.2	NIST	L3540
48.02	Cd	III	1851.37	20.0	0.1	NIST	L3540
48.02	Cd	III	1855.85	40.0	0.2	NIST	L3540
48.02	Cd	III	1856.67	200.0	1.0	NIST	L3540
48.02	Cd	III	1874.08	150.0	0.75	NIST	L3540
48.02	Cd	III	1886.49	15.0	0.075	NIST	L3540
48.02	Cd	III	1903.48	15.0	0.075	NIST	L3540
48.02	Cd	III	1909.98	25.0	0.125	NIST	L3540
48.02	Cd	III	1910.57	15.0	0.075	NIST	L3540
48.02	Cd	III	1939.59	10.0	0.05	NIST	L3540
48.02	Cd	III	1988.81	15.0	0.075	NIST	L3540
48.02	Cd	III	2000.6	20.0	0.1	NIST	L3540
48.02	Cd	III	2004.07	15.0	0.075	NIST	L3540
48.02	Cd	III	2016.12	15.0	0.075	NIST	L3540
48.02	Cd	III	2039.83	40.0	0.2	NIST	L3540
48.02	Cd	III	2045.61	50.0	0.25	NIST	L3540
48.02	Cd	III	2061.25	10.0	0.05	NIST	L3540
48.02	Cd	III	2087.91	75.0	0.375	NIST	L3540
48.02	Cd	III	2097.45	10.0	0.05	NIST	L3540
48.02	Cd	III	2100.47	5.0	0.025	NIST	L3540
48.02	Cd	III	2111.6	50.0	0.25	NIST	L3540
48.02	Cd	III	2188.13	5.0	0.025	NIST	L3540
48.02	Cd	III	2218.43	5.0	0.025	NIST	L3540
48.02	Cd	III	2224.43	5.0	0.025	NIST	L3540
48.02	Cd	III	2418.24	7.0	0.035	NIST	L3540
48.02	Cd	III	2426.36	10.0	0.05	NIST	L3540
48.02	Cd	III	2499.81	25.0	0.125	NIST	L3540
48.02	Cd	III	2618.81	15.0	0.075	NIST	L3540
48.02	Cd	III	2630.56	5.0	0.025	NIST	L3540
48.02	Cd	III	2766.99	20.0	0.1	NIST	L3540
48.02	Cd	III	2805.59	30.0	0.15	NIST	L3540
48.02	Cd	III	3035.72	10.0	0.05	NIST	L3540
