atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
58.00	Ce	I	3672.18	220.0	0.5946	NIST	L3475
58.00	Ce	I	4506.41	100.0	0.2703	NIST	L3475
58.00	Ce	I	4632.32	170.0	0.4595	NIST	L3475
58.00	Ce	I	4650.51	110.0	0.2973	NIST	L3475
58.00	Ce	I	4822.55	110.0	0.2973	NIST	L3475
58.00	Ce	I	4847.77	140.0	0.3784	NIST	L3475
58.00	Ce	I	4943.44	110.0	0.2973	NIST	L3475
58.00	Ce	I	4994.63	130.0	0.3514	NIST	L3475
58.00	Ce	I	5009.1	210.0	0.5676	NIST	L3475
58.00	Ce	I	5040.85	120.0	0.3243	NIST	L3475
58.00	Ce	I	5071.78	120.0	0.3243	NIST	L3475
58.00	Ce	I	5112.7	130.0	0.3514	NIST	L3475
58.00	Ce	I	5129.57	170.0	0.4595	NIST	L3475
58.00	Ce	I	5149.99	100.0	0.2703	NIST	L3475
58.00	Ce	I	5159.69	280.0	0.7568	NIST	L3475
58.00	Ce	I	5161.48	280.0	0.7568	NIST	L3475
58.00	Ce	I	5174.55	190.0	0.5135	NIST	L3475
58.00	Ce	I	5211.92	190.0	0.5135	NIST	L3475
58.00	Ce	I	5223.46	260.0	0.7027	NIST	L3475
58.00	Ce	I	5229.75	180.0	0.4865	NIST	L3475
58.00	Ce	I	5245.92	260.0	0.7027	NIST	L3475
58.00	Ce	I	5296.56	130.0	0.3514	NIST	L3475
58.00	Ce	I	5328.08	130.0	0.3514	NIST	L3475
58.00	Ce	I	5397.64	150.0	0.4054	NIST	L3475
58.00	Ce	I	5420.38	110.0	0.2973	NIST	L3475
58.00	Ce	I	5449.24	140.0	0.3784	NIST	L3475
58.00	Ce	I	5556.25	110.0	0.2973	NIST	L3475
58.00	Ce	I	5564.97	170.0	0.4595	NIST	L3475
58.00	Ce	I	5565.97	130.0	0.3514	NIST	L3475
58.00	Ce	I	5595.88	100.0	0.2703	NIST	L3475
58.00	Ce	I	5601.28	240.0	0.6486	NIST	L3475
58.00	Ce	I	5655.14	190.0	0.5135	NIST	L3475
58.00	Ce	I	5669.96	240.0	0.6486	NIST	L3475
58.00	Ce	I	5677.75	120.0	0.3243	NIST	L3475
58.00	Ce	I	5692.94	120.0	0.3243	NIST	L3475
58.00	Ce	I	5696.99	300.0	0.8108	NIST	L3475
58.00	Ce	I	5699.23	370.0	1.0	NIST	L3475
58.00	Ce	I	5719.03	240.0	0.6486	NIST	L3475
58.00	Ce	I	5773.12	140.0	0.3784	NIST	L3475
58.00	Ce	I	5788.15	120.0	0.3243	NIST	L3475
58.00	Ce	I	5812.92	120.0	0.3243	NIST	L3475
58.00	Ce	I	5940.86	230.0	0.6216	NIST	L3475
58.00	Ce	I	6000.18	11.0	0.0297	NIST	L3475
58.00	Ce	I	6001.9	55.0	0.1486	NIST	L3475
58.00	Ce	I	6005.86	55.0	0.1486	NIST	L3475
58.00	Ce	I	6006.2	15.0	0.0405	NIST	L3475
58.00	Ce	I	6006.82	55.0	0.1486	NIST	L3475
58.00	Ce	I	6007.37	19.0	0.0514	NIST	L3475
58.00	Ce	I	6013.42	75.0	0.2027	NIST	L3475
58.00	Ce	I	6016.59	23.0	0.0622	NIST	L3475
58.00	Ce	I	6024.2	110.0	0.2973	NIST	L3475
58.00	Ce	I	6027.16	15.0	0.0405	NIST	L3475
58.00	Ce	I	6031.26	11.0	0.0297	NIST	L3475
58.00	Ce	I	6034.41	23.0	0.0622	NIST	L3475
58.00	Ce	I	6045.42	28.0	0.0757	NIST	L3475
58.00	Ce	I	6047.4	55.0	0.1486	NIST	L3475
58.00	Ce	I	6057.5	23.0	0.0622	NIST	L3475
58.00	Ce	I	6058.0	35.0	0.0946	NIST	L3475
58.00	Ce	I	6066.75	23.0	0.0622	NIST	L3475
58.00	Ce	I	6069.46	19.0	0.0514	NIST	L3475
58.00	Ce	I	6069.48	35.0	0.0946	NIST	L3475
58.00	Ce	I	6072.0	35.0	0.0946	NIST	L3475
58.00	Ce	I	6076.61	35.0	0.0946	NIST	L3475
58.00	Ce	I	6077.16	17.0	0.0459	NIST	L3475
58.00	Ce	I	6080.37	17.0	0.0459	NIST	L3475
58.00	Ce	I	6081.28	17.0	0.0459	NIST	L3475
