atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
58.03	Ce	IV	443.11	1.0	0.01	NIST	L7359
58.03	Ce	IV	447.58	2.0	0.02	NIST	L7359
58.03	Ce	IV	558.92	8.0	0.08	NIST	L7359
58.03	Ce	IV	571.59	8.0	0.08	NIST	L7359
58.03	Ce	IV	741.79	40.0	0.4	NIST	L7359
58.03	Ce	IV	754.6	30.0	0.3	NIST	L7359
58.03	Ce	IV	755.75	12.0	0.12	NIST	L7359
58.03	Ce	IV	975.2	6.0	0.06	NIST	L7359
58.03	Ce	IV	1009.31	5.0	0.05	NIST	L7359
58.03	Ce	IV	1022.12	2.0	0.02	NIST	L7359
58.03	Ce	IV	1057.67	9.0	0.09	NIST	L7359
58.03	Ce	IV	1059.64	1.0	0.01	NIST	L7359
58.03	Ce	IV	1289.41	50.0	0.5	NIST	L7359
58.03	Ce	IV	1332.16	75.0	0.75	NIST	L7359
58.03	Ce	IV	1372.72	75.0	0.75	NIST	L7359
58.03	Ce	IV	1572.62	1.0	0.01	NIST	L7359
58.03	Ce	IV	1577.6	2.0	0.02	NIST	L7359
58.03	Ce	IV	1641.58	15.0	0.15	NIST	L7359
58.03	Ce	IV	1775.3	20.0	0.2	NIST	L7359
58.03	Ce	IV	1779.03	20.0	0.2	NIST	L7359
58.03	Ce	IV	1914.75	35.0	0.35	NIST	L7359
58.03	Ce	IV	1937.21	10.0	0.1	NIST	L7359
58.03	Ce	IV	2000.42	100.0	1.0	NIST	L7359
58.03	Ce	IV	2003.11	35.0	0.35	NIST	L7359
58.03	Ce	IV	2009.94	100.0	1.0	NIST	L7359
58.03	Ce	IV	2433.5	3.0	0.03	NIST	L7359
58.03	Ce	IV	2445.5	5.0	0.05	NIST	L7359
