atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
17.00	Cl	I	969.92	30.0	0.0003	NIST	L298
17.00	Cl	I	978.284	40.0	0.0004	NIST	L298
17.00	Cl	I	998.372	25.0	0.0003	NIST	L298
17.00	Cl	I	998.432	25.0	0.0003	NIST	L298
17.00	Cl	I	1002.346	75.0	0.0008	NIST	L298
17.00	Cl	I	1013.664	150.0	0.0015	NIST	L298
17.00	Cl	I	1025.553	90.0	0.0009	NIST	L298
17.00	Cl	I	1084.667	200.0	0.002	NIST	L298
17.00	Cl	I	1085.171	200.0	0.002	NIST	L298
17.00	Cl	I	1085.304	250.0	0.0025	NIST	L298
17.00	Cl	I	1088.06	400.0	0.004	NIST	L298
17.00	Cl	I	1090.271	350.0	0.0035	NIST	L298
17.00	Cl	I	1090.982	250.0	0.0025	NIST	L298
17.00	Cl	I	1092.437	250.0	0.0025	NIST	L298
17.00	Cl	I	1094.769	400.0	0.004	NIST	L298
17.00	Cl	I	1095.148	350.0	0.0035	NIST	L298
17.00	Cl	I	1095.662	350.0	0.0035	NIST	L298
17.00	Cl	I	1095.797	400.0	0.004	NIST	L298
17.00	Cl	I	1096.81	250.0	0.0025	NIST	L298
17.00	Cl	I	1097.369	300.0	0.003	NIST	L298
17.00	Cl	I	1098.068	200.0	0.002	NIST	L298
17.00	Cl	I	1099.523	200.0	0.002	NIST	L298
17.00	Cl	I	1107.528	500.0	0.005	NIST	L298
17.00	Cl	I	1167.148	800.0	0.008	NIST	L298
17.00	Cl	I	1179.293	3000.0	0.03	NIST	L298
17.00	Cl	I	1188.774	1200.0	0.012	NIST	L298
17.00	Cl	I	1201.353	900.0	0.009	NIST	L298
17.00	Cl	I	1335.726	3000.0	0.03	NIST	L298
17.00	Cl	I	1347.24	10000.0	0.1001	NIST	L298
17.00	Cl	I	1351.657	5000.0	0.0501	NIST	L298
17.00	Cl	I	1363.447	12000.0	0.1201	NIST	L298
17.00	Cl	I	1373.116	2500.0	0.025	NIST	L298
17.00	Cl	I	1379.528	20000.0	0.2002	NIST	L298
17.00	Cl	I	1389.693	25000.0	0.2503	NIST	L298
17.00	Cl	I	1389.957	20000.0	0.2002	NIST	L298
17.00	Cl	I	1396.527	12000.0	0.1201	NIST	L298
17.00	Cl	I	3726.54	20.0	0.0002	NIST	L298
17.00	Cl	I	3944.82	20.0	0.0002	NIST	L298
17.00	Cl	I	4104.79	20.0	0.0002	NIST	L298
17.00	Cl	I	4209.67	65.0	0.0007	NIST	L298
17.00	Cl	I	4226.42	50.0	0.0005	NIST	L298
17.00	Cl	I	4264.58	60.0	0.0006	NIST	L298
17.00	Cl	I	4363.27	100.0	0.001	NIST	L298
17.00	Cl	I	4369.5	100.0	0.001	NIST	L298
17.00	Cl	I	4379.9	100.0	0.001	NIST	L298
17.00	Cl	I	4389.75	100.0	0.001	NIST	L298
17.00	Cl	I	4390.4	90.0	0.0009	NIST	L298
17.00	Cl	I	4403.03	90.0	0.0009	NIST	L298
17.00	Cl	I	4438.49	100.0	0.001	NIST	L298
17.00	Cl	I	4475.3	90.0	0.0009	NIST	L298
17.00	Cl	I	4526.19	100.0	0.001	NIST	L298
17.00	Cl	I	4600.98	80.0	0.0008	NIST	L298
17.00	Cl	I	4623.938	40.0	0.0004	NIST	L298
17.00	Cl	I	4654.04	50.0	0.0005	NIST	L298
17.00	Cl	I	4661.208	80.0	0.0008	NIST	L298
17.00	Cl	I	4691.523	45.0	0.0005	NIST	L298
17.00	Cl	I	4721.255	40.0	0.0004	NIST	L298
17.00	Cl	I	4740.729	45.0	0.0005	NIST	L298
17.00	Cl	I	5099.789	30.0	0.0003	NIST	L298
17.00	Cl	I	5532.162	40.0	0.0004	NIST	L298
17.00	Cl	I	5796.305	50.0	0.0005	NIST	L298
17.00	Cl	I	5799.914	45.0	0.0005	NIST	L298
17.00	Cl	I	5856.742	30.0	0.0003	NIST	L298
17.00	Cl	I	5948.58	100.0	0.001	NIST	L298
17.00	Cl	I	6019.812	50.0	0.0005	NIST	L298
17.00	Cl	I	6082.61	35.0	0.0004	NIST	L298
17.00	Cl	I	6114.43	160.0	0.0016	NIST	L298
17.00	Cl	I	6140.245	200.0	0.002	NIST	L298
17.00	Cl	I	6194.757	160.0	0.0016	NIST	L298
17.00	Cl	I	6398.66	160.0	0.0016	NIST	L298
17.00	Cl	I	6434.833	150.0	0.0015	NIST	L298
17.00	Cl	I	6531.43	150.0	0.0015	NIST	L298
17.00	Cl	I	6678.43	150.0	0.0015	NIST	L298
17.00	Cl	I	6840.29	150.0	0.0015	NIST	L298
17.00	Cl	I	6932.903	300.0	0.003	NIST	L298
17.00	Cl	I	6981.886	300.0	0.003	NIST	L298
17.00	Cl	I	7086.814	600.0	0.006	NIST	L298
17.00	Cl	I	7256.62	7500.0	0.0751	NIST	L298
17.00	Cl	I	7414.11	5000.0	0.0501	NIST	L298
17.00	Cl	I	7462.37	550.0	0.0055	NIST	L298
17.00	Cl	I	7489.47	550.0	0.0055	NIST	L298
17.00	Cl	I	7492.118	700.0	0.007	NIST	L298
17.00	Cl	I	7547.072	11000.0	0.1101	NIST	L298
17.00	Cl	I	7672.42	2300.0	0.023	NIST	L298
17.00	Cl	I	7702.828	450.0	0.0045	NIST	L298
17.00	Cl	I	7717.581	7000.0	0.0701	NIST	L298
17.00	Cl	I	7744.97	10000.0	0.1001	NIST	L298
17.00	Cl	I	7769.16	2200.0	0.022	NIST	L298
17.00	Cl	I	7771.09	650.0	0.0065	NIST	L298
17.00	Cl	I	7821.36	2200.0	0.022	NIST	L298
17.00	Cl	I	7830.75	1700.0	0.017	NIST	L298
17.00	Cl	I	7878.22	3000.0	0.03	NIST	L298
17.00	Cl	I	7893.34	220.0	0.0022	NIST	L298
17.00	Cl	I	7899.31	2300.0	0.023	NIST	L298
17.00	Cl	I	7915.08	1800.0	0.018	NIST	L298
17.00	Cl	I	7924.645	3000.0	0.03	NIST	L298
17.00	Cl	I	7933.89	2100.0	0.021	NIST	L298
17.00	Cl	I	7935.012	1700.0	0.017	NIST	L298
17.00	Cl	I	7952.52	650.0	0.0065	NIST	L298
17.00	Cl	I	7974.72	1500.0	0.015	NIST	L298
17.00	Cl	I	7976.97	1300.0	0.013	NIST	L298
17.00	Cl	I	7980.6	600.0	0.006	NIST	L298
17.00	Cl	I	7997.85	2900.0	0.029	NIST	L298
17.00	Cl	I	8015.61	2200.0	0.022	NIST	L298
17.00	Cl	I	8023.33	1100.0	0.011	NIST	L298
17.00	Cl	I	8051.07	400.0	0.004	NIST	L298
17.00	Cl	I	8084.51	1700.0	0.017	NIST	L298
17.00	Cl	I	8085.56	2200.0	0.022	NIST	L298
17.00	Cl	I	8086.67	3000.0	0.03	NIST	L298
17.00	Cl	I	8087.73	1300.0	0.013	NIST	L298
17.00	Cl	I	8094.67	250.0	0.0025	NIST	L298
17.00	Cl	I	8194.42	2500.0	0.025	NIST	L298
17.00	Cl	I	8199.13	2200.0	0.022	NIST	L298
17.00	Cl	I	8200.21	2200.0	0.022	NIST	L298
17.00	Cl	I	8203.78	800.0	0.008	NIST	L298
17.00	Cl	I	8212.04	18000.0	0.1802	NIST	L298
17.00	Cl	I	8220.45	3000.0	0.03	NIST	L298
17.00	Cl	I	8221.74	20000.0	0.2002	NIST	L298
17.00	Cl	I	8333.31	18000.0	0.1802	NIST	L298
17.00	Cl	I	8375.94	99900.0	1.0	NIST	L298
17.00	Cl	I	8406.199	400.0	0.004	NIST	L298
17.00	Cl	I	8428.25	15000.0	0.1502	NIST	L298
17.00	Cl	I	8467.34	2200.0	0.022	NIST	L298
17.00	Cl	I	8550.44	2200.0	0.022	NIST	L298
17.00	Cl	I	8575.24	20000.0	0.2002	NIST	L298
17.00	Cl	I	8578.02	750.0	0.0075	NIST	L298
17.00	Cl	I	8585.97	75000.0	0.7508	NIST	L298
17.00	Cl	I	8628.54	450.0	0.0045	NIST	L298
17.00	Cl	I	8641.71	300.0	0.003	NIST	L298
17.00	Cl	I	8686.26	3500.0	0.035	NIST	L298
17.00	Cl	I	8912.92	2200.0	0.022	NIST	L298
17.00	Cl	I	8948.06	3000.0	0.03	NIST	L298
17.00	Cl	I	9038.982	2000.0	0.02	NIST	L298
17.00	Cl	I	9045.43	2500.0	0.025	NIST	L298
17.00	Cl	I	9069.656	1000.0	0.01	NIST	L298
17.00	Cl	I	9073.17	2000.0	0.02	NIST	L298
17.00	Cl	I	9121.15	7500.0	0.0751	NIST	L298
17.00	Cl	I	9191.731	3000.0	0.03	NIST	L298
17.00	Cl	I	9197.596	500.0	0.005	NIST	L298
17.00	Cl	I	9288.86	4000.0	0.04	NIST	L298
17.00	Cl	I	9393.862	1500.0	0.015	NIST	L298
17.00	Cl	I	9452.1	3500.0	0.035	NIST	L298
17.00	Cl	I	9486.964	500.0	0.005	NIST	L298
17.00	Cl	I	9584.801	1000.0	0.01	NIST	L298
17.00	Cl	I	9592.22	3500.0	0.035	NIST	L298
17.00	Cl	I	9632.509	250.0	0.0025	NIST	L298
17.00	Cl	I	9702.439	1000.0	0.01	NIST	L298
17.00	Cl	I	9744.426	250.0	0.0025	NIST	L298
17.00	Cl	I	9807.057	200.0	0.002	NIST	L298
17.00	Cl	I	9875.97	400.0	0.004	NIST	L298
17.00	Cl	I	10392.549	331.0	0.0033	NIST	L298
17.00	Cl	I	11123.05	300.0	0.003	NIST	L298
17.00	Cl	I	11392.62	231.0	0.0023	NIST	L298
17.00	Cl	I	11409.69	269.0	0.0027	NIST	L298
17.00	Cl	I	11436.33	1000.0	0.01	NIST	L298
17.00	Cl	I	11720.56	180.0	0.0018	NIST	L298
17.00	Cl	I	11866.76	195.0	0.002	NIST	L298
17.00	Cl	I	12021.7	172.0	0.0017	NIST	L298
17.00	Cl	I	13243.8	350.0	0.0035	NIST	L298
17.00	Cl	I	13296.0	310.0	0.0031	NIST	L298
17.00	Cl	I	13346.8	550.0	0.0055	NIST	L298
17.00	Cl	I	13821.7	525.0	0.0053	NIST	L298
17.00	Cl	I	14369.7	148.0	0.0015	NIST	L298
17.00	Cl	I	14931.7	294.0	0.0029	NIST	L298
17.00	Cl	I	15108.0	269.0	0.0027	NIST	L298
17.00	Cl	I	15465.1	381.0	0.0038	NIST	L298
17.00	Cl	I	15467.6	169.0	0.0017	NIST	L298
17.00	Cl	I	15520.3	1094.0	0.011	NIST	L298
17.00	Cl	I	15730.1	1487.0	0.0149	NIST	L298
17.00	Cl	I	15818.4	193.0	0.0019	NIST	L298
17.00	Cl	I	15869.7	2780.0	0.0278	NIST	L298
