atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
17.02	Cl	III	406.27	100.0	0.1111	NIST	L495
17.02	Cl	III	411.37	400.0	0.4444	NIST	L495
17.02	Cl	III	411.81	400.0	0.4444	NIST	L495
17.02	Cl	III	556.23	600.0	0.6667	NIST	L495
17.02	Cl	III	556.61	700.0	0.7778	NIST	L495
17.02	Cl	III	557.12	700.0	0.7778	NIST	L495
17.02	Cl	III	561.53	700.0	0.7778	NIST	L495
17.02	Cl	III	561.68	700.0	0.7778	NIST	L495
17.02	Cl	III	561.74	700.0	0.7778	NIST	L495
17.02	Cl	III	606.35	500.0	0.5556	NIST	L495
17.02	Cl	III	621.28	400.0	0.4444	NIST	L495
17.02	Cl	III	670.38	300.0	0.3333	NIST	L495
17.02	Cl	III	673.13	300.0	0.3333	NIST	L495
17.02	Cl	III	936.28	100.0	0.1111	NIST	L480
17.02	Cl	III	1005.28	500.0	0.5556	NIST	L480
17.02	Cl	III	1008.78	600.0	0.6667	NIST	L480
17.02	Cl	III	1015.02	700.0	0.7778	NIST	L480
17.02	Cl	III	1822.5	600.0	0.6667	NIST	L495
17.02	Cl	III	1828.4	500.0	0.5556	NIST	L495
17.02	Cl	III	1901.61	500.0	0.5556	NIST	L495
17.02	Cl	III	1983.61	500.0	0.5556	NIST	L495
17.02	Cl	III	2006.84	400.0	0.4444	NIST	L495
17.02	Cl	III	2253.07	700.0	0.7778	NIST	L480
17.02	Cl	III	2268.95	500.0	0.5556	NIST	L480
17.02	Cl	III	2278.34	500.0	0.5556	NIST	L480
17.02	Cl	III	2283.93	700.0	0.7778	NIST	L480
17.02	Cl	III	2323.5	600.0	0.6667	NIST	L495
17.02	Cl	III	2336.45	500.0	0.5556	NIST	L495
17.02	Cl	III	2340.64	600.0	0.6667	NIST	L495
17.02	Cl	III	2359.67	600.0	0.6667	NIST	L495
17.02	Cl	III	2370.37	600.0	0.6667	NIST	L495
17.02	Cl	III	2416.42	700.0	0.7778	NIST	L480
17.02	Cl	III	2447.14	600.0	0.6667	NIST	L480
17.02	Cl	III	2448.58	600.0	0.6667	NIST	L480
17.02	Cl	III	2486.91	500.0	0.5556	NIST	L480
17.02	Cl	III	2532.48	500.0	0.5556	NIST	L495
17.02	Cl	III	2580.67	600.0	0.6667	NIST	L495
17.02	Cl	III	2603.59	500.0	0.5556	NIST	L495
17.02	Cl	III	2632.67	500.0	0.5556	NIST	L495
17.02	Cl	III	2633.18	500.0	0.5556	NIST	L495
17.02	Cl	III	2665.54	600.0	0.6667	NIST	L480
17.02	Cl	III	2710.37	700.0	0.7778	NIST	L495
17.02	Cl	III	2965.56	600.0	0.6667	NIST	L495
17.02	Cl	III	3104.46	600.0	0.6667	NIST	L480
17.02	Cl	III	3139.34	800.0	0.8889	NIST	L480
17.02	Cl	III	3191.45	900.0	1.0	NIST	L480
17.02	Cl	III	3289.8	700.0	0.7778	NIST	L480
17.02	Cl	III	3320.57	700.0	0.7778	NIST	L495
17.02	Cl	III	3329.06	800.0	0.8889	NIST	L480
17.02	Cl	III	3340.42	900.0	1.0	NIST	L480
17.02	Cl	III	3392.89	800.0	0.8889	NIST	L495
17.02	Cl	III	3393.45	800.0	0.8889	NIST	L495
17.02	Cl	III	3530.03	900.0	1.0	NIST	L495
17.02	Cl	III	3560.68	800.0	0.8889	NIST	L495
17.02	Cl	III	3602.1	900.0	1.0	NIST	L480
17.02	Cl	III	3612.85	800.0	0.8889	NIST	L480
17.02	Cl	III	3622.69	700.0	0.7778	NIST	L480
17.02	Cl	III	3656.95	700.0	0.7778	NIST	L480
17.02	Cl	III	3670.28	700.0	0.7778	NIST	L480
17.02	Cl	III	3682.05	700.0	0.7778	NIST	L480
17.02	Cl	III	3705.45	600.0	0.6667	NIST	L480
17.02	Cl	III	3707.34	600.0	0.6667	NIST	L495
17.02	Cl	III	3720.45	800.0	0.8889	NIST	L495
17.02	Cl	III	3748.81	800.0	0.8889	NIST	L495
17.02	Cl	III	3779.35	500.0	0.5556	NIST	L495
17.02	Cl	III	3925.87	500.0	0.5556	NIST	L495
17.02	Cl	III	3991.5	700.0	0.7778	NIST	L495
17.02	Cl	III	4018.5	600.0	0.6667	NIST	L495
17.02	Cl	III	4059.07	600.0	0.6667	NIST	L495
17.02	Cl	III	4104.23	500.0	0.5556	NIST	L495
17.02	Cl	III	4106.83	500.0	0.5556	NIST	L495
17.02	Cl	III	4370.91	400.0	0.4444	NIST	L495
17.02	Cl	III	4608.21	500.0	0.5556	NIST	L495
17.02	Cl	III	4703.14	300.0	0.3333	NIST	L495
17.02	Cl	III	4863.75	100.0	0.1111	NIST	L495
17.02	Cl	III	4971.64	10.0	0.0111	NIST	L495
