atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
27.00	Co	I	1842.34	1500.0	0.0714	NIST	L3338
27.00	Co	I	1847.89	1800.0	0.0857	NIST	L3338
27.00	Co	I	1852.71	1800.0	0.0857	NIST	L3338
27.00	Co	I	1855.05	2400.0	0.1143	NIST	L3338
27.00	Co	I	1878.28	1500.0	0.0714	NIST	L3338
27.00	Co	I	1936.58	1800.0	0.0857	NIST	L3338
27.00	Co	I	1946.79	1500.0	0.0714	NIST	L3338
27.00	Co	I	1951.9	1500.0	0.0714	NIST	L3338
27.00	Co	I	1954.22	1800.0	0.0857	NIST	L3338
27.00	Co	I	1955.17	1800.0	0.0857	NIST	L3338
27.00	Co	I	1958.55	1500.0	0.0714	NIST	L3338
27.00	Co	I	1961.59	1500.0	0.0714	NIST	L3338
27.00	Co	I	1968.69	1500.0	0.0714	NIST	L3338
27.00	Co	I	1968.93	1500.0	0.0714	NIST	L3338
27.00	Co	I	1970.71	3000.0	0.1429	NIST	L3338
27.00	Co	I	1971.16	1800.0	0.0857	NIST	L3338
27.00	Co	I	1972.52	1800.0	0.0857	NIST	L3338
27.00	Co	I	1973.85	1500.0	0.0714	NIST	L3338
27.00	Co	I	1976.97	1800.0	0.0857	NIST	L3338
27.00	Co	I	1980.89	2400.0	0.1143	NIST	L3338
27.00	Co	I	1989.8	1500.0	0.0714	NIST	L3338
27.00	Co	I	1990.34	1800.0	0.0857	NIST	L3338
27.00	Co	I	1998.49	1500.0	0.0714	NIST	L3338
27.00	Co	I	2002.32	1500.0	0.0714	NIST	L3338
27.00	Co	I	2008.04	900.0	0.0429	NIST	L3338
27.00	Co	I	2014.58	1200.0	0.0571	NIST	L3338
27.00	Co	I	2016.17	900.0	0.0429	NIST	L3338
27.00	Co	I	2031.96	900.0	0.0429	NIST	L3338
27.00	Co	I	2039.95	1500.0	0.0714	NIST	L3338
27.00	Co	I	2041.11	1200.0	0.0571	NIST	L3338
27.00	Co	I	2077.76	1500.0	0.0714	NIST	L3338
27.00	Co	I	2085.67	900.0	0.0429	NIST	L3338
27.00	Co	I	2087.55	900.0	0.0429	NIST	L3338
27.00	Co	I	2089.35	900.0	0.0429	NIST	L3338
27.00	Co	I	2093.4	900.0	0.0429	NIST	L3338
27.00	Co	I	2094.86	900.0	0.0429	NIST	L3338
27.00	Co	I	2095.77	900.0	0.0429	NIST	L3338
27.00	Co	I	2097.51	1200.0	0.0571	NIST	L3338
27.00	Co	I	2104.73	1500.0	0.0714	NIST	L3338
27.00	Co	I	2106.8	1500.0	0.0714	NIST	L3338
27.00	Co	I	2108.98	900.0	0.0429	NIST	L3338
27.00	Co	I	2117.68	900.0	0.0429	NIST	L3338
27.00	Co	I	2137.78	900.0	0.0429	NIST	L3338
27.00	Co	I	2138.97	900.0	0.0429	NIST	L3338
27.00	Co	I	2163.03	900.0	0.0429	NIST	L3338
27.00	Co	I	2174.6	1100.0	0.0524	NIST	L3475
27.00	Co	I	2309.02	2600.0	0.1238	NIST	L3475
27.00	Co	I	2323.14	2400.0	0.1143	NIST	L3475
27.00	Co	I	2335.99	1400.0	0.0667	NIST	L3475
27.00	Co	I	2338.67	1600.0	0.0762	NIST	L3475
27.00	Co	I	2352.85	1600.0	0.0762	NIST	L3475
27.00	Co	I	2353.42	2000.0	0.0952	NIST	L3475
27.00	Co	I	2380.48	1400.0	0.0667	NIST	L3475
27.00	Co	I	2384.86	1400.0	0.0667	NIST	L3475
27.00	Co	I	2402.06	1100.0	0.0524	NIST	L3475
27.00	Co	I	2407.25	5300.0	0.2524	NIST	L3475
27.00	Co	I	2411.62	5300.0	0.2524	NIST	L3475
27.00	Co	I	2412.76	1600.0	0.0762	NIST	L3475
27.00	Co	I	2414.46	4800.0	0.2286	NIST	L3475
