atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
27.02	Co	III	559.523	230.0	0.0018	NIST	L6156
27.02	Co	III	564.422	300.0	0.0023	NIST	L6156c153
27.02	Co	III	576.948	110.0	0.0008	NIST	L6156c153
27.02	Co	III	579.23	98.0	0.0008	NIST	L6156c153
27.02	Co	III	579.801	62.0	0.0005	NIST	L6156c153
27.02	Co	III	584.416	110.0	0.0008	NIST	L6156c153
27.02	Co	III	585.382	63.0	0.0005	NIST	L6156c153
27.02	Co	III	585.815	62.0	0.0005	NIST	L6156c153
27.02	Co	III	587.876	86.0	0.0007	NIST	L6156c153
27.02	Co	III	594.361	130.0	0.001	NIST	L6156
27.02	Co	III	598.552	69.0	0.0005	NIST	L6156c153
27.02	Co	III	602.929	500.0	0.0038	NIST	L6156
27.02	Co	III	603.84	570.0	0.0044	NIST	L6156c153
27.02	Co	III	605.329	46.0	0.0004	NIST	L6156
27.02	Co	III	606.0	160.0	0.0012	NIST	L6156
27.02	Co	III	606.134	77.0	0.0006	NIST	L6156c153
27.02	Co	III	606.661	46.0	0.0004	NIST	L6156
27.02	Co	III	606.926	440.0	0.0034	NIST	L6156
27.02	Co	III	607.354	510.0	0.0039	NIST	L6156c153
27.02	Co	III	608.425	580.0	0.0045	NIST	L6156c153
27.02	Co	III	609.607	450.0	0.0035	NIST	L6156
27.02	Co	III	610.459	480.0	0.0037	NIST	L6156
27.02	Co	III	610.691	240.0	0.0018	NIST	L6156
27.02	Co	III	610.867	310.0	0.0024	NIST	L6156
27.02	Co	III	611.161	82.0	0.0006	NIST	L6156
27.02	Co	III	611.58	550.0	0.0042	NIST	L6156
27.02	Co	III	611.786	48.0	0.0004	NIST	L6156
27.02	Co	III	612.428	290.0	0.0022	NIST	L6156
27.02	Co	III	612.49	210.0	0.0016	NIST	L6156
27.02	Co	III	612.555	97.0	0.0007	NIST	L6156
27.02	Co	III	613.137	140.0	0.0011	NIST	L6156
27.02	Co	III	614.054	310.0	0.0024	NIST	L6156
27.02	Co	III	614.85	110.0	0.0008	NIST	L6156
27.02	Co	III	614.906	230.0	0.0018	NIST	L6156
27.02	Co	III	620.474	620.0	0.0048	NIST	L6156
27.02	Co	III	624.986	170.0	0.0013	NIST	L6156
27.02	Co	III	628.462	160.0	0.0012	NIST	L6156
27.02	Co	III	631.19	150.0	0.0012	NIST	L6156
27.02	Co	III	631.368	130.0	0.001	NIST	L6156
27.02	Co	III	633.234	110.0	0.0008	NIST	L6156
27.02	Co	III	634.423	89.0	0.0007	NIST	L6156c153
27.02	Co	III	637.98	130.0	0.001	NIST	L6156
27.02	Co	III	640.836	780.0	0.006	NIST	L6156
27.02	Co	III	641.425	120.0	0.0009	NIST	L6156
27.02	Co	III	641.736	160.0	0.0012	NIST	L6156
27.02	Co	III	644.312	220.0	0.0017	NIST	L6156
27.02	Co	III	644.455	90.0	0.0007	NIST	L6156c153
27.02	Co	III	644.797	790.0	0.0061	NIST	L6156
27.02	Co	III	647.345	250.0	0.0019	NIST	L6156
27.02	Co	III	647.565	230.0	0.0018	NIST	L6156
27.02	Co	III	648.146	120.0	0.0009	NIST	L6156
27.02	Co	III	648.301	500.0	0.0038	NIST	L6156
27.02	Co	III	648.518	200.0	0.0015	NIST	L6156
27.02	Co	III	649.333	620.0	0.0048	NIST	L6156
27.02	Co	III	649.386	880.0	0.0068	NIST	L6156
27.02	Co	III	649.602	160.0	0.0012	NIST	L6156
27.02	Co	III	650.056	180.0	0.0014	NIST	L6156
27.02	Co	III	650.895	110.0	0.0008	NIST	L6156c153
27.02	Co	III	651.051	370.0	0.0028	NIST	L6156
27.02	Co	III	653.193	120.0	0.0009	NIST	L6156
27.02	Co	III	656.579	120.0	0.0009	NIST	L6156
27.02	Co	III	658.891	92.0	0.0007	NIST	L6156c153
27.02	Co	III	662.071	260.0	0.002	NIST	L6156
27.02	Co	III	663.769	970.0	0.0075	NIST	L6156
27.02	Co	III	665.035	170.0	0.0013	NIST	L6156
27.02	Co	III	665.39	360.0	0.0028	NIST	L6156
27.02	Co	III	666.288	1600.0	0.0123	NIST	L6156
27.02	Co	III	666.391	570.0	0.0044	NIST	L6156
27.02	Co	III	666.68	650.0	0.005	NIST	L6156
27.02	Co	III	667.211	120.0	0.0009	NIST	L6156c153
27.02	Co	III	667.734	570.0	0.0044	NIST	L6156
27.02	Co	III	667.901	180.0	0.0014	NIST	L6156
27.02	Co	III	668.744	440.0	0.0034	NIST	L6156
27.02	Co	III	668.826	180.0	0.0014	NIST	L6156
27.02	Co	III	668.88	1400.0	0.0108	NIST	L6156
27.02	Co	III	669.616	170.0	0.0013	NIST	L6156
27.02	Co	III	669.834	610.0	0.0047	NIST	L6156
27.02	Co	III	670.852	180.0	0.0014	NIST	L6156
27.02	Co	III	671.562	370.0	0.0028	NIST	L6156
27.02	Co	III	671.635	370.0	0.0028	NIST	L6156
27.02	Co	III	672.582	580.0	0.0045	NIST	L6156
27.02	Co	III	672.657	710.0	0.0055	NIST	L6156
27.02	Co	III	672.726	370.0	0.0028	NIST	L6156
27.02	Co	III	673.763	870.0	0.0067	NIST	L6156
