atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
24.05	Cr	VI	144.81	1.0	0.0625	NIST	L16999
24.05	Cr	VI	146.98	1.0	0.0625	NIST	L2229
24.05	Cr	VI	149.706	1.0	0.0625	NIST	L2229
24.05	Cr	VI	149.918	2.0	0.125	NIST	L2229
24.05	Cr	VI	154.197	3.0	0.1875	NIST	L2229
24.05	Cr	VI	154.418	4.0	0.25	NIST	L2229
24.05	Cr	VI	161.659	5.0	0.3125	NIST	L2229
24.05	Cr	VI	161.687	5.0	0.3125	NIST	L2229
24.05	Cr	VI	161.836	5.0	0.3125	NIST	L2229
24.05	Cr	VI	161.908	2.0	0.125	NIST	L2229
24.05	Cr	VI	162.565	6.0	0.375	NIST	L2229
24.05	Cr	VI	162.764	2.0	0.125	NIST	L2229
24.05	Cr	VI	163.014	4.0	0.25	NIST	L2229
24.05	Cr	VI	163.514	2.0	0.125	NIST	L2229
24.05	Cr	VI	163.801	2.0	0.125	NIST	L2229
24.05	Cr	VI	164.159	1.0	0.0625	NIST	L2229
24.05	Cr	VI	164.564	2.0	0.125	NIST	L2229
24.05	Cr	VI	164.833	2.0	0.125	NIST	L2229
24.05	Cr	VI	168.088	6.0	0.375	NIST	L2229
24.05	Cr	VI	168.355	1.0	0.0625	NIST	L2229
24.05	Cr	VI	169.435	7.0	0.4375	NIST	L2229
24.05	Cr	VI	170.569	2.0	0.125	NIST	L2229
24.05	Cr	VI	171.4	3.0	0.1875	NIST	L2229
24.05	Cr	VI	172.204	1.0	0.0625	NIST	L2229
24.05	Cr	VI	172.487	5.0	0.3125	NIST	L2229
24.05	Cr	VI	172.841	4.0	0.25	NIST	L2229
24.05	Cr	VI	173.973	1.0	0.0625	NIST	L2229
24.05	Cr	VI	174.175	2.0	0.125	NIST	L2229
24.05	Cr	VI	175.756	7.0	0.4375	NIST	L2229
24.05	Cr	VI	176.037	8.0	0.5	NIST	L2229
24.05	Cr	VI	201.007	11.0	0.6875	NIST	L2229
24.05	Cr	VI	201.224	9.0	0.5625	NIST	L2229
24.05	Cr	VI	201.388	8.0	0.5	NIST	L2229
24.05	Cr	VI	201.606	12.0	0.75	NIST	L2229
24.05	Cr	VI	202.057	6.0	0.375	NIST	L2229
24.05	Cr	VI	202.442	11.0	0.6875	NIST	L2229
24.05	Cr	VI	202.739	10.0	0.625	NIST	L2229
24.05	Cr	VI	204.682	6.0	0.375	NIST	L2229
24.05	Cr	VI	205.084	12.0	0.75	NIST	L2229
24.05	Cr	VI	207.489	11.0	0.6875	NIST	L2229
24.05	Cr	VI	207.651	12.0	0.75	NIST	L2229
24.05	Cr	VI	207.892	6.0	0.375	NIST	L2229
24.05	Cr	VI	226.241	12.0	0.75	NIST	L2229
24.05	Cr	VI	227.202	11.0	0.6875	NIST	L2229
24.05	Cr	VI	227.689	5.0	0.3125	NIST	L2229
24.05	Cr	VI	264.078	9.0	0.5625	NIST	L2229
24.05	Cr	VI	264.732	2.0	0.125	NIST	L2229
24.05	Cr	VI	269.776	10.0	0.625	NIST	L2229
24.05	Cr	VI	279.154	5.0	0.3125	NIST	L2229
24.05	Cr	VI	280.143	4.0	0.25	NIST	L2229
24.05	Cr	VI	280.879	2.0	0.125	NIST	L2229
24.05	Cr	VI	335.123	7.0	0.4375	NIST	L2229
24.05	Cr	VI	336.184	14.0	0.875	NIST	L2229
24.05	Cr	VI	337.185	12.0	0.75	NIST	L2229
24.05	Cr	VI	607.239	3.0	0.1875	NIST	L2229
24.05	Cr	VI	614.028	4.0	0.25	NIST	L2229
24.05	Cr	VI	720.771	1.0	0.0625	NIST	L2229
24.05	Cr	VI	723.675	1.0	0.0625	NIST	L2229
24.05	Cr	VI	756.786	2.0	0.125	NIST	L2229
24.05	Cr	VI	773.223	3.0	0.1875	NIST	L2229
24.05	Cr	VI	942.61	13.0	0.8125	NIST	L2229
24.05	Cr	VI	957.009	14.0	0.875	NIST	L2229
24.05	Cr	VI	959.093	10.0	0.625	NIST	L2229
24.05	Cr	VI	1086.681	2.0	0.125	NIST	L2229
24.05	Cr	VI	1103.926	2.0	0.125	NIST	L2229
24.05	Cr	VI	1107.225	7.0	0.4375	NIST	L2229
24.05	Cr	VI	1114.114	8.0	0.5	NIST	L2229
24.05	Cr	VI	1164.146	2.0	0.125	NIST	L2229
24.05	Cr	VI	1167.222	6.0	0.375	NIST	L2229
24.05	Cr	VI	1177.469	5.0	0.3125	NIST	L2229
24.05	Cr	VI	1255.832	8.0	0.5	NIST	L2229
24.05	Cr	VI	1261.128	7.0	0.4375	NIST	L2229
24.05	Cr	VI	1264.746	4.0	0.25	NIST	L2229
24.05	Cr	VI	1281.439	5.0	0.3125	NIST	L2229
24.05	Cr	VI	1342.741	4.0	0.25	NIST	L2229
24.05	Cr	VI	1360.504	5.0	0.3125	NIST	L2229
24.05	Cr	VI	1417.659	16.0	1.0	NIST	L2229
24.05	Cr	VI	1455.282	15.0	0.9375	NIST	L2229
24.05	Cr	VI	1907.462	4.0	0.25	NIST	L2229
24.05	Cr	VI	1924.089	5.0	0.3125	NIST	L2229
24.05	Cr	VI	1932.783	2.0	0.125	NIST	L2229
24.05	Cr	VI	1933.955	3.0	0.1875	NIST	L2229
24.05	Cr	VI	2044.777	9.0	0.5625	NIST	L2229
24.05	Cr	VI	2136.433	6.0	0.375	NIST	L2229
24.05	Cr	VI	2176.648	8.0	0.5	NIST	L2229
24.05	Cr	VI	2495.708	5.0	0.3125	NIST	L2229
