atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
24.14	Cr	XV	13.294	1.0	0.01	NIST	L1476
24.14	Cr	XV	13.416	1.0	0.01	NIST	L1476
24.14	Cr	XV	13.862	2.0	0.02	NIST	L1476
24.14	Cr	XV	13.991	2.0	0.02	NIST	L1476
24.14	Cr	XV	16.889	1.0	0.01	NIST	L15326
24.14	Cr	XV	18.497	4.0	0.04	NIST	L15326
24.14	Cr	XV	18.782	2.0	0.02	NIST	L15326
24.14	Cr	XV	20.863	3.0	0.03	NIST	L15326
24.14	Cr	XV	21.153	4.0	0.04	NIST	L15326
24.14	Cr	XV	57.775	2.0	0.02	NIST	L6938
24.14	Cr	XV	58.008	10.0	0.1	NIST	L6938
24.14	Cr	XV	58.107	3.0	0.03	NIST	L6938
24.14	Cr	XV	58.194	2.0	0.02	NIST	L6938
24.14	Cr	XV	58.35	10.0	0.1	NIST	L6938
24.14	Cr	XV	58.469	1.0	0.01	NIST	L6938
24.14	Cr	XV	58.555	3.0	0.03	NIST	L6938
24.14	Cr	XV	61.46	3.0	0.03	NIST	L6938
24.14	Cr	XV	61.639	5.0	0.05	NIST	L6938
24.14	Cr	XV	61.746	1.0	0.01	NIST	L6938
24.14	Cr	XV	62.233	2.0	0.02	NIST	L6938
24.14	Cr	XV	62.318	4.0	0.04	NIST	L6938
24.14	Cr	XV	62.378	10.0	0.1	NIST	L6938
24.14	Cr	XV	62.485	25.0	0.25	NIST	L6938
24.14	Cr	XV	62.754	3.0	0.03	NIST	L6938
24.14	Cr	XV	62.842	50.0	0.5	NIST	L6938
24.14	Cr	XV	62.958	10.0	0.1	NIST	L6938
24.14	Cr	XV	63.061	40.0	0.4	NIST	L6938
24.14	Cr	XV	63.637	3.0	0.03	NIST	L6938
24.14	Cr	XV	70.428	1.0	0.01	NIST	L6938
24.14	Cr	XV	70.728	4.0	0.04	NIST	L6938
24.14	Cr	XV	71.845	10.0	0.1	NIST	L6938
24.14	Cr	XV	71.975	1.0	0.01	NIST	L6938
24.14	Cr	XV	72.157	5.0	0.05	NIST	L6938
24.14	Cr	XV	72.511	20.0	0.2	NIST	L6938
24.14	Cr	XV	72.692	1.0	0.01	NIST	L6938
24.14	Cr	XV	72.849	5.0	0.05	NIST	L6938
24.14	Cr	XV	72.941	2.0	0.02	NIST	L6938
24.14	Cr	XV	72.971	1.0	0.01	NIST	L6938
24.14	Cr	XV	73.286	3.0	0.03	NIST	L6938
24.14	Cr	XV	73.627	5.0	0.05	NIST	L6938
24.14	Cr	XV	73.884	10.0	0.1	NIST	L6938
24.14	Cr	XV	74.173	20.0	0.2	NIST	L6938
24.14	Cr	XV	74.209	9.0	0.09	NIST	L6938
24.14	Cr	XV	74.695	60.0	0.6	NIST	L6938
24.14	Cr	XV	74.738	8.0	0.08	NIST	L6938
24.14	Cr	XV	74.813	10.0	0.1	NIST	L6938
24.14	Cr	XV	74.975	100.0	1.0	NIST	L6938
24.14	Cr	XV	75.054	7.0	0.07	NIST	L6938
24.14	Cr	XV	75.084	3.0	0.03	NIST	L6938
24.14	Cr	XV	75.241	50.0	0.5	NIST	L6938
24.14	Cr	XV	75.297	90.0	0.9	NIST	L6938
24.14	Cr	XV	75.446	70.0	0.7	NIST	L6938
24.14	Cr	XV	75.605	1.0	0.01	NIST	L6938
24.14	Cr	XV	75.67	90.0	0.9	NIST	L6938
24.14	Cr	XV	75.743	90.0	0.9	NIST	L6938
24.14	Cr	XV	75.886	1.0	0.01	NIST	L6938
24.14	Cr	XV	76.125	100.0	1.0	NIST	L6938
24.14	Cr	XV	76.162	25.0	0.25	NIST	L6938
24.14	Cr	XV	76.371	6.0	0.06	NIST	L6938
24.14	Cr	XV	77.874	10.0	0.1	NIST	L6938
24.14	Cr	XV	78.625	10.0	0.1	NIST	L6938
24.14	Cr	XV	285.375	1.0	0.01	NIST	L6775
24.14	Cr	XV	305.205	2.0	0.02	NIST	L6775
24.14	Cr	XV	308.895	4.0	0.04	NIST	L6775
24.14	Cr	XV	313.319	2.0	0.02	NIST	L6775
24.14	Cr	XV	315.51	1.0	0.01	NIST	L6775
24.14	Cr	XV	317.404	2.0	0.02	NIST	L6775
24.14	Cr	XV	317.682	2.0	0.02	NIST	L6775
24.14	Cr	XV	318.439	2.0	0.02	NIST	L6775
24.14	Cr	XV	321.244	4.0	0.04	NIST	L6775
24.14	Cr	XV	346.189	2.0	0.02	NIST	L6775
24.14	Cr	XV	348.356	2.0	0.02	NIST	L6775
24.14	Cr	XV	373.487	2.0	0.02	NIST	L6775
24.14	Cr	XV	390.959	3.0	0.03	NIST	L6775
24.14	Cr	XV	392.81	2.0	0.02	NIST	L6775
24.14	Cr	XV	402.346	3.0	0.03	NIST	L6775
24.14	Cr	XV	405.035	4.0	0.04	NIST	L6775
24.14	Cr	XV	411.28	2.0	0.02	NIST	L6775
24.14	Cr	XV	416.59	2.0	0.02	NIST	L6775
24.14	Cr	XV	422.33	1.0	0.01	NIST	L6775
24.14	Cr	XV	440.722	3.0	0.03	NIST	L6775
24.14	Cr	XV	471.3	2.0	0.02	NIST	L6775
