atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
55.01	Cs	II	564.158	1.0	0.0	NIST	L2925
55.01	Cs	II	575.32	10.0	0.0	NIST	L2925
55.01	Cs	II	591.044	250.0	0.0	NIST	L2925
55.01	Cs	II	607.291	50.0	0.0	NIST	L2925
55.01	Cs	II	612.786	35.0	0.0	NIST	L2925
55.01	Cs	II	639.356	2000.0	0.0002	NIST	L2925
55.01	Cs	II	657.112	100.0	0.0	NIST	L2925
55.01	Cs	II	668.386	500.0	0.0001	NIST	L2925
55.01	Cs	II	718.138	15000.0	0.0015	NIST	L2925
55.01	Cs	II	808.761	15000.0	0.0015	NIST	L2925
55.01	Cs	II	813.837	15000.0	0.0015	NIST	L2925
55.01	Cs	II	901.27	35000.0	0.0035	NIST	L2925
55.01	Cs	II	926.657	40000.0	0.004	NIST	L2925
55.01	Cs	II	1557.959	2.0	0.0	NIST	L12126
55.01	Cs	II	1569.493	1.0	0.0	NIST	L12126
55.01	Cs	II	1570.2731	3.0	0.0	NIST	L12126
55.01	Cs	II	1573.008	1.0	0.0	NIST	L12126
55.01	Cs	II	1576.2831	3.0	0.0	NIST	L12126
55.01	Cs	II	1585.8	10.0	0.0	NIST	L12126
55.01	Cs	II	1585.82	10.0	0.0	NIST	L12126
55.01	Cs	II	1586.325	2.0	0.0	NIST	L12126
55.01	Cs	II	1586.991	2.0	0.0	NIST	L12126
55.01	Cs	II	1588.3692	4.0	0.0	NIST	L12126
55.01	Cs	II	1588.9274	18.0	0.0	NIST	L12126
55.01	Cs	II	1590.9262	3.0	0.0	NIST	L12126
55.01	Cs	II	1592.0394	11.0	0.0	NIST	L12126
55.01	Cs	II	1593.3598	3.0	0.0	NIST	L12126
55.01	Cs	II	1593.47	2.0	0.0	NIST	L12126
55.01	Cs	II	1596.0948	7.0	0.0	NIST	L12126
55.01	Cs	II	1599.422	1.0	0.0	NIST	L12126
55.01	Cs	II	1605.813	3.0	0.0	NIST	L12126
55.01	Cs	II	1613.0562	4.0	0.0	NIST	L12126
55.01	Cs	II	1614.679	3.0	0.0	NIST	L12126
55.01	Cs	II	1621.7136	3.0	0.0	NIST	L12126
55.01	Cs	II	1622.0735	10.0	0.0	NIST	L12126
55.01	Cs	II	1622.1302	10.0	0.0	NIST	L12126
55.01	Cs	II	1627.8015	12.0	0.0	NIST	L12126
55.01	Cs	II	1632.7777	3.0	0.0	NIST	L12126
55.01	Cs	II	1634.8077	7.0	0.0	NIST	L12126
55.01	Cs	II	1636.1058	76.0	0.0	NIST	L12126
55.01	Cs	II	1636.4261	47.0	0.0	NIST	L12126
55.01	Cs	II	1636.9681	10.0	0.0	NIST	L12126
55.01	Cs	II	1639.1235	4.0	0.0	NIST	L12126
55.01	Cs	II	1639.168	2.0	0.0	NIST	L12126
55.01	Cs	II	1640.4506	13.0	0.0	NIST	L12126
55.01	Cs	II	1641.9687	6.0	0.0	NIST	L12126
55.01	Cs	II	1643.8632	5.0	0.0	NIST	L12126
55.01	Cs	II	1646.5623	4.0	0.0	NIST	L12126
55.01	Cs	II	1648.6343	4.0	0.0	NIST	L12126
55.01	Cs	II	1650.4964	25.0	0.0	NIST	L12126
55.01	Cs	II	1650.8131	1.0	0.0	NIST	L12126
55.01	Cs	II	1652.7899	3.0	0.0	NIST	L12126
55.01	Cs	II	1653.2816	2.0	0.0	NIST	L12126
55.01	Cs	II	1654.2756	3.0	0.0	NIST	L12126
55.01	Cs	II	1656.149	300.0	0.0	NIST	L12126
55.01	Cs	II	1657.8341	4.0	0.0	NIST	L12126
55.01	Cs	II	1658.3443	6.0	0.0	NIST	L12126
55.01	Cs	II	1661.8514	90.0	0.0	NIST	L12126
55.01	Cs	II	1662.041	3.0	0.0	NIST	L12126
55.01	Cs	II	1663.9691	10.0	0.0	NIST	L12126
55.01	Cs	II	1664.3092	3.0	0.0	NIST	L12126
55.01	Cs	II	1666.1279	16.0	0.0	NIST	L12126
55.01	Cs	II	1668.1035	1.0	0.0	NIST	L12126
55.01	Cs	II	1668.703	10.0	0.0	NIST	L12126
55.01	Cs	II	1668.9654	2.0	0.0	NIST	L12126
55.01	Cs	II	1669.9663	6.0	0.0	NIST	L12126
55.01	Cs	II	1672.2534	25.0	0.0	NIST	L12126
55.01	Cs	II	1676.7138	11.0	0.0	NIST	L12126
55.01	Cs	II	1678.2834	11.0	0.0	NIST	L12126
55.01	Cs	II	1679.884	83.0	0.0	NIST	L12126
55.01	Cs	II	1679.9991	5.0	0.0	NIST	L12126
55.01	Cs	II	1685.792	5.0	0.0	NIST	L12126
55.01	Cs	II	1687.6949	14.0	0.0	NIST	L12126
55.01	Cs	II	1688.6322	2.0	0.0	NIST	L12126
55.01	Cs	II	1689.4656	690.0	0.0001	NIST	L12126
55.01	Cs	II	1691.8282	230.0	0.0	NIST	L12126
55.01	Cs	II	1698.036	5.0	0.0	NIST	L12126
55.01	Cs	II	1698.4243	5.0	0.0	NIST	L12126
55.01	Cs	II	1703.9523	120.0	0.0	NIST	L12126
55.01	Cs	II	1705.7018	81.0	0.0	NIST	L12126
55.01	Cs	II	1710.252	3.0	0.0	NIST	L12126
55.01	Cs	II	1712.429	12.0	0.0	NIST	L12126
55.01	Cs	II	1712.628	10.0	0.0	NIST	L12126
55.01	Cs	II	1713.0877	3.0	0.0	NIST	L12126
55.01	Cs	II	1715.529	4.0	0.0	NIST	L12126
55.01	Cs	II	1716.2299	6.0	0.0	NIST	L12126
55.01	Cs	II	1717.6394	670.0	0.0001	NIST	L12126
55.01	Cs	II	1717.8293	3.0	0.0	NIST	L12126
55.01	Cs	II	1718.3677	3.0	0.0	NIST	L12126
55.01	Cs	II	1718.967	740.0	0.0001	NIST	L12126
55.01	Cs	II	1719.1117	5.0	0.0	NIST	L12126
55.01	Cs	II	1720.126	15.0	0.0	NIST	L12126
55.01	Cs	II	1721.422	6.0	0.0	NIST	L12126
55.01	Cs	II	1726.171	73.0	0.0	NIST	L12126
55.01	Cs	II	1727.7927	290.0	0.0	NIST	L12126
55.01	Cs	II	1733.0802	6.0	0.0	NIST	L12126
55.01	Cs	II	1733.468	22.0	0.0	NIST	L12126
55.01	Cs	II	1733.887	11.0	0.0	NIST	L12126
55.01	Cs	II	1735.0257	5.0	0.0	NIST	L12126
55.01	Cs	II	1735.7901	4.0	0.0	NIST	L12126
55.01	Cs	II	1736.7679	260.0	0.0	NIST	L12126
55.01	Cs	II	1738.139	64.0	0.0	NIST	L12126
55.01	Cs	II	1745.121	24.0	0.0	NIST	L12126
55.01	Cs	II	1745.8256	4.0	0.0	NIST	L12126
55.01	Cs	II	1746.7853	4.0	0.0	NIST	L12126
55.01	Cs	II	1751.2062	9.0	0.0	NIST	L12126
55.01	Cs	II	1755.8962	11.0	0.0	NIST	L12126
55.01	Cs	II	1756.5951	13.0	0.0	NIST	L12126
55.01	Cs	II	1756.9644	120.0	0.0	NIST	L12126
55.01	Cs	II	1757.967	54.0	0.0	NIST	L12126
55.01	Cs	II	1760.202	4.0	0.0	NIST	L12126
55.01	Cs	II	1762.0413	36.0	0.0	NIST	L12126
55.01	Cs	II	1762.1658	85.0	0.0	NIST	L12126
55.01	Cs	II	1763.2163	4.0	0.0	NIST	L12126
55.01	Cs	II	1766.4326	59.0	0.0	NIST	L12126
55.01	Cs	II	1768.519	12.0	0.0	NIST	L12126
55.01	Cs	II	1774.1573	1.0	0.0	NIST	L12126
55.01	Cs	II	1778.2463	1.0	0.0	NIST	L12126
55.01	Cs	II	1792.9179	6.0	0.0	NIST	L12126
55.01	Cs	II	1793.8884	10.0	0.0	NIST	L12126
55.01	Cs	II	1795.3964	93.0	0.0	NIST	L12126
55.01	Cs	II	1800.416	2.0	0.0	NIST	L12126
55.01	Cs	II	1801.2496	2.0	0.0	NIST	L12126
55.01	Cs	II	1804.0914	15.0	0.0	NIST	L12126
55.01	Cs	II	1806.9928	2.0	0.0	NIST	L12126
55.01	Cs	II	1807.8266	830.0	0.0001	NIST	L12126
55.01	Cs	II	1808.212	24.0	0.0	NIST	L12126
55.01	Cs	II	1808.2383	11.0	0.0	NIST	L12126
55.01	Cs	II	1808.3748	36.0	0.0	NIST	L12126
55.01	Cs	II	1809.8382	6.0	0.0	NIST	L12126
55.01	Cs	II	1811.1059	3.0	0.0	NIST	L12126
55.01	Cs	II	1813.59	62.0	0.0	NIST	L12126
55.01	Cs	II	1813.753	830.0	0.0001	NIST	L12126
55.01	Cs	II	1814.7359	29.0	0.0	NIST	L12126
55.01	Cs	II	1814.8497	3.0	0.0	NIST	L12126
55.01	Cs	II	1815.156	740.0	0.0001	NIST	L12126
55.01	Cs	II	1818.8727	3.0	0.0	NIST	L12126
55.01	Cs	II	1821.5475	5.0	0.0	NIST	L12126
55.01	Cs	II	1823.5809	240.0	0.0	NIST	L12126
55.01	Cs	II	1824.2673	3.0	0.0	NIST	L12126
55.01	Cs	II	1824.73	3.0	0.0	NIST	L12126
55.01	Cs	II	1825.9901	100.0	0.0	NIST	L12126
55.01	Cs	II	1828.033	71.0	0.0	NIST	L12126
55.01	Cs	II	1828.3344	68.0	0.0	NIST	L12126
55.01	Cs	II	1829.4426	2.0	0.0	NIST	L12126
55.01	Cs	II	1829.879	8.0	0.0	NIST	L12126
55.01	Cs	II	1832.8234	310.0	0.0	NIST	L12126
55.01	Cs	II	1832.8827	29.0	0.0	NIST	L12126
55.01	Cs	II	1833.3263	10.0	0.0	NIST	L12126
55.01	Cs	II	1834.591	5.0	0.0	NIST	L12126
55.01	Cs	II	1837.4095	2.0	0.0	NIST	L12126
55.01	Cs	II	1838.1974	4.0	0.0	NIST	L12126
55.01	Cs	II	1839.2142	4.0	0.0	NIST	L12126
55.01	Cs	II	1840.0518	40.0	0.0	NIST	L12126
55.01	Cs	II	1840.497	1800.0	0.0002	NIST	L12126
55.01	Cs	II	1840.63	2.0	0.0	NIST	L12126
55.01	Cs	II	1840.868	3.0	0.0	NIST	L12126
55.01	Cs	II	1841.0567	1.0	0.0	NIST	L12126
55.01	Cs	II	1843.432	45.0	0.0	NIST	L12126
55.01	Cs	II	1843.901	2.0	0.0	NIST	L12126
55.01	Cs	II	1844.4145	11.0	0.0	NIST	L12126
55.01	Cs	II	1845.716	2.0	0.0	NIST	L12126
55.01	Cs	II	1846.028	9.0	0.0	NIST	L12126
55.01	Cs	II	1848.048	3.0	0.0	NIST	L12126
55.01	Cs	II	1852.2427	2.0	0.0	NIST	L12126
55.01	Cs	II	1852.6424	60.0	0.0	NIST	L12126
55.01	Cs	II	1852.9352	4.0	0.0	NIST	L12126
55.01	Cs	II	1855.028	13.0	0.0	NIST	L12126
55.01	Cs	II	1857.063	2.0	0.0	NIST	L12126
55.01	Cs	II	1857.535	110.0	0.0	NIST	L12126
55.01	Cs	II	1859.1659	1300.0	0.0001	NIST	L12126
55.01	Cs	II	1860.141	2.0	0.0	NIST	L12126
55.01	Cs	II	1860.8892	120.0	0.0	NIST	L12126
55.01	Cs	II	1862.4402	4.0	0.0	NIST	L12126
55.01	Cs	II	1862.8813	2.0	0.0	NIST	L12126
55.01	Cs	II	1864.072	2.0	0.0	NIST	L12126
55.01	Cs	II	1864.161	10.0	0.0	NIST	L12126
55.01	Cs	II	1864.8295	730.0	0.0001	NIST	L12126
55.01	Cs	II	1865.9263	2.0	0.0	NIST	L12126
55.01	Cs	II	1866.687	7.0	0.0	NIST	L12126
55.01	Cs	II	1866.9295	3.0	0.0	NIST	L12126
55.01	Cs	II	1870.47	29.0	0.0	NIST	L12126
55.01	Cs	II	1876.7239	710.0	0.0001	NIST	L12126
55.01	Cs	II	1883.9339	1800.0	0.0002	NIST	L12126
55.01	Cs	II	1885.8597	8.0	0.0	NIST	L12126
55.01	Cs	II	1887.2479	55.0	0.0	NIST	L12126
55.01	Cs	II	1887.29	2.0	0.0	NIST	L12126
55.01	Cs	II	1888.9023	5.0	0.0	NIST	L12126
55.01	Cs	II	1891.5705	81.0	0.0	NIST	L12126
55.01	Cs	II	1892.302	2.0	0.0	NIST	L12126
55.01	Cs	II	1893.246	10.0	0.0	NIST	L12126
55.01	Cs	II	1894.2493	2.0	0.0	NIST	L12126
55.01	Cs	II	1896.8785	10.0	0.0	NIST	L12126
55.01	Cs	II	1897.148	76.0	0.0	NIST	L12126
55.01	Cs	II	1898.468	10.0	0.0	NIST	L12126
55.01	Cs	II	1899.1576	4.0	0.0	NIST	L12126
55.01	Cs	II	1900.265	1.0	0.0	NIST	L12126
