atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
55.05	Cs	VI	396.746	22.0	0.25	NIST	L10858
55.05	Cs	VI	401.968	38.0	0.4318	NIST	L10858
55.05	Cs	VI	405.518	15.0	0.1705	NIST	L10858
55.05	Cs	VI	410.312	40.0	0.4545	NIST	L10858
55.05	Cs	VI	410.976	45.0	0.5114	NIST	L10858
55.05	Cs	VI	431.883	38.0	0.4318	NIST	L10858
55.05	Cs	VI	434.712	50.0	0.5682	NIST	L10858
55.05	Cs	VI	436.365	52.0	0.5909	NIST	L10858
55.05	Cs	VI	442.298	57.0	0.6477	NIST	L10858
55.05	Cs	VI	442.693	47.0	0.5341	NIST	L10858
55.05	Cs	VI	466.447	25.0	0.2841	NIST	L10858
55.05	Cs	VI	472.107	38.0	0.4318	NIST	L10858
55.05	Cs	VI	478.711	55.0	0.625	NIST	L10858
55.05	Cs	VI	490.613	38.0	0.4318	NIST	L10858
55.05	Cs	VI	495.028	65.0	0.7386	NIST	L10858
55.05	Cs	VI	498.127	55.0	0.625	NIST	L10858
55.05	Cs	VI	500.502	70.0	0.7955	NIST	L10858
55.05	Cs	VI	504.097	58.0	0.6591	NIST	L10858
55.05	Cs	VI	506.02	66.0	0.75	NIST	L10858
55.05	Cs	VI	508.757	48.0	0.5455	NIST	L10858
55.05	Cs	VI	514.093	75.0	0.8523	NIST	L10858
55.05	Cs	VI	514.241	50.0	0.5682	NIST	L10858
55.05	Cs	VI	520.375	65.0	0.7386	NIST	L10858
55.05	Cs	VI	522.294	70.0	0.7955	NIST	L10858
55.05	Cs	VI	532.992	78.0	0.8864	NIST	L10858
55.05	Cs	VI	539.366	70.0	0.7955	NIST	L10858
55.05	Cs	VI	548.591	45.0	0.5114	NIST	L10858
55.05	Cs	VI	552.665	64.0	0.7273	NIST	L10858
55.05	Cs	VI	555.703	63.0	0.7159	NIST	L10858
55.05	Cs	VI	556.777	55.0	0.625	NIST	L10858
55.05	Cs	VI	558.268	45.0	0.5114	NIST	L10858
55.05	Cs	VI	564.697	52.0	0.5909	NIST	L10858
55.05	Cs	VI	565.503	8.0	0.0909	NIST	L10858
55.05	Cs	VI	569.332	52.0	0.5909	NIST	L10858
55.05	Cs	VI	572.31	50.0	0.5682	NIST	L10858
55.05	Cs	VI	589.477	72.0	0.8182	NIST	L10858
55.05	Cs	VI	589.691	40.0	0.4545	NIST	L10858
55.05	Cs	VI	607.02	42.0	0.4773	NIST	L10858
55.05	Cs	VI	609.285	65.0	0.7386	NIST	L10858
55.05	Cs	VI	611.735	72.0	0.8182	NIST	L10858
55.05	Cs	VI	615.32	55.0	0.625	NIST	L10858
55.05	Cs	VI	627.36	75.0	0.8523	NIST	L10858
55.05	Cs	VI	632.846	82.0	0.9318	NIST	L10858
55.05	Cs	VI	638.762	32.0	0.3636	NIST	L10858
55.05	Cs	VI	648.526	68.0	0.7727	NIST	L10858
55.05	Cs	VI	678.479	4.0	0.0455	NIST	L10858
55.05	Cs	VI	681.699	62.0	0.7045	NIST	L10858
55.05	Cs	VI	703.973	60.0	0.6818	NIST	L10858
55.05	Cs	VI	704.104	80.0	0.9091	NIST	L10858
55.05	Cs	VI	711.313	25.0	0.2841	NIST	L10858
55.05	Cs	VI	711.953	75.0	0.8523	NIST	L10858
55.05	Cs	VI	729.141	80.0	0.9091	NIST	L10858
55.05	Cs	VI	732.217	25.0	0.2841	NIST	L10858
55.05	Cs	VI	748.109	78.0	0.8864	NIST	L10858
55.05	Cs	VI	758.917	80.0	0.9091	NIST	L10858
55.05	Cs	VI	827.035	88.0	1.0	NIST	L10858
55.05	Cs	VI	830.465	72.0	0.8182	NIST	L10858
55.05	Cs	VI	836.19	52.0	0.5909	NIST	L10858
55.05	Cs	VI	866.096	22.0	0.25	NIST	L10858
55.05	Cs	VI	876.127	50.0	0.5682	NIST	L10858
55.05	Cs	VI	971.046	61.0	0.6932	NIST	L10858
55.05	Cs	VI	982.444	30.0	0.3409	NIST	L10858
55.05	Cs	VI	1020.118	34.0	0.3864	NIST	L10858
55.05	Cs	VI	1034.06	54.0	0.6136	NIST	L10858
55.05	Cs	VI	1055.929	75.0	0.8523	NIST	L10858
55.05	Cs	VI	1120.452	73.0	0.8295	NIST	L10858
55.05	Cs	VI	1392.432	5.0	0.0568	NIST	L10858
