atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
29.00	Cu	I	1579.65	8.0	0.0	NIST	L4958
29.00	Cu	I	1583.797	15.0	0.0	NIST	L4958
29.00	Cu	I	1585.871	4.0	0.0	NIST	L4958
29.00	Cu	I	1605.623	1.0	0.0	NIST	L4958
29.00	Cu	I	1605.658	1.0	0.0	NIST	L4958
29.00	Cu	I	1605.694	2.0	0.0	NIST	L4958
29.00	Cu	I	1605.736	3.0	0.0	NIST	L4958
29.00	Cu	I	1605.776	4.0	0.0	NIST	L4958
29.00	Cu	I	1605.82	5.0	0.0	NIST	L4958
29.00	Cu	I	1605.864	6.0	0.0	NIST	L4958
29.00	Cu	I	1605.915	7.0	0.0	NIST	L4958
29.00	Cu	I	1605.969	8.0	0.0	NIST	L4958
29.00	Cu	I	1606.024	9.0	0.0	NIST	L4958
29.00	Cu	I	1606.085	10.0	0.0	NIST	L4958
29.00	Cu	I	1606.149	15.0	0.0	NIST	L4958
29.00	Cu	I	1606.218	20.0	0.0	NIST	L4958
29.00	Cu	I	1606.293	30.0	0.0	NIST	L4958
29.00	Cu	I	1606.372	40.0	0.0	NIST	L4958
29.00	Cu	I	1606.457	50.0	0.0	NIST	L4958
29.00	Cu	I	1606.549	60.0	0.0	NIST	L4958
29.00	Cu	I	1606.611	1.0	0.0	NIST	L4958
29.00	Cu	I	1606.649	70.0	0.0	NIST	L4958
29.00	Cu	I	1606.717	1.0	0.0	NIST	L4958
29.00	Cu	I	1606.756	80.0	0.0	NIST	L4958
29.00	Cu	I	1606.825	2.0	0.0	NIST	L4958
29.00	Cu	I	1606.873	90.0	0.0	NIST	L4958
29.00	Cu	I	1606.948	3.0	0.0	NIST	L4958
29.00	Cu	I	1607.001	100.0	0.0	NIST	L4958
29.00	Cu	I	1607.083	4.0	0.0	NIST	L4958
29.00	Cu	I	1607.14	150.0	0.0	NIST	L4958
29.00	Cu	I	1607.222	4.0	0.0	NIST	L4958
29.00	Cu	I	1607.29	200.0	0.0	NIST	L4958
29.00	Cu	I	1607.384	5.0	0.0	NIST	L4958
29.00	Cu	I	1607.454	250.0	0.0	NIST	L4958
29.00	Cu	I	1607.555	6.0	0.0	NIST	L4958
29.00	Cu	I	1607.636	300.0	0.0	NIST	L4958
29.00	Cu	I	1607.75	8.0	0.0	NIST	L4958
29.00	Cu	I	1607.837	400.0	0.0	NIST	L4958
29.00	Cu	I	1607.961	10.0	0.0	NIST	L4958
29.00	Cu	I	1608.06	500.0	0.0	NIST	L4958
29.00	Cu	I	1608.196	9.0	0.0	NIST	L4958
29.00	Cu	I	1608.306	600.0	0.0001	NIST	L4958
29.00	Cu	I	1608.457	8.0	0.0	NIST	L4958
29.00	Cu	I	1608.58	700.0	0.0001	NIST	L4958
29.00	Cu	I	1608.753	10.0	0.0	NIST	L4958
29.00	Cu	I	1608.887	800.0	0.0001	NIST	L4958
29.00	Cu	I	1609.077	7.0	0.0	NIST	L4958
29.00	Cu	I	1609.232	900.0	0.0001	NIST	L4958
29.00	Cu	I	1609.449	5.0	0.0	NIST	L4958
29.00	Cu	I	1609.619	1000.0	0.0001	NIST	L4958
