atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
29.04	Cu	V	258.95	9.0	0.1047	NIST	L3881
29.04	Cu	V	271.33	49.0	0.5698	NIST	L3881
29.04	Cu	V	283.97	49.0	0.5698	NIST	L3881
29.04	Cu	V	293.41	22.0	0.2558	NIST	L3881
29.04	Cu	V	299.64	56.0	0.6512	NIST	L3881
29.04	Cu	V	305.83	65.0	0.7558	NIST	L3881
29.04	Cu	V	312.51	51.0	0.593	NIST	L3881
29.04	Cu	V	321.05	66.0	0.7674	NIST	L3881
29.04	Cu	V	326.57	74.0	0.8605	NIST	L3881
29.04	Cu	V	333.56	82.0	0.9535	NIST	L3881
29.04	Cu	V	339.88	81.0	0.9419	NIST	L3881
29.04	Cu	V	346.0	81.0	0.9419	NIST	L3881
29.04	Cu	V	355.41	86.0	1.0	NIST	L3881
29.04	Cu	V	363.96	77.0	0.8953	NIST	L3881
29.04	Cu	V	370.63	65.0	0.7558	NIST	L3881
29.04	Cu	V	377.76	74.0	0.8605	NIST	L3881
29.04	Cu	V	387.4	70.0	0.814	NIST	L3881
29.04	Cu	V	396.06	51.0	0.593	NIST	L3881
29.04	Cu	V	406.94	25.0	0.2907	NIST	L3881
29.04	Cu	V	1097.1	13.0	0.1512	NIST	L3881
29.04	Cu	V	1106.24	42.0	0.4884	NIST	L3881
29.04	Cu	V	1113.22	77.0	0.8953	NIST	L3881
29.04	Cu	V	1121.2	67.0	0.7791	NIST	L3881
29.04	Cu	V	1128.8	76.0	0.8837	NIST	L3881
29.04	Cu	V	1133.86	59.0	0.686	NIST	L3881
29.04	Cu	V	1142.38	63.0	0.7326	NIST	L3881
29.04	Cu	V	1149.06	54.0	0.6279	NIST	L3881
29.04	Cu	V	1157.54	72.0	0.8372	NIST	L3881
29.04	Cu	V	1167.35	64.0	0.7442	NIST	L3881
29.04	Cu	V	1176.53	77.0	0.8953	NIST	L3881
29.04	Cu	V	1183.63	84.0	0.9767	NIST	L3881
29.04	Cu	V	1192.54	76.0	0.8837	NIST	L3881
29.04	Cu	V	1201.22	83.0	0.9651	NIST	L3881
29.04	Cu	V	1204.9	77.0	0.8953	NIST	L3881
29.04	Cu	V	1214.36	71.0	0.8256	NIST	L3881
29.04	Cu	V	1221.34	70.0	0.814	NIST	L3881
29.04	Cu	V	1230.11	76.0	0.8837	NIST	L3881
29.04	Cu	V	1239.73	80.0	0.9302	NIST	L3881
29.04	Cu	V	1246.99	79.0	0.9186	NIST	L3881
29.04	Cu	V	1253.07	65.0	0.7558	NIST	L3881
29.04	Cu	V	1260.24	70.0	0.814	NIST	L3881
29.04	Cu	V	1269.35	77.0	0.8953	NIST	L3881
29.04	Cu	V	1278.2	78.0	0.907	NIST	L3881
29.04	Cu	V	1286.13	68.0	0.7907	NIST	L3881
29.04	Cu	V	1292.08	67.0	0.7791	NIST	L3881
29.04	Cu	V	1299.22	73.0	0.8488	NIST	L3881
29.04	Cu	V	1309.72	65.0	0.7558	NIST	L3881
29.04	Cu	V	1318.89	55.0	0.6395	NIST	L3881
29.04	Cu	V	1323.28	65.0	0.7558	NIST	L3881
29.04	Cu	V	1329.22	64.0	0.7442	NIST	L3881
