atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
29.15	Cu	XVI	44.98	350.0	1.0	NIST	L4434
29.15	Cu	XVI	45.21	350.0	1.0	NIST	L4434
29.15	Cu	XVI	45.24	300.0	0.8571	NIST	L4434
29.15	Cu	XVI	52.18	350.0	1.0	NIST	L4486
29.15	Cu	XVI	52.85	350.0	1.0	NIST	L4486
29.15	Cu	XVI	53.52	300.0	0.8571	NIST	L4486
29.15	Cu	XVI	54.24	100.0	0.2857	NIST	L4434
29.15	Cu	XVI	54.48	200.0	0.5714	NIST	L4434
29.15	Cu	XVI	154.271	5.0	0.0143	NIST	L10216
29.15	Cu	XVI	164.228	10.0	0.0286	NIST	L10216
29.15	Cu	XVI	165.504	2.0	0.0057	NIST	L10216
29.15	Cu	XVI	166.025	2.0	0.0057	NIST	L10216
29.15	Cu	XVI	166.887	3.0	0.0086	NIST	L10216
29.15	Cu	XVI	168.019	1.0	0.0029	NIST	L10216
29.15	Cu	XVI	168.295	10.0	0.0286	NIST	L10216
29.15	Cu	XVI	168.879	20.0	0.0571	NIST	L10216
29.15	Cu	XVI	173.921	2.0	0.0057	NIST	L10216
29.15	Cu	XVI	174.505	20.0	0.0571	NIST	L10216
29.15	Cu	XVI	178.959	5.0	0.0143	NIST	L10216
29.15	Cu	XVI	184.613	20.0	0.0571	NIST	L10216
29.15	Cu	XVI	192.461	1.0	0.0029	NIST	L10216
29.15	Cu	XVI	195.766	5.0	0.0143	NIST	L10216
29.15	Cu	XVI	203.155	10.0	0.0286	NIST	L10216
29.15	Cu	XVI	209.16	10.0	0.0286	NIST	L10216
29.15	Cu	XVI	210.385	10.0	0.0286	NIST	L10216
29.15	Cu	XVI	251.954	1.0	0.0029	NIST	L10216
29.15	Cu	XVI	259.857	3.0	0.0086	NIST	L10216
29.15	Cu	XVI	261.247	1.0	0.0029	NIST	L10216
29.15	Cu	XVI	276.821	2.0	0.0057	NIST	L10216
29.15	Cu	XVI	291.705	2.0	0.0057	NIST	L10216
29.15	Cu	XVI	298.162	1.0	0.0029	NIST	L10216
