atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
29.16	Cu	XVII	42.81	400.0	0.6667	NIST	L4486
29.16	Cu	XVII	43.31	500.0	0.8333	NIST	L4486
29.16	Cu	XVII	48.89	350.0	0.5833	NIST	L4486
29.16	Cu	XVII	49.9	350.0	0.5833	NIST	L4486
29.16	Cu	XVII	50.17	450.0	0.75	NIST	L4486
29.16	Cu	XVII	50.81	450.0	0.75	NIST	L4486
29.16	Cu	XVII	50.98	550.0	0.9167	NIST	L4486
29.16	Cu	XVII	51.16	600.0	1.0	NIST	L4486
29.16	Cu	XVII	52.59	450.0	0.75	NIST	L4486
29.16	Cu	XVII	52.76	350.0	0.5833	NIST	L4486
29.16	Cu	XVII	174.168	50.0	0.0833	NIST	L10163
29.16	Cu	XVII	183.485	100.0	0.1667	NIST	L10163
29.16	Cu	XVII	184.855	5.0	0.0083	NIST	L10163
29.16	Cu	XVII	203.881	5.0	0.0083	NIST	L10163
29.16	Cu	XVII	208.328	3.0	0.005	NIST	L6856
29.16	Cu	XVII	218.716	100.0	0.1667	NIST	L10163
29.16	Cu	XVII	223.17	1.0	0.0017	NIST	L10163
29.16	Cu	XVII	223.823	10.0	0.0167	NIST	L10163
29.16	Cu	XVII	224.841	10.0	0.0167	NIST	L10163
29.16	Cu	XVII	230.675	2.0	0.0033	NIST	L6856
29.16	Cu	XVII	239.462	5.0	0.0083	NIST	L6856
29.16	Cu	XVII	268.647	1.0	0.0017	NIST	L10163
29.16	Cu	XVII	290.239	2.0	0.0033	NIST	L10163
