atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
66.00	Dy	I	2585.3	220.0	0.0138	NIST	L3475
66.00	Dy	I	2623.69	370.0	0.0231	NIST	L3475
66.00	Dy	I	2642.15	110.0	0.0069	NIST	L3475
66.00	Dy	I	2667.94	110.0	0.0069	NIST	L3475
66.00	Dy	I	2735.79	55.0	0.0034	NIST	L3475
66.00	Dy	I	2862.7	140.0	0.0088	NIST	L3475
66.00	Dy	I	2885.53	120.0	0.0075	NIST	L3475
66.00	Dy	I	2964.6	220.0	0.0138	NIST	L3475
66.00	Dy	I	3147.694	300.0	0.0187	NIST	L1177
66.00	Dy	I	3263.186	3000.0	0.1875	NIST	L1177
66.00	Dy	I	3511.015	1000.0	0.0625	NIST	L1177
66.00	Dy	I	3571.438	1000.0	0.0625	NIST	L1177
66.00	Dy	I	3666.84	400.0	0.025	NIST	L3475
66.00	Dy	I	3678.51	640.0	0.04	NIST	L3475
66.00	Dy	I	3684.85	820.0	0.0512	NIST	L3475
66.00	Dy	I	3685.78	1300.0	0.0813	NIST	L3475
66.00	Dy	I	3728.0	300.0	0.0187	NIST	L3475
66.00	Dy	I	3739.34	930.0	0.0581	NIST	L3475
66.00	Dy	I	3757.05	1200.0	0.075	NIST	L3475
66.00	Dy	I	3767.63	640.0	0.04	NIST	L3475
66.00	Dy	I	3771.11	330.0	0.0206	NIST	L3475
66.00	Dy	I	3773.05	640.0	0.04	NIST	L3475
66.00	Dy	I	3774.71	370.0	0.0231	NIST	L3475
66.00	Dy	I	3781.47	420.0	0.0262	NIST	L3475
66.00	Dy	I	3812.27	470.0	0.0294	NIST	L3475
66.00	Dy	I	3840.89	370.0	0.0231	NIST	L3475
66.00	Dy	I	3844.36	330.0	0.0206	NIST	L3475
66.00	Dy	I	3847.02	420.0	0.0262	NIST	L3475
66.00	Dy	I	3858.4	420.0	0.0262	NIST	L3475
66.00	Dy	I	3868.81	1600.0	0.1	NIST	L3475
66.00	Dy	I	3917.29	540.0	0.0338	NIST	L3475
66.00	Dy	I	3927.86	420.0	0.0262	NIST	L3475
66.00	Dy	I	3930.14	540.0	0.0338	NIST	L3475
66.00	Dy	I	3936.7	420.0	0.0262	NIST	L3475
66.00	Dy	I	3962.59	370.0	0.0231	NIST	L3475
66.00	Dy	I	3967.51	320.0	0.02	NIST	L3475
66.00	Dy	I	4005.84	420.0	0.0262	NIST	L3475
66.00	Dy	I	4006.07	320.0	0.02	NIST	L3475
66.00	Dy	I	4013.82	540.0	0.0338	NIST	L3475
66.00	Dy	I	4023.71	370.0	0.0231	NIST	L3475
66.00	Dy	I	4045.97	12000.0	0.75	NIST	L3475
66.00	Dy	I	4085.34	370.0	0.0231	NIST	L3475
66.00	Dy	I	4096.1	390.0	0.0244	NIST	L3475
66.00	Dy	I	4103.87	860.0	0.0537	NIST	L3475
66.00	Dy	I	4129.12	350.0	0.0219	NIST	L3475
66.00	Dy	I	4130.35	350.0	0.0219	NIST	L3475
66.00	Dy	I	4133.85	390.0	0.0244	NIST	L3475
66.00	Dy	I	4146.06	990.0	0.0619	NIST	L3475
66.00	Dy	I	4167.97	5700.0	0.3563	NIST	L3475
66.00	Dy	I	4171.93	370.0	0.0231	NIST	L3475
66.00	Dy	I	4183.72	930.0	0.0581	NIST	L3475
66.00	Dy	I	4186.82	12000.0	0.75	NIST	L3475
66.00	Dy	I	4190.94	320.0	0.02	NIST	L3475
66.00	Dy	I	4191.64	2200.0	0.1375	NIST	L3475
66.00	Dy	I	4194.84	6800.0	0.425	NIST	L3475
66.00	Dy	I	4198.02	800.0	0.05	NIST	L3475
66.00	Dy	I	4201.3	680.0	0.0425	NIST	L3475
66.00	Dy	I	4202.24	680.0	0.0425	NIST	L3475
66.00	Dy	I	4205.06	230.0	0.0144	NIST	L3475
66.00	Dy	I	4211.24	440.0	0.0275	NIST	L3475
66.00	Dy	I	4211.72	16000.0	1.0	NIST	L3475
66.00	Dy	I	4213.18	1800.0	0.1125	NIST	L3475
66.00	Dy	I	4215.16	3700.0	0.2313	NIST	L3475
66.00	Dy	I	4218.09	4400.0	0.275	NIST	L3475
66.00	Dy	I	4221.11	4400.0	0.275	NIST	L3475
66.00	Dy	I	4222.21	540.0	0.0338	NIST	L3475
66.00	Dy	I	4225.16	2700.0	0.1688	NIST	L3475
66.00	Dy	I	4232.02	680.0	0.0425	NIST	L3475
66.00	Dy	I	4239.85	680.0	0.0425	NIST	L3475
66.00	Dy	I	4245.91	440.0	0.0275	NIST	L3475
66.00	Dy	I	4268.264	1000.0	0.0625	NIST	L1177
66.00	Dy	I	4276.69	250.0	0.0156	NIST	L3475
66.00	Dy	I	4291.966	3000.0	0.1875	NIST	L1177
66.00	Dy	I	4325.86	320.0	0.02	NIST	L3475
66.00	Dy	I	4444.58	150.0	0.0094	NIST	L3475
66.00	Dy	I	4527.58	100.0	0.0063	NIST	L3475
66.00	Dy	I	4565.09	140.0	0.0088	NIST	L3475
66.00	Dy	I	4577.78	420.0	0.0262	NIST	L3475
66.00	Dy	I	4589.36	2100.0	0.1313	NIST	L3475
66.00	Dy	I	4612.26	990.0	0.0619	NIST	L3475
66.00	Dy	I	4613.83	50.0	0.0031	NIST	L3475
66.00	Dy	I	4614.82	50.0	0.0031	NIST	L3475
66.00	Dy	I	4662.72	50.0	0.0031	NIST	L3475
66.00	Dy	I	4721.22	85.0	0.0053	NIST	L3475
66.00	Dy	I	4771.94	60.0	0.0037	NIST	L3475
66.00	Dy	I	4774.8	50.0	0.0031	NIST	L3475
66.00	Dy	I	4775.79	120.0	0.0075	NIST	L3475
66.00	Dy	I	4791.29	95.0	0.0059	NIST	L3475
66.00	Dy	I	4800.64	29.0	0.0018	NIST	L3475
66.00	Dy	I	4807.94	50.0	0.0031	NIST	L3475
66.00	Dy	I	4810.28	40.0	0.0025	NIST	L3475
66.00	Dy	I	4812.8	50.0	0.0031	NIST	L3475
66.00	Dy	I	4819.04	75.0	0.0047	NIST	L3475
66.00	Dy	I	4824.96	85.0	0.0053	NIST	L3475
66.00	Dy	I	4828.88	75.0	0.0047	NIST	L3475
66.00	Dy	I	4832.38	70.0	0.0044	NIST	L3475
66.00	Dy	I	4841.75	75.0	0.0047	NIST	L3475
66.00	Dy	I	4875.93	40.0	0.0025	NIST	L3475
66.00	Dy	I	4880.16	85.0	0.0053	NIST	L3475
66.00	Dy	I	4884.55	40.0	0.0025	NIST	L3475
66.00	Dy	I	4888.08	95.0	0.0059	NIST	L3475
66.00	Dy	I	4893.68	50.0	0.0031	NIST	L3475
66.00	Dy	I	4899.24	24.0	0.0015	NIST	L3475
66.00	Dy	I	4916.41	55.0	0.0034	NIST	L3475
66.00	Dy	I	4959.59	24.0	0.0015	NIST	L3475
66.00	Dy	I	4973.57	28.0	0.0017	NIST	L3475
66.00	Dy	I	4985.52	40.0	0.0025	NIST	L3475
66.00	Dy	I	5003.87	50.0	0.0031	NIST	L3475
66.00	Dy	I	5010.6	24.0	0.0015	NIST	L3475
66.00	Dy	I	5022.12	70.0	0.0044	NIST	L3475
66.00	Dy	I	5024.03	30.0	0.0019	NIST	L3475
66.00	Dy	I	5024.54	24.0	0.0015	NIST	L3475
66.00	Dy	I	5027.87	40.0	0.0025	NIST	L3475
66.00	Dy	I	5033.0	50.0	0.0031	NIST	L3475
66.00	Dy	I	5042.63	160.0	0.01	NIST	L3475
66.00	Dy	I	5047.25	24.0	0.0015	NIST	L3475
66.00	Dy	I	5050.21	50.0	0.0031	NIST	L3475
66.00	Dy	I	5053.35	30.0	0.0019	NIST	L3475
66.00	Dy	I	5055.46	24.0	0.0015	NIST	L3475
66.00	Dy	I	5070.68	95.0	0.0059	NIST	L3475
66.00	Dy	I	5077.67	120.0	0.0075	NIST	L3475
66.00	Dy	I	5110.32	80.0	0.005	NIST	L3475
66.00	Dy	I	5120.04	130.0	0.0081	NIST	L3475
66.00	Dy	I	5135.02	30.0	0.0019	NIST	L3475
66.00	Dy	I	5165.34	50.0	0.0031	NIST	L3475
66.00	Dy	I	5185.3	80.0	0.005	NIST	L3475
66.00	Dy	I	5259.88	70.0	0.0044	NIST	L3475
66.00	Dy	I	5260.56	130.0	0.0081	NIST	L3475
66.00	Dy	I	5267.11	65.0	0.0041	NIST	L3475
66.00	Dy	I	5282.07	55.0	0.0034	NIST	L3475
66.00	Dy	I	5301.58	160.0	0.01	NIST	L3475
66.00	Dy	I	5324.69	50.0	0.0031	NIST	L3475
66.00	Dy	I	5340.3	65.0	0.0041	NIST	L3475
66.00	Dy	I	5352.11	30.0	0.0019	NIST	L3475
66.00	Dy	I	5395.57	40.0	0.0025	NIST	L3475
66.00	Dy	I	5404.19	50.0	0.0031	NIST	L3475
66.00	Dy	I	5419.13	80.0	0.005	NIST	L3475
66.00	Dy	I	5423.32	70.0	0.0044	NIST	L3475
66.00	Dy	I	5424.27	30.0	0.0019	NIST	L3475
66.00	Dy	I	5451.11	95.0	0.0059	NIST	L3475
66.00	Dy	I	5496.83	28.0	0.0017	NIST	L3475
66.00	Dy	I	5502.79	24.0	0.0015	NIST	L3475
66.00	Dy	I	5506.52	28.0	0.0017	NIST	L3475
66.00	Dy	I	5528.01	30.0	0.0019	NIST	L3475
66.00	Dy	I	5547.27	65.0	0.0041	NIST	L3475
66.00	Dy	I	5605.53	24.0	0.0015	NIST	L3475
66.00	Dy	I	5613.23	30.0	0.0019	NIST	L3475
66.00	Dy	I	5627.49	20.0	0.0013	NIST	L3475
66.00	Dy	I	5639.5	100.0	0.0063	NIST	L3475
66.00	Dy	I	5645.99	55.0	0.0034	NIST	L3475
66.00	Dy	I	5652.01	80.0	0.005	NIST	L3475
66.00	Dy	I	5685.58	24.0	0.0015	NIST	L3475
66.00	Dy	I	5702.91	24.0	0.0015	NIST	L3475
66.00	Dy	I	5718.46	70.0	0.0044	NIST	L3475
66.00	Dy	I	5740.2	50.0	0.0031	NIST	L3475
66.00	Dy	I	5745.53	55.0	0.0034	NIST	L3475
66.00	Dy	I	5750.48	24.0	0.0015	NIST	L3475
66.00	Dy	I	5758.79	24.0	0.0015	NIST	L3475
66.00	Dy	I	5945.8	70.0	0.0044	NIST	L3475
66.00	Dy	I	5964.46	50.0	0.0031	NIST	L3475
66.00	Dy	I	5974.49	120.0	0.0075	NIST	L3475
66.00	Dy	I	5984.86	24.0	0.0015	NIST	L3475
66.00	Dy	I	5988.56	140.0	0.0088	NIST	L3475
66.00	Dy	I	6008.94	30.0	0.0019	NIST	L3475
66.00	Dy	I	6010.82	65.0	0.0041	NIST	L3475
66.00	Dy	I	6017.26	24.0	0.0015	NIST	L3475
66.00	Dy	I	6030.98	24.0	0.0015	NIST	L3475
66.00	Dy	I	6058.18	24.0	0.0015	NIST	L3475
66.00	Dy	I	6085.06	30.0	0.0019	NIST	L3475
66.00	Dy	I	6088.26	140.0	0.0088	NIST	L3475
66.00	Dy	I	6127.15	24.0	0.0015	NIST	L3475
66.00	Dy	I	6133.64	24.0	0.0015	NIST	L3475
66.00	Dy	I	6158.28	24.0	0.0015	NIST	L3475
66.00	Dy	I	6168.43	100.0	0.0063	NIST	L3475
66.00	Dy	I	6259.09	270.0	0.0169	NIST	L3475
66.00	Dy	I	6260.36	30.0	0.0019	NIST	L3475
66.00	Dy	I	6343.32	14.0	0.0009	NIST	L3475
66.00	Dy	I	6386.8	40.0	0.0025	NIST	L3475
66.00	Dy	I	6421.92	50.0	0.0031	NIST	L3475
66.00	Dy	I	6436.55	13.0	0.0008	NIST	L3475
66.00	Dy	I	6460.83	8.0	0.0005	NIST	L3475
66.00	Dy	I	6474.91	11.0	0.0007	NIST	L3475
66.00	Dy	I	6486.59	28.0	0.0017	NIST	L3475
66.00	Dy	I	6558.02	20.0	0.0013	NIST	L3475
66.00	Dy	I	6579.37	160.0	0.01	NIST	L3475
66.00	Dy	I	6643.37	15.0	0.0009	NIST	L3475
66.00	Dy	I	6658.36	22.0	0.0014	NIST	L3475
66.00	Dy	I	6661.64	29.0	0.0018	NIST	L3475
66.00	Dy	I	6667.86	75.0	0.0047	NIST	L3475
66.00	Dy	I	6747.93	29.0	0.0018	NIST	L3475
66.00	Dy	I	6757.62	10.0	0.0006	NIST	L3475
66.00	Dy	I	6765.89	45.0	0.0028	NIST	L3475
66.00	Dy	I	6818.2	12.0	0.0008	NIST	L3475
66.00	Dy	I	6835.42	180.0	0.0112	NIST	L3475
66.00	Dy	I	6852.96	80.0	0.005	NIST	L3475
66.00	Dy	I	6856.46	22.0	0.0014	NIST	L3475
