atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
66.01	Dy	II	2356.91	260.0	0.0118	NIST	L3475
66.01	Dy	II	2387.36	130.0	0.0059	NIST	L3475
66.01	Dy	II	2402.29	180.0	0.0082	NIST	L3475
66.01	Dy	II	2410.01	240.0	0.0109	NIST	L3475
66.01	Dy	II	2422.75	150.0	0.0068	NIST	L3475
66.01	Dy	II	2439.84	260.0	0.0118	NIST	L3475
66.01	Dy	II	2455.15	90.0	0.0041	NIST	L3475
66.01	Dy	II	2459.99	110.0	0.005	NIST	L3475
66.01	Dy	II	2471.4	90.0	0.0041	NIST	L3475
66.01	Dy	II	2480.93	110.0	0.005	NIST	L3475
66.01	Dy	II	2490.61	170.0	0.0077	NIST	L3475
66.01	Dy	II	2510.31	90.0	0.0041	NIST	L3475
66.01	Dy	II	2513.55	170.0	0.0077	NIST	L3475
66.01	Dy	II	2517.61	170.0	0.0077	NIST	L3475
66.01	Dy	II	2543.81	130.0	0.0059	NIST	L3475
66.01	Dy	II	2545.12	90.0	0.0041	NIST	L3475
66.01	Dy	II	2552.29	150.0	0.0068	NIST	L3475
66.01	Dy	II	2557.94	180.0	0.0082	NIST	L3475
66.01	Dy	II	2560.21	90.0	0.0041	NIST	L3475
66.01	Dy	II	2566.25	90.0	0.0041	NIST	L3475
66.01	Dy	II	2591.56	90.0	0.0041	NIST	L3475
66.01	Dy	II	2592.54	75.0	0.0034	NIST	L3475
66.01	Dy	II	2600.16	130.0	0.0059	NIST	L3475
66.01	Dy	II	2600.76	130.0	0.0059	NIST	L3475
66.01	Dy	II	2608.69	75.0	0.0034	NIST	L3475
66.01	Dy	II	2634.8	440.0	0.02	NIST	L3475
66.01	Dy	II	2645.35	110.0	0.005	NIST	L3475
66.01	Dy	II	2676.84	55.0	0.0025	NIST	L3475
66.01	Dy	II	2677.34	50.0	0.0023	NIST	L3475
66.01	Dy	II	2689.31	85.0	0.0039	NIST	L3475
66.01	Dy	II	2692.83	85.0	0.0039	NIST	L3475
66.01	Dy	II	2709.01	55.0	0.0025	NIST	L3475
66.01	Dy	II	2727.17	55.0	0.0025	NIST	L3475
66.01	Dy	II	2729.5	85.0	0.0039	NIST	L3475
66.01	Dy	II	2739.3	40.0	0.0018	NIST	L3475
66.01	Dy	II	2740.7	85.0	0.0039	NIST	L3475
