atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
09.02	F	III	230.12	50.0	0.2778	NIST	L767
09.02	F	III	255.72	50.0	0.2778	NIST	L767
09.02	F	III	255.77	60.0	0.3333	NIST	L767
09.02	F	III	255.86	70.0	0.3889	NIST	L767
09.02	F	III	261.71	70.0	0.3889	NIST	L767
09.02	F	III	261.75	60.0	0.3333	NIST	L767
09.02	F	III	263.81	80.0	0.4444	NIST	L767
09.02	F	III	279.69	70.0	0.3889	NIST	L767
09.02	F	III	315.22	80.0	0.4444	NIST	L767
09.02	F	III	315.54	70.0	0.3889	NIST	L767
09.02	F	III	315.75	60.0	0.3333	NIST	L767
09.02	F	III	429.51	100.0	0.5556	NIST	L767
09.02	F	III	430.15	110.0	0.6111	NIST	L767
09.02	F	III	430.22	80.0	0.4444	NIST	L767
09.02	F	III	464.29	90.0	0.5	NIST	L767
09.02	F	III	465.11	100.0	0.5556	NIST	L767
09.02	F	III	508.39	120.0	0.6667	NIST	L767
09.02	F	III	567.69	120.0	0.6667	NIST	L767
09.02	F	III	567.75	110.0	0.6111	NIST	L767
09.02	F	III	630.14	80.0	0.4444	NIST	L767
09.02	F	III	630.2	90.0	0.5	NIST	L767
09.02	F	III	656.12	120.0	0.6667	NIST	L767
09.02	F	III	656.87	130.0	0.7222	NIST	L767
09.02	F	III	658.33	140.0	0.7778	NIST	L767
09.02	F	III	1219.03	80.0	0.4444	NIST	L767
09.02	F	III	1266.87	80.0	0.4444	NIST	L767
09.02	F	III	1267.71	90.0	0.5	NIST	L767
09.02	F	III	1297.54	70.0	0.3889	NIST	L767
09.02	F	III	1359.92	70.0	0.3889	NIST	L767
09.02	F	III	1498.93	110.0	0.6111	NIST	L767
09.02	F	III	1502.01	120.0	0.6667	NIST	L767
09.02	F	III	1504.18	110.0	0.6111	NIST	L767
09.02	F	III	1504.79	140.0	0.7778	NIST	L767
09.02	F	III	1506.3	130.0	0.7222	NIST	L767
09.02	F	III	1506.77	110.0	0.6111	NIST	L767
09.02	F	III	1553.02	100.0	0.5556	NIST	L767
09.02	F	III	1557.59	110.0	0.6111	NIST	L767
09.02	F	III	1563.73	100.0	0.5556	NIST	L767
09.02	F	III	1565.54	100.0	0.5556	NIST	L767
09.02	F	III	1623.4	100.0	0.5556	NIST	L767
09.02	F	III	1650.76	100.0	0.5556	NIST	L767
09.02	F	III	1670.39	130.0	0.7222	NIST	L767
09.02	F	III	1677.4	140.0	0.7778	NIST	L767
09.02	F	III	1716.99	100.0	0.5556	NIST	L767
09.02	F	III	1770.09	120.0	0.6667	NIST	L767
09.02	F	III	1770.67	150.0	0.8333	NIST	L767
09.02	F	III	1772.93	110.0	0.6111	NIST	L767
09.02	F	III	1773.36	140.0	0.7778	NIST	L767
09.02	F	III	1791.65	160.0	0.8889	NIST	L767
09.02	F	III	1803.03	110.0	0.6111	NIST	L767
09.02	F	III	1804.7	100.0	0.5556	NIST	L767
09.02	F	III	1805.9	170.0	0.9444	NIST	L767
09.02	F	III	1839.3	110.0	0.6111	NIST	L767
09.02	F	III	1839.97	120.0	0.6667	NIST	L767
09.02	F	III	1840.14	110.0	0.6111	NIST	L767
09.02	F	III	1900.76	80.0	0.4444	NIST	L767
09.02	F	III	2027.44	100.0	0.5556	NIST	L767
09.02	F	III	2030.32	120.0	0.6667	NIST	L767
09.02	F	III	2217.17	120.0	0.6667	NIST	L767
09.02	F	III	2452.07	120.0	0.6667	NIST	L767
09.02	F	III	2464.85	130.0	0.7222	NIST	L767
09.02	F	III	2470.29	130.0	0.7222	NIST	L767
09.02	F	III	2478.73	120.0	0.6667	NIST	L767
09.02	F	III	2484.37	150.0	0.8333	NIST	L767
09.02	F	III	2542.77	120.0	0.6667	NIST	L767
09.02	F	III	2580.04	120.0	0.6667	NIST	L767
09.02	F	III	2583.81	130.0	0.7222	NIST	L767
09.02	F	III	2593.23	120.0	0.6667	NIST	L767
09.02	F	III	2595.53	130.0	0.7222	NIST	L767
09.02	F	III	2599.28	140.0	0.7778	NIST	L767
09.02	F	III	2625.01	130.0	0.7222	NIST	L767
09.02	F	III	2629.7	140.0	0.7778	NIST	L767
09.02	F	III	2656.44	120.0	0.6667	NIST	L767
09.02	F	III	2755.55	130.0	0.7222	NIST	L767
09.02	F	III	2759.63	160.0	0.8889	NIST	L767
09.02	F	III	2788.15	120.0	0.6667	NIST	L767
09.02	F	III	2811.45	160.0	0.8889	NIST	L767
09.02	F	III	2833.99	140.0	0.7778	NIST	L767
09.02	F	III	2835.63	150.0	0.8333	NIST	L767
09.02	F	III	2860.33	150.0	0.8333	NIST	L767
09.02	F	III	2862.86	120.0	0.6667	NIST	L767
09.02	F	III	2887.58	140.0	0.7778	NIST	L767
09.02	F	III	2889.45	150.0	0.8333	NIST	L767
09.02	F	III	2905.3	120.0	0.6667	NIST	L767
09.02	F	III	2913.29	140.0	0.7778	NIST	L767
09.02	F	III	2916.34	160.0	0.8889	NIST	L767
09.02	F	III	2932.49	140.0	0.7778	NIST	L767
09.02	F	III	2994.28	140.0	0.7778	NIST	L767
09.02	F	III	2997.21	120.0	0.6667	NIST	L767
09.02	F	III	2997.53	130.0	0.7222	NIST	L767
09.02	F	III	2999.47	120.0	0.6667	NIST	L767
09.02	F	III	3039.25	130.0	0.7222	NIST	L767
09.02	F	III	3039.75	120.0	0.6667	NIST	L767
09.02	F	III	3042.8	160.0	0.8889	NIST	L767
09.02	F	III	3049.14	150.0	0.8333	NIST	L767
09.02	F	III	3113.62	140.0	0.7778	NIST	L767
09.02	F	III	3115.7	160.0	0.8889	NIST	L767
09.02	F	III	3121.54	180.0	1.0	NIST	L767
09.02	F	III	3124.79	140.0	0.7778	NIST	L767
09.02	F	III	3134.23	140.0	0.7778	NIST	L767
09.02	F	III	3146.99	140.0	0.7778	NIST	L767
09.02	F	III	3174.17	180.0	1.0	NIST	L767
09.02	F	III	3174.76	170.0	0.9444	NIST	L767
09.02	F	III	3214.0	120.0	0.6667	NIST	L767
09.02	F	III	4420.3	140.0	0.7778	NIST	L767
09.02	F	III	4427.35	120.0	0.6667	NIST	L767
09.02	F	III	4432.32	120.0	0.6667	NIST	L767
09.02	F	III	4479.99	140.0	0.7778	NIST	L767
09.02	F	III	5012.54	150.0	0.8333	NIST	L767
09.02	F	III	5110.99	160.0	0.8889	NIST	L767
09.02	F	III	5753.17	140.0	0.7778	NIST	L767
09.02	F	III	5761.2	120.0	0.6667	NIST	L767
09.02	F	III	6091.82	150.0	0.8333	NIST	L767
09.02	F	III	6125.5	140.0	0.7778	NIST	L767
09.02	F	III	6233.57	130.0	0.7222	NIST	L767
09.02	F	III	6363.05	140.0	0.7778	NIST	L767
09.02	F	III	7336.77	120.0	0.6667	NIST	L767
09.02	F	III	7354.94	130.0	0.7222	NIST	L767
