atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
09.04	F	V	134.54	40.0	0.2857	NIST	L3494
09.04	F	V	147.95	40.0	0.2857	NIST	L3494
09.04	F	V	148.0	50.0	0.3571	NIST	L3494
09.04	F	V	152.51	40.0	0.2857	NIST	L3494
09.04	F	V	158.54	40.0	0.2857	NIST	L3494
09.04	F	V	162.27	40.0	0.2857	NIST	L3494
09.04	F	V	163.5	40.0	0.2857	NIST	L3494
09.04	F	V	163.56	50.0	0.3571	NIST	L3494
09.04	F	V	165.98	90.0	0.6429	NIST	L3494
09.04	F	V	166.18	100.0	0.7143	NIST	L3494
09.04	F	V	174.7	40.0	0.2857	NIST	L3494
09.04	F	V	178.43	50.0	0.3571	NIST	L3494
09.04	F	V	178.59	40.0	0.2857	NIST	L3494
09.04	F	V	182.98	40.0	0.2857	NIST	L3494
09.04	F	V	186.72	40.0	0.2857	NIST	L3494
09.04	F	V	186.79	40.0	0.2857	NIST	L3494
09.04	F	V	186.84	50.0	0.3571	NIST	L3494
09.04	F	V	186.97	40.0	0.2857	NIST	L3494
09.04	F	V	187.01	40.0	0.2857	NIST	L3494
09.04	F	V	190.57	60.0	0.4286	NIST	L3494
09.04	F	V	190.84	70.0	0.5	NIST	L3494
09.04	F	V	191.97	40.0	0.2857	NIST	L3494
09.04	F	V	205.55	40.0	0.2857	NIST	L3494
09.04	F	V	464.37	100.0	0.7143	NIST	L2986
09.04	F	V	465.37	110.0	0.7857	NIST	L2986
09.04	F	V	465.98	120.0	0.8571	NIST	L2986
09.04	F	V	466.99	100.0	0.7143	NIST	L2986
09.04	F	V	506.16	90.0	0.6429	NIST	L2986
09.04	F	V	508.08	100.0	0.7143	NIST	L2986
09.04	F	V	513.97	70.0	0.5	NIST	L2986
09.04	F	V	514.08	60.0	0.4286	NIST	L2986
09.04	F	V	524.59	80.0	0.5714	NIST	L2986
09.04	F	V	525.29	90.0	0.6429	NIST	L2986
09.04	F	V	526.3	100.0	0.7143	NIST	L2986
09.04	F	V	647.67	70.0	0.5	NIST	L2986
09.04	F	V	647.77	100.0	0.7143	NIST	L2986
09.04	F	V	647.87	110.0	0.7857	NIST	L2986
09.04	F	V	647.97	70.0	0.5	NIST	L2986
09.04	F	V	654.03	130.0	0.9286	NIST	L2986
09.04	F	V	657.23	110.0	0.7857	NIST	L2986
09.04	F	V	657.33	140.0	1.0	NIST	L2986
09.04	F	V	757.04	60.0	0.4286	NIST	L2986
09.04	F	V	1082.31	60.0	0.4286	NIST	L2986
09.04	F	V	1088.39	70.0	0.5	NIST	L2986
09.04	F	V	2229.18	10.0	0.0714	NIST	L3494
09.04	F	V	2252.72	20.0	0.1429	NIST	L3494
09.04	F	V	2450.63	20.0	0.1429	NIST	L3494
09.04	F	V	2461.33	10.0	0.0714	NIST	L3494
09.04	F	V	2693.98	10.0	0.0714	NIST	L3494
09.04	F	V	2702.3	10.0	0.0714	NIST	L3494
09.04	F	V	2703.96	10.0	0.0714	NIST	L3494
09.04	F	V	2707.17	20.0	0.1429	NIST	L3494
