atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
26.00	Fe	I	1704.32	4.0	0.0	NIST	L11631c80
26.00	Fe	I	1704.845	1.0	0.0	NIST	L11631c80
26.00	Fe	I	1709.944	1.0	0.0	NIST	L11631c80
26.00	Fe	I	1710.216	1.0	0.0	NIST	L11631c80
26.00	Fe	I	1712.289	3.0	0.0	NIST	L11631c80
26.00	Fe	I	1716.486	4.0	0.0	NIST	L11631c80
26.00	Fe	I	1717.703	1.0	0.0	NIST	L11631c80
26.00	Fe	I	1718.148	2.0	0.0	NIST	L11631c80
26.00	Fe	I	1719.777	6.0	0.0	NIST	L11631c80
26.00	Fe	I	1721.484	1.0	0.0	NIST	L11631c80
26.00	Fe	I	1722.195	4.0	0.0	NIST	L11631c80
26.00	Fe	I	1722.542	3.0	0.0	NIST	L11631c80
26.00	Fe	I	1723.141	4.0	0.0	NIST	L11631c80
26.00	Fe	I	1726.678	3.0	0.0	NIST	L11631c80
26.00	Fe	I	1729.616	1.0	0.0	NIST	L11631c80
26.00	Fe	I	1731.184	6.0	0.0	NIST	L11631c80
26.00	Fe	I	1735.576	2.0	0.0	NIST	L11631c80
26.00	Fe	I	1757.829	3.0	0.0	NIST	L11631c80
26.00	Fe	I	1758.355	1.0	0.0	NIST	L11631c80
26.00	Fe	I	1762.037	1.0	0.0	NIST	L11631c80
26.00	Fe	I	1762.666	3.0	0.0	NIST	L11631c80
26.00	Fe	I	1763.304	3.0	0.0	NIST	L11631c80
26.00	Fe	I	1763.444	1.0	0.0	NIST	L11631c80
26.00	Fe	I	1764.156	1.0	0.0	NIST	L11631c80
26.00	Fe	I	1765.275	2.0	0.0	NIST	L11631c80
26.00	Fe	I	1768.611	1.0	0.0	NIST	L11631c80
26.00	Fe	I	1769.82	1.0	0.0	NIST	L11631c80
26.00	Fe	I	1775.684	1.0	0.0	NIST	L11631c80
26.00	Fe	I	1841.9939	24.0	0.0	NIST	L11631
26.00	Fe	I	1847.9265	52.0	0.0	NIST	L11631
26.00	Fe	I	1851.248	2.0	0.0	NIST	L11631c80
26.00	Fe	I	1851.3802	174.0	0.0001	NIST	L11631
26.00	Fe	I	1851.688	1.0	0.0	NIST	L11631c80
26.00	Fe	I	1852.424	3.0	0.0	NIST	L11631c80
26.00	Fe	I	1853.8609	19.0	0.0	NIST	L11631
26.00	Fe	I	1854.3643	42.0	0.0	NIST	L11631
26.00	Fe	I	1855.3173	48.0	0.0	NIST	L11631
26.00	Fe	I	1855.579	324.0	0.0001	NIST	L11631
26.00	Fe	I	1855.914	25.0	0.0	NIST	L11631
26.00	Fe	I	1856.2149	50.0	0.0	NIST	L11631
26.00	Fe	I	1857.4307	36.0	0.0	NIST	L11631
26.00	Fe	I	1857.8163	40.0	0.0	NIST	L11631
26.00	Fe	I	1859.2634	50.0	0.0	NIST	L11631
26.00	Fe	I	1861.0328	41.0	0.0	NIST	L11631
26.00	Fe	I	1861.675	1.0	0.0	NIST	L11631c80
26.00	Fe	I	1862.3256	135.0	0.0001	NIST	L11631
26.00	Fe	I	1863.543	2.0	0.0	NIST	L11631c80
26.00	Fe	I	1864.1917	35.0	0.0	NIST	L11631
26.00	Fe	I	1864.3213	26.0	0.0	NIST	L11631
26.00	Fe	I	1864.7464	355.0	0.0001	NIST	L11631
26.00	Fe	I	1865.3091	309.0	0.0001	NIST	L11631
26.00	Fe	I	1865.612	1.0	0.0	NIST	L11631c80
26.00	Fe	I	1866.0619	186.0	0.0001	NIST	L11631
26.00	Fe	I	1866.1413	26.0	0.0	NIST	L11631
26.00	Fe	I	1866.191	1.0	0.0	NIST	L11631c80
26.00	Fe	I	1866.8189	50.0	0.0	NIST	L11631
26.00	Fe	I	1869.2604	141.0	0.0001	NIST	L11631
26.00	Fe	I	1870.011	1.0	0.0	NIST	L11631c80
26.00	Fe	I	1870.3519	41.0	0.0	NIST	L11631
26.00	Fe	I	1871.8912	34.0	0.0	NIST	L11631
26.00	Fe	I	1872.3708	191.0	0.0001	NIST	L11631
26.00	Fe	I	1873.0575	148.0	0.0001	NIST	L11631
26.00	Fe	I	1873.258	112.0	0.0	NIST	L11631
26.00	Fe	I	1874.897	1.0	0.0	NIST	L11631c80
26.00	Fe	I	1875.1587	20.0	0.0	NIST	L11631
26.00	Fe	I	1876.1475	21.0	0.0	NIST	L11631
26.00	Fe	I	1876.4196	78.0	0.0	NIST	L11631
26.00	Fe	I	1877.1684	50.0	0.0	NIST	L11631
26.00	Fe	I	1878.1044	16.0	0.0	NIST	L11631
26.00	Fe	I	1878.8478	45.0	0.0	NIST	L11631
26.00	Fe	I	1879.3806	39.0	0.0	NIST	L11631
26.00	Fe	I	1880.1405	52.0	0.0	NIST	L11631
26.00	Fe	I	1881.3114	112.0	0.0	NIST	L11631
26.00	Fe	I	1883.6797	16.0	0.0	NIST	L11631
26.00	Fe	I	1883.7788	49.0	0.0	NIST	L11631
26.00	Fe	I	1883.9225	66.0	0.0	NIST	L11631
26.00	Fe	I	1885.1766	11.0	0.0	NIST	L11631
26.00	Fe	I	1885.9073	41.0	0.0	NIST	L11631
26.00	Fe	I	1887.7646	251.0	0.0001	NIST	L11631
26.00	Fe	I	1888.3219	100.0	0.0	NIST	L11631
26.00	Fe	I	1889.8978	55.0	0.0	NIST	L11631
26.00	Fe	I	1891.7438	24.0	0.0	NIST	L11631
26.00	Fe	I	1896.8579	23.0	0.0	NIST	L11631
26.00	Fe	I	1899.2088	18.0	0.0	NIST	L11631
26.00	Fe	I	1903.3948	42.0	0.0	NIST	L11631
26.00	Fe	I	1917.4067	21.0	0.0	NIST	L11631
26.00	Fe	I	1924.22	1.0	0.0	NIST	L11631c80
26.00	Fe	I	1934.535	309.0	0.0001	NIST	L11631
26.00	Fe	I	1937.2683	240.0	0.0001	NIST	L11631
26.00	Fe	I	1940.6603	191.0	0.0001	NIST	L11631
26.00	Fe	I	1945.0912	50.0	0.0	NIST	L11631
26.00	Fe	I	1945.2756	60.0	0.0	NIST	L11631
26.00	Fe	I	1946.2277	30.0	0.0	NIST	L11631
26.00	Fe	I	1946.839	68.0	0.0	NIST	L11631
26.00	Fe	I	1946.9878	490.0	0.0002	NIST	L11631
26.00	Fe	I	1949.1425	19.0	0.0	NIST	L11631
26.00	Fe	I	1949.6071	32.0	0.0	NIST	L11631
26.00	Fe	I	1950.2269	132.0	0.0001	NIST	L11631
26.00	Fe	I	1951.5706	224.0	0.0001	NIST	L11631
26.00	Fe	I	1952.2684	166.0	0.0001	NIST	L11631
26.00	Fe	I	1952.5885	309.0	0.0001	NIST	L11631
26.00	Fe	I	1953.005	316.0	0.0001	NIST	L11631
26.00	Fe	I	1955.7021	115.0	0.0	NIST	L11631
26.00	Fe	I	1956.0344	219.0	0.0001	NIST	L11631
26.00	Fe	I	1956.0511	214.0	0.0001	NIST	L11631
26.00	Fe	I	1957.8427	650.0	0.0003	NIST	L11631
26.00	Fe	I	1958.569	65.0	0.0	NIST	L11631
26.00	Fe	I	1958.6085	158.0	0.0001	NIST	L11631
26.00	Fe	I	1958.733	54.0	0.0	NIST	L11631
26.00	Fe	I	1960.1439	620.0	0.0002	NIST	L11631
26.00	Fe	I	1961.0463	29.0	0.0	NIST	L11631
26.00	Fe	I	1961.2457	263.0	0.0001	NIST	L11631
26.00	Fe	I	1962.0252	83.0	0.0	NIST	L11631
26.00	Fe	I	1962.1107	437.0	0.0002	NIST	L11631
26.00	Fe	I	1962.7332	33.0	0.0	NIST	L11631
26.00	Fe	I	1962.8835	83.0	0.0	NIST	L11631
26.00	Fe	I	1963.1042	26.0	0.0	NIST	L11631
26.00	Fe	I	1963.1217	112.0	0.0	NIST	L11631
26.00	Fe	I	1963.6336	44.0	0.0	NIST	L11631
26.00	Fe	I	1964.055	87.0	0.0	NIST	L11631
26.00	Fe	I	1967.127	1.0	0.0	NIST	L11631c80
26.00	Fe	I	1973.9162	14.0	0.0	NIST	L11631
26.00	Fe	I	1975.177	1.0	0.0	NIST	L11631c80
26.00	Fe	I	1987.957	3.0	0.0	NIST	L11631c81
26.00	Fe	I	1991.044	1.0	0.0	NIST	L11631c80
26.00	Fe	I	1992.599	1.0	0.0	NIST	L11631c80
26.00	Fe	I	1994.5704	24.0	0.0	NIST	L11631
26.00	Fe	I	1997.9133	35.0	0.0	NIST	L11631
26.00	Fe	I	2000.578	2.0	0.0	NIST	L11631c80
26.00	Fe	I	2000.671	2.0	0.0	NIST	L11631c80
26.00	Fe	I	2002.3799	13.0	0.0	NIST	L11631
26.00	Fe	I	2003.605	1.0	0.0	NIST	L11631c80
26.00	Fe	I	2003.8696	14.0	0.0	NIST	L11631
26.00	Fe	I	2005.297	2.0	0.0	NIST	L11631c80
26.00	Fe	I	2005.594	2.0	0.0	NIST	L11631c80
26.00	Fe	I	2006.2444	27.0	0.0	NIST	L11631
26.00	Fe	I	2006.245	4.0	0.0	NIST	L11631c80
26.00	Fe	I	2006.318	1.0	0.0	NIST	L11631c80
26.00	Fe	I	2006.464	1.0	0.0	NIST	L11631c80
26.00	Fe	I	2007.179	4.0	0.0	NIST	L11631c80
26.00	Fe	I	2007.2193	22.0	0.0	NIST	L11631
26.00	Fe	I	2008.233	2.0	0.0	NIST	L11631c80
26.00	Fe	I	2008.478	3.0	0.0	NIST	L11631c81
26.00	Fe	I	2008.552	1.0	0.0	NIST	L11631c80
26.00	Fe	I	2011.926	1.0	0.0	NIST	L11631c80
26.00	Fe	I	2014.94	2.0	0.0	NIST	L11631c80
26.00	Fe	I	2016.5087	16.0	0.0	NIST	L11631
26.00	Fe	I	2019.775	1.0	0.0	NIST	L11631c80
26.00	Fe	I	2021.099	1.0	0.0	NIST	L11631c80
26.00	Fe	I	2021.9829	22.0	0.0	NIST	L11631
26.00	Fe	I	2022.779	1.0	0.0	NIST	L11631c80
26.00	Fe	I	2024.067	1.0	0.0	NIST	L11631c80
26.00	Fe	I	2025.4615	20.0	0.0	NIST	L11631
26.00	Fe	I	2025.823	1.0	0.0	NIST	L11631c80
26.00	Fe	I	2028.719	1.0	0.0	NIST	L11631c80
26.00	Fe	I	2029.955	1.0	0.0	NIST	L11631c80
26.00	Fe	I	2031.686	2.0	0.0	NIST	L11631c80
26.00	Fe	I	2034.214	3.0	0.0	NIST	L11631c80
26.00	Fe	I	2047.248	1.0	0.0	NIST	L11631c80
26.00	Fe	I	2058.105	1.0	0.0	NIST	L11631c80
26.00	Fe	I	2074.1887	890.0	0.0004	NIST	L11631
26.00	Fe	I	2077.5029	18.0	0.0	NIST	L11631
26.00	Fe	I	2084.1212	890.0	0.0004	NIST	L11631
26.00	Fe	I	2085.02	4.0	0.0	NIST	L11631c81
26.00	Fe	I	2087.511	78.0	0.0	NIST	L11631
26.00	Fe	I	2089.8738	9.0	0.0	NIST	L11631
26.00	Fe	I	2090.3831	117.0	0.0	NIST	L11631
26.00	Fe	I	2090.8546	54.0	0.0	NIST	L11631
26.00	Fe	I	2093.6846	560.0	0.0002	NIST	L11631
26.00	Fe	I	2095.4639	16.0	0.0	NIST	L11631
26.00	Fe	I	2098.1196	14.0	0.0	NIST	L11631
26.00	Fe	I	2098.9388	58.0	0.0	NIST	L11631
26.00	Fe	I	2099.6659	3.0	0.0	NIST	L11631
26.00	Fe	I	2099.904	6.0	0.0	NIST	L11631
26.00	Fe	I	2100.1462	23.0	0.0	NIST	L11631
26.00	Fe	I	2100.7977	251.0	0.0001	NIST	L11631
26.00	Fe	I	2102.3536	282.0	0.0001	NIST	L11631
26.00	Fe	I	2102.9104	39.0	0.0	NIST	L11631
26.00	Fe	I	2103.0529	115.0	0.0	NIST	L11631
26.00	Fe	I	2103.972	6.0	0.0	NIST	L11631
26.00	Fe	I	2106.26	54.0	0.0	NIST	L11631
26.00	Fe	I	2106.3947	363.0	0.0001	NIST	L11631
26.00	Fe	I	2108.137	37.0	0.0	NIST	L11631
26.00	Fe	I	2108.1937	7.0	0.0	NIST	L11631
26.00	Fe	I	2108.3027	34.0	0.0	NIST	L11631
26.00	Fe	I	2108.959	302.0	0.0001	NIST	L11631
26.00	Fe	I	2110.2353	105.0	0.0	NIST	L11631
26.00	Fe	I	2111.2322	17.0	0.0	NIST	L11631
26.00	Fe	I	2112.9687	155.0	0.0001	NIST	L11631
26.00	Fe	I	2113.0871	47.0	0.0	NIST	L11631
26.00	Fe	I	2114.5995	115.0	0.0	NIST	L11631
26.00	Fe	I	2115.1699	59.0	0.0	NIST	L11631
26.00	Fe	I	2119.1365	8.0	0.0	NIST	L11631
26.00	Fe	I	2121.8687	16.0	0.0	NIST	L11631
26.00	Fe	I	2122.1784	5.0	0.0	NIST	L11631
26.00	Fe	I	2122.799	9.0	0.0	NIST	L11631
26.00	Fe	I	2123.1244	4.0	0.0	NIST	L11631
26.00	Fe	I	2124.5014	9.0	0.0	NIST	L11631
26.00	Fe	I	2126.2105	14.0	0.0	NIST	L11631
26.00	Fe	I	2126.6093	8.0	0.0	NIST	L11631
26.00	Fe	I	2126.8164	2.0	0.0	NIST	L11631
26.00	Fe	I	2127.474	15.0	0.0	NIST	L11631
26.00	Fe	I	2127.8644	16.0	0.0	NIST	L11631
26.00	Fe	I	2127.969	1.0	0.0	NIST	L11631c80
26.00	Fe	I	2130.4075	8.0	0.0	NIST	L11631
