atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
26.02	Fe	III	728.81	6.0	0.3	NIST	L3495
26.02	Fe	III	730.0	5.0	0.25	NIST	L3495
26.02	Fe	III	737.71	5.0	0.25	NIST	L3495
26.02	Fe	III	739.26	5.0	0.25	NIST	L3495
26.02	Fe	III	807.55	9.0	0.45	NIST	L3495
26.02	Fe	III	807.86	8.0	0.4	NIST	L3495
26.02	Fe	III	808.84	8.0	0.4	NIST	L3495
26.02	Fe	III	811.28	8.0	0.4	NIST	L3495
26.02	Fe	III	813.38	10.0	0.5	NIST	L3495
26.02	Fe	III	838.05	8.0	0.4	NIST	L3495
26.02	Fe	III	844.28	10.0	0.5	NIST	L3495
26.02	Fe	III	845.41	9.0	0.45	NIST	L3495
26.02	Fe	III	847.42	8.0	0.4	NIST	L3495
26.02	Fe	III	859.72	8.0	0.4	NIST	L3495
26.02	Fe	III	861.76	8.0	0.4	NIST	L3495
26.02	Fe	III	861.83	10.0	0.5	NIST	L3495
26.02	Fe	III	873.46	8.0	0.4	NIST	L3495
26.02	Fe	III	890.76	9.0	0.45	NIST	L3495
26.02	Fe	III	891.17	10.0	0.5	NIST	L3495
26.02	Fe	III	891.44	8.0	0.4	NIST	L3495
26.02	Fe	III	899.42	8.0	0.4	NIST	L3495
26.02	Fe	III	950.33	10.0	0.5	NIST	L3495
26.02	Fe	III	981.37	10.0	0.5	NIST	L3495
26.02	Fe	III	983.88	10.0	0.5	NIST	L3495
26.02	Fe	III	985.82	8.0	0.4	NIST	L3495
26.02	Fe	III	991.23	9.0	0.45	NIST	L3495
26.02	Fe	III	1017.25	9.0	0.45	NIST	L3495
26.02	Fe	III	1017.74	8.0	0.4	NIST	L3495
26.02	Fe	III	1018.29	8.0	0.4	NIST	L3495
26.02	Fe	III	1032.12	8.0	0.4	NIST	L3495
26.02	Fe	III	1063.87	8.0	0.4	NIST	L3495
26.02	Fe	III	1122.53	9.0	0.45	NIST	L3495
26.02	Fe	III	1124.88	9.0	0.45	NIST	L3495
26.02	Fe	III	1128.02	8.0	0.4	NIST	L3495
26.02	Fe	III	1505.17	10.0	0.5	NIST	L3495
26.02	Fe	III	1538.63	10.0	0.5	NIST	L3495
26.02	Fe	III	1550.2	12.0	0.6	NIST	L3495
26.02	Fe	III	1601.21	10.0	0.5	NIST	L3495
26.02	Fe	III	1869.83	10.0	0.5	NIST	L3495
26.02	Fe	III	1877.99	12.0	0.6	NIST	L3495
26.02	Fe	III	1882.05	10.0	0.5	NIST	L3495
26.02	Fe	III	1886.76	12.0	0.6	NIST	L3495
26.02	Fe	III	1890.67	13.0	0.65	NIST	L3495
26.02	Fe	III	1893.98	11.0	0.55	NIST	L3495
26.02	Fe	III	1895.46	20.0	1.0	NIST	L3495
26.02	Fe	III	1907.58	10.0	0.5	NIST	L3495
26.02	Fe	III	1914.06	19.0	0.95	NIST	L3495
26.02	Fe	III	1915.08	15.0	0.75	NIST	L3495
26.02	Fe	III	1922.79	15.0	0.75	NIST	L3495
26.02	Fe	III	1926.01	10.0	0.5	NIST	L3495
26.02	Fe	III	1926.3	18.0	0.9	NIST	L3495
26.02	Fe	III	1930.39	15.0	0.75	NIST	L3495
26.02	Fe	III	1931.51	14.0	0.7	NIST	L3495
26.02	Fe	III	1937.34	14.0	0.7	NIST	L3495
26.02	Fe	III	1938.9	10.0	0.5	NIST	L3495
26.02	Fe	III	1943.48	14.0	0.7	NIST	L3495
26.02	Fe	III	1945.34	12.0	0.6	NIST	L3495
26.02	Fe	III	1950.33	10.0	0.5	NIST	L3495
26.02	Fe	III	1951.01	12.0	0.6	NIST	L3495
