atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
26.09	Fe	X	77.865	8.0	0.0889	NIST	L1669
26.09	Fe	X	78.769	4.0	0.0444	NIST	L1669
26.09	Fe	X	94.012	35.0	0.3889	NIST	L3398
26.09	Fe	X	95.338	1.0	0.0111	NIST	L3398
26.09	Fe	X	95.374	15.0	0.1667	NIST	L3398
26.09	Fe	X	96.122	30.0	0.3333	NIST	L3398
26.09	Fe	X	96.788	2.0	0.0222	NIST	L3398
26.09	Fe	X	97.122	25.0	0.2778	NIST	L3398
26.09	Fe	X	97.838	20.0	0.2222	NIST	L3398
26.09	Fe	X	170.58	10.0	0.1111	NIST	L16985
26.09	Fe	X	174.534	90.0	1.0	NIST	L4326
26.09	Fe	X	175.266	50.0	0.5556	NIST	L4326
26.09	Fe	X	175.474	30.0	0.3333	NIST	L4326
26.09	Fe	X	177.243	80.0	0.8889	NIST	L4326
26.09	Fe	X	180.407	90.0	1.0	NIST	L4326
26.09	Fe	X	182.31	30.0	0.3333	NIST	L4326
26.09	Fe	X	184.542	60.0	0.6667	NIST	L4326
26.09	Fe	X	190.044	50.0	0.5556	NIST	L4326
26.09	Fe	X	234.356	15.0	0.1667	NIST	L4463
26.09	Fe	X	256.38	10.0	0.1111	NIST	L4463
26.09	Fe	X	257.262	45.0	0.5	NIST	L4463
26.09	Fe	X	318.599	3.0	0.0333	NIST	L4032
26.09	Fe	X	319.936	2.0	0.0222	NIST	L4032
26.09	Fe	X	321.766	5.0	0.0556	NIST	L4032
26.09	Fe	X	324.726	5.0	0.0556	NIST	L4032
26.09	Fe	X	345.723	10.0	0.1111	NIST	L3633
26.09	Fe	X	358.414	4.0	0.0444	NIST	L4032
26.09	Fe	X	360.833	1.0	0.0111	NIST	L4032
26.09	Fe	X	361.409	1.0	0.0111	NIST	L4032
26.09	Fe	X	362.547	2.0	0.0222	NIST	L4032
26.09	Fe	X	365.543	1.0	0.0111	NIST	L3633
26.09	Fe	X	366.667	1.0	0.0111	NIST	L4032
