atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
26.11	Fe	XII	186.88	15.0	0.1667	NIST	L4463
26.11	Fe	XII	188.216	50.0	0.5556	NIST	L4463
26.11	Fe	XII	192.394	25.0	0.2778	NIST	L4463
26.11	Fe	XII	193.509	60.0	0.6667	NIST	L4463
26.11	Fe	XII	195.119	90.0	1.0	NIST	L4463
26.11	Fe	XII	196.64	6.0	0.0667	NIST	L4463
26.11	Fe	XII	198.555	7.0	0.0778	NIST	L4463
26.11	Fe	XII	201.121	15.0	0.1667	NIST	L4463
26.11	Fe	XII	219.438	10.0	0.1111	NIST	L4463
26.11	Fe	XII	291.01	10.0	0.1111	NIST	L4463
26.11	Fe	XII	338.263	8.0	0.0889	NIST	L4463
26.11	Fe	XII	346.852	10.0	0.1111	NIST	L4463
26.11	Fe	XII	352.107	20.0	0.2222	NIST	L4463
26.11	Fe	XII	364.468	35.0	0.3889	NIST	L4463
