atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
26.12	Fe	XIII	196.525	4.0	0.0615	NIST	L4463
26.12	Fe	XIII	197.434	2.0	0.0308	NIST	L4463
26.12	Fe	XIII	200.021	5.0	0.0769	NIST	L4463
26.12	Fe	XIII	201.121	16.0	0.2462	NIST	L4463
26.12	Fe	XIII	202.044	65.0	1.0	NIST	L4463
26.12	Fe	XIII	202.424	7.0	0.1077	NIST	L4463
26.12	Fe	XIII	203.793	8.0	0.1231	NIST	L4463
26.12	Fe	XIII	203.826	20.0	0.3077	NIST	L4463
26.12	Fe	XIII	204.942	5.0	0.0769	NIST	L4463
26.12	Fe	XIII	209.617	6.0	0.0923	NIST	L4463
26.12	Fe	XIII	209.916	15.0	0.2308	NIST	L4463
26.12	Fe	XIII	213.77	7.0	0.1077	NIST	L4463
26.12	Fe	XIII	221.822	15.0	0.2308	NIST	L4463
26.12	Fe	XIII	240.713	20.0	0.3077	NIST	L4463
26.12	Fe	XIII	246.208	20.0	0.3077	NIST	L4463
26.12	Fe	XIII	251.953	40.0	0.6154	NIST	L4463
26.12	Fe	XIII	311.552	2.0	0.0308	NIST	L4463
26.12	Fe	XIII	312.164	8.0	0.1231	NIST	L4463
26.12	Fe	XIII	320.8	7.0	0.1077	NIST	L4463
26.12	Fe	XIII	348.184	20.0	0.3077	NIST	L4463
26.12	Fe	XIII	359.837	4.0	0.0615	NIST	L4463
