atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
26.18	Fe	XIX	10.564	35.0	0.35	NIST	L5090
26.18	Fe	XIX	10.617	25.0	0.25	NIST	L5090
26.18	Fe	XIX	10.635	40.0	0.4	NIST	L5090
26.18	Fe	XIX	10.644	35.0	0.35	NIST	L5090
26.18	Fe	XIX	10.658	35.0	0.35	NIST	L5090
26.18	Fe	XIX	10.685	25.0	0.25	NIST	L5090
26.18	Fe	XIX	10.736	20.0	0.2	NIST	L5090
26.18	Fe	XIX	10.77	35.0	0.35	NIST	L5090
26.18	Fe	XIX	10.813	55.0	0.55	NIST	L5090
26.18	Fe	XIX	10.933	25.0	0.25	NIST	L5090
26.18	Fe	XIX	13.397	55.0	0.55	NIST	L5090
26.18	Fe	XIX	13.424	50.0	0.5	NIST	L5090
26.18	Fe	XIX	13.464	60.0	0.6	NIST	L5090
26.18	Fe	XIX	13.504	55.0	0.55	NIST	L5090
26.18	Fe	XIX	13.52	75.0	0.75	NIST	L5090
26.18	Fe	XIX	13.7	45.0	0.45	NIST	L5090
26.18	Fe	XIX	13.735	45.0	0.45	NIST	L5090
26.18	Fe	XIX	13.795	55.0	0.55	NIST	L5090
26.18	Fe	XIX	14.534	70.0	0.7	NIST	L5090
26.18	Fe	XIX	14.668	55.0	0.55	NIST	L5090
26.18	Fe	XIX	14.735	40.0	0.4	NIST	L5090
26.18	Fe	XIX	14.806	20.0	0.2	NIST	L5090
26.18	Fe	XIX	14.823	15.0	0.15	NIST	L5090
26.18	Fe	XIX	14.929	30.0	0.3	NIST	L5090
26.18	Fe	XIX	14.966	35.0	0.35	NIST	L5090
26.18	Fe	XIX	14.995	55.0	0.55	NIST	L5090
26.18	Fe	XIX	15.015	100.0	1.0	NIST	L5090
26.18	Fe	XIX	15.111	10.0	0.1	NIST	L5090
26.18	Fe	XIX	15.138	5.0	0.05	NIST	L5090
26.18	Fe	XIX	15.172	25.0	0.25	NIST	L5090
26.18	Fe	XIX	78.888	4.0	0.04	NIST	L5991
26.18	Fe	XIX	83.87	1.0	0.01	NIST	L5991
26.18	Fe	XIX	84.874	1.0	0.01	NIST	L5991
26.18	Fe	XIX	86.999	1.0	0.01	NIST	L5991
26.18	Fe	XIX	91.012	9.0	0.09	NIST	L5991
26.18	Fe	XIX	101.55	8.0	0.08	NIST	L5991
26.18	Fe	XIX	106.107	4.0	0.04	NIST	L5991
26.18	Fe	XIX	106.318	6.0	0.06	NIST	L5991
26.18	Fe	XIX	108.355	10.0	0.1	NIST	L5991
26.18	Fe	XIX	109.952	6.0	0.06	NIST	L5991
26.18	Fe	XIX	111.695	5.0	0.05	NIST	L5991
26.18	Fe	XIX	115.396	7.0	0.07	NIST	L5991
26.18	Fe	XIX	119.983	8.0	0.08	NIST	L5991
26.18	Fe	XIX	132.63	4.0	0.04	NIST	L5205
