atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
26.17	Fe	XVIII	11.253	45.0	0.3	NIST	L5090
26.17	Fe	XVIII	11.326	55.0	0.3667	NIST	L5090
26.17	Fe	XVIII	11.44	50.0	0.3333	NIST	L5090
26.17	Fe	XVIII	11.458	30.0	0.2	NIST	L5090
26.17	Fe	XVIII	11.526	50.0	0.3333	NIST	L5090
26.17	Fe	XVIII	11.551	50.0	0.3333	NIST	L5090
26.17	Fe	XVIII	11.64	15.0	0.1	NIST	L5090
26.17	Fe	XVIII	11.741	10.0	0.0667	NIST	L5090
26.17	Fe	XVIII	11.778	10.0	0.0667	NIST	L5090
26.17	Fe	XVIII	11.865	20.0	0.1333	NIST	L5090
26.17	Fe	XVIII	13.319	50.0	0.3333	NIST	L5090
26.17	Fe	XVIII	13.355	50.0	0.3333	NIST	L5090
26.17	Fe	XVIII	13.374	50.0	0.3333	NIST	L5090
26.17	Fe	XVIII	13.397	55.0	0.3667	NIST	L5090
26.17	Fe	XVIII	13.464	60.0	0.4	NIST	L5090
26.17	Fe	XVIII	13.954	55.0	0.3667	NIST	L2181
26.17	Fe	XVIII	14.121	75.0	0.5	NIST	L5090
26.17	Fe	XVIII	14.152	60.0	0.4	NIST	L5090
26.17	Fe	XVIII	14.203	60.0	0.4	NIST	L5090
26.17	Fe	XVIII	14.256	30.0	0.2	NIST	L5090
26.17	Fe	XVIII	14.344	50.0	0.3333	NIST	L5090
26.17	Fe	XVIII	14.361	60.0	0.4	NIST	L2181
26.17	Fe	XVIII	14.373	70.0	0.4667	NIST	L2181
26.17	Fe	XVIII	14.418	70.0	0.4667	NIST	L5090
26.17	Fe	XVIII	14.453	35.0	0.2333	NIST	L5090
26.17	Fe	XVIII	14.469	35.0	0.2333	NIST	L5090
26.17	Fe	XVIII	14.486	40.0	0.2667	NIST	L5090
26.17	Fe	XVIII	14.534	70.0	0.4667	NIST	L5090
26.17	Fe	XVIII	14.551	60.0	0.4	NIST	L5090
26.17	Fe	XVIII	14.581	60.0	0.4	NIST	L5090
26.17	Fe	XVIII	14.61	35.0	0.2333	NIST	L5090
26.17	Fe	XVIII	15.45	30.0	0.2	NIST	L5090
26.17	Fe	XVIII	15.625	70.0	0.4667	NIST	L5090
26.17	Fe	XVIII	15.766	35.0	0.2333	NIST	L5090
26.17	Fe	XVIII	15.828	50.0	0.3333	NIST	L5090
26.17	Fe	XVIII	15.87	60.0	0.4	NIST	L5090
26.17	Fe	XVIII	16.005	70.0	0.4667	NIST	L5090
26.17	Fe	XVIII	16.026	45.0	0.3	NIST	L5090
26.17	Fe	XVIII	16.072	20.0	0.1333	NIST	L5090
26.17	Fe	XVIII	16.165	150.0	1.0	NIST	L18047
26.17	Fe	XVIII	16.234	55.0	0.3667	NIST	L18047
26.17	Fe	XVIII	16.272	7.0	0.0467	NIST	L5090
26.17	Fe	XVIII	16.305	65.0	0.4333	NIST	L18047
26.17	Fe	XVIII	93.926	10.0	0.0667	NIST	L5991
26.17	Fe	XVIII	103.939	10.0	0.0667	NIST	L5991
