atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
31.00	Ga	I	571.3	2.0	0.02	NIST	L12180
31.00	Ga	I	584.9	3.0	0.03	NIST	L12180
31.00	Ga	I	601.3	7.0	0.07	NIST	L12180
31.00	Ga	I	606.1	14.0	0.14	NIST	L12180
31.00	Ga	I	609.8	15.0	0.15	NIST	L12180
31.00	Ga	I	613.3	13.0	0.13	NIST	L12180
31.00	Ga	I	616.1	7.0	0.07	NIST	L12180
31.00	Ga	I	618.6	4.0	0.04	NIST	L12180
31.00	Ga	I	622.4	7.0	0.07	NIST	L12180
31.00	Ga	I	628.1	9.0	0.09	NIST	L12180
31.00	Ga	I	632.2	11.0	0.11	NIST	L12180
31.00	Ga	I	633.3	8.0	0.08	NIST	L12180
31.00	Ga	I	635.4	6.0	0.06	NIST	L12180
31.00	Ga	I	636.3	5.0	0.05	NIST	L12180
31.00	Ga	I	639.2	6.0	0.06	NIST	L12180
31.00	Ga	I	651.6	4.0	0.04	NIST	L12180
31.00	Ga	I	659.2	2.0	0.02	NIST	L12180
31.00	Ga	I	2218.039	1.0	0.01	NIST	L12180
31.00	Ga	I	2255.034	1.0	0.01	NIST	L12180
31.00	Ga	I	2259.227	1.0	0.01	NIST	L12180
31.00	Ga	I	2294.19	2.0	0.02	NIST	L12180
31.00	Ga	I	2297.869	1.0	0.01	NIST	L12180
31.00	Ga	I	2338.24	3.0	0.03	NIST	L12180
31.00	Ga	I	2338.596	1.0	0.01	NIST	L12180
31.00	Ga	I	2371.29	3.0	0.03	NIST	L12180
31.00	Ga	I	2418.69	4.0	0.04	NIST	L12180
31.00	Ga	I	2719.664	3.0	0.03	NIST	L12180
31.00	Ga	I	2874.235	3.0	0.03	NIST	L12180
31.00	Ga	I	2943.636	3.0	0.03	NIST	L12180
31.00	Ga	I	2944.173	1.0	0.01	NIST	L12180
31.00	Ga	I	4032.984	4.0	0.04	NIST	L12180
31.00	Ga	I	4172.042	5.0	0.05	NIST	L12180
31.00	Ga	I	5353.49	7.0	0.07	NIST	L12180
31.00	Ga	I	5359.205	6.0	0.06	NIST	L12180
31.00	Ga	I	6396.561	9.0	0.09	NIST	L12180
31.00	Ga	I	6413.447	7.0	0.07	NIST	L12180
31.00	Ga	I	7051.24	3.0	0.03	NIST	L12180
31.00	Ga	I	7106.82	5.0	0.05	NIST	L12180
31.00	Ga	I	7116.3	1.0	0.01	NIST	L12180
31.00	Ga	I	7172.9	2.0	0.02	NIST	L12180
31.00	Ga	I	7193.6	5.0	0.05	NIST	L12180
31.00	Ga	I	7251.4	10.0	0.1	NIST	L12180
31.00	Ga	I	7289.6	3.0	0.03	NIST	L12180
31.00	Ga	I	7349.3	5.0	0.05	NIST	L12180
31.00	Ga	I	7403.0	20.0	0.2	NIST	L12180
31.00	Ga	I	7464.0	30.0	0.3	NIST	L12180
31.00	Ga	I	7556.6	6.0	0.06	NIST	L12180
31.00	Ga	I	7620.5	10.0	0.1	NIST	L12180
31.00	Ga	I	7734.77	50.0	0.5	NIST	L12180
31.00	Ga	I	7800.01	100.0	1.0	NIST	L12180
31.00	Ga	I	7801.6	4.0	0.04	NIST	L12180
31.00	Ga	I	8002.55	15.0	0.15	NIST	L12180
31.00	Ga	I	8074.25	20.0	0.2	NIST	L12180
31.00	Ga	I	8311.86	6.0	0.06	NIST	L12180
31.00	Ga	I	8386.49	7.0	0.07	NIST	L12180
31.00	Ga	I	8389.3	4.0	0.04	NIST	L12180
31.00	Ga	I	8415.51	2.0	0.02	NIST	L12180
31.00	Ga	I	8419.91	3.0	0.03	NIST	L12180
31.00	Ga	I	8808.75	3.0	0.03	NIST	L12180
31.00	Ga	I	8813.56	5.0	0.05	NIST	L12180
31.00	Ga	I	8856.37	3.0	0.03	NIST	L12180
31.00	Ga	I	8944.33	4.0	0.04	NIST	L12180
31.00	Ga	I	9492.92	1.0	0.01	NIST	L12180
31.00	Ga	I	9493.12	2.0	0.02	NIST	L12180
31.00	Ga	I	9498.5	2.0	0.02	NIST	L12180
31.00	Ga	I	9589.36	5.0	0.05	NIST	L12180
31.00	Ga	I	9594.25	1.0	0.01	NIST	L12180
31.00	Ga	I	10898.1	4.0	0.04	NIST	L12180
31.00	Ga	I	10905.47	5.0	0.05	NIST	L12180
31.00	Ga	I	10968.27	1.0	0.01	NIST	L12180
31.00	Ga	I	11103.51	3.0	0.03	NIST	L12180
31.00	Ga	I	11949.12	10.0	0.1	NIST	L12180
31.00	Ga	I	12109.78	9.0	0.09	NIST	L12180
31.00	Ga	I	12885.05	4.0	0.04	NIST	L12180
31.00	Ga	I	13057.5	5.0	0.05	NIST	L12180
31.00	Ga	I	14982.75	5.0	0.05	NIST	L12180
31.00	Ga	I	14996.64	6.0	0.06	NIST	L12180
31.00	Ga	I	17757.91	2.0	0.02	NIST	L12180
31.00	Ga	I	17868.96	1.0	0.01	NIST	L12180
31.00	Ga	I	22022.82	6.0	0.06	NIST	L12180
31.00	Ga	I	22574.87	7.0	0.07	NIST	L12180
