atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
31.19	Ga	XX	28.83	1.0	0.0017	NIST	L12180
31.19	Ga	XX	31.797	2.0	0.0033	NIST	L12180
31.19	Ga	XX	32.417	1.0	0.0017	NIST	L12180
31.19	Ga	XX	33.894	2.0	0.0033	NIST	L12180
31.19	Ga	XX	34.25	3.0	0.005	NIST	L12180
31.19	Ga	XX	35.7	2.0	0.0033	NIST	L12180
31.19	Ga	XX	37.849	1.0	0.0017	NIST	L12180
31.19	Ga	XX	40.1	4.0	0.0067	NIST	L12180
31.19	Ga	XX	40.54	4.0	0.0067	NIST	L12180
31.19	Ga	XX	41.798	2.0	0.0033	NIST	L12180
31.19	Ga	XX	41.983	2.0	0.0033	NIST	L12180
31.19	Ga	XX	147.923	100.0	0.1667	NIST	L12180
31.19	Ga	XX	165.342	400.0	0.6667	NIST	L12180
31.19	Ga	XX	167.959	300.0	0.5	NIST	L12180
31.19	Ga	XX	169.502	80.0	0.1333	NIST	L12180
31.19	Ga	XX	169.89	10.0	0.0167	NIST	L12180
31.19	Ga	XX	171.586	10.0	0.0167	NIST	L12180
31.19	Ga	XX	171.847	100.0	0.1667	NIST	L12180
31.19	Ga	XX	177.218	100.0	0.1667	NIST	L12180
31.19	Ga	XX	177.78	40.0	0.0667	NIST	L12180
31.19	Ga	XX	178.783	5.0	0.0083	NIST	L12180
31.19	Ga	XX	179.17	20.0	0.0333	NIST	L12180
31.19	Ga	XX	182.37	3.0	0.005	NIST	L12180
31.19	Ga	XX	182.991	20.0	0.0333	NIST	L12180
31.19	Ga	XX	183.463	1.0	0.0017	NIST	L12180
31.19	Ga	XX	183.651	600.0	1.0	NIST	L12180
31.19	Ga	XX	184.729	100.0	0.1667	NIST	L12180
31.19	Ga	XX	190.425	44.0	0.0733	NIST	L12180
31.19	Ga	XX	196.876	10.0	0.0167	NIST	L12180
31.19	Ga	XX	204.325	3.0	0.005	NIST	L12180
31.19	Ga	XX	208.072	300.0	0.5	NIST	L12180
31.19	Ga	XX	214.746	10.0	0.0167	NIST	L12180
31.19	Ga	XX	218.066	4.0	0.0067	NIST	L12180
31.19	Ga	XX	220.578	1.0	0.0017	NIST	L12180
31.19	Ga	XX	224.279	1.0	0.0017	NIST	L12180
31.19	Ga	XX	226.851	1.0	0.0017	NIST	L12180
31.19	Ga	XX	231.769	1.0	0.0017	NIST	L12180
31.19	Ga	XX	240.241	2.0	0.0033	NIST	L12180
31.19	Ga	XX	240.81	200.0	0.3333	NIST	L12180
31.19	Ga	XX	263.0	7.0	0.0117	NIST	L12180
31.19	Ga	XX	282.11	5.0	0.0083	NIST	L12180
31.19	Ga	XX	300.25	3.0	0.005	NIST	L12180
