atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
64.02	Gd	III	1813.47	600.0	0.0632	NIST	u5
64.02	Gd	III	1946.26	900.0	0.0947	NIST	u5
64.02	Gd	III	1974.34	1100.0	0.1158	NIST	u5
64.02	Gd	III	1975.24	2200.0	0.2316	NIST	u5
64.02	Gd	III	2008.79	900.0	0.0947	NIST	u5
64.02	Gd	III	2018.07	3400.0	0.3579	NIST	u5
64.02	Gd	III	2027.82	1800.0	0.1895	NIST	u5
64.02	Gd	III	2046.02	800.0	0.0842	NIST	u5
64.02	Gd	III	2057.79	500.0	0.0526	NIST	u5
64.02	Gd	III	2080.08	1500.0	0.1579	NIST	u5
64.02	Gd	III	2098.2	1800.0	0.1895	NIST	u5
64.02	Gd	III	2125.68	1300.0	0.1368	NIST	u5
64.02	Gd	III	2148.03	1400.0	0.1474	NIST	u5
64.02	Gd	III	2176.84	1700.0	0.1789	NIST	u5
64.02	Gd	III	2223.95	1700.0	0.1789	NIST	u5
64.02	Gd	III	2236.73	1700.0	0.1789	NIST	u5
64.02	Gd	III	2239.84	1200.0	0.1263	NIST	u5
64.02	Gd	III	2243.75	1500.0	0.1579	NIST	u5
64.02	Gd	III	2250.18	1700.0	0.1789	NIST	u5
64.02	Gd	III	2257.05	1300.0	0.1368	NIST	u5
64.02	Gd	III	2292.51	1300.0	0.1368	NIST	u5
64.02	Gd	III	2300.38	1000.0	0.1053	NIST	u5
64.02	Gd	III	2303.72	1200.0	0.1263	NIST	u5
64.02	Gd	III	2307.03	1500.0	0.1579	NIST	u5
64.02	Gd	III	2313.5	1100.0	0.1158	NIST	u5
64.02	Gd	III	2313.56	1700.0	0.1789	NIST	u5
64.02	Gd	III	2315.09	1000.0	0.1053	NIST	u5
64.02	Gd	III	2323.12	1400.0	0.1474	NIST	u5
64.02	Gd	III	2323.18	1700.0	0.1789	NIST	u5
64.02	Gd	III	2323.78	2200.0	0.2316	NIST	u5
64.02	Gd	III	2329.35	1900.0	0.2	NIST	u5
64.02	Gd	III	2335.01	2100.0	0.2211	NIST	u5
64.02	Gd	III	2336.02	1600.0	0.1684	NIST	u5
64.02	Gd	III	2338.97	1900.0	0.2	NIST	u5
64.02	Gd	III	2339.88	1600.0	0.1684	NIST	u5
64.02	Gd	III	2342.74	2100.0	0.2211	NIST	u5
64.02	Gd	III	2346.52	2500.0	0.2632	NIST	u5
64.02	Gd	III	2359.31	2800.0	0.2947	NIST	u5
64.02	Gd	III	2360.87	1900.0	0.2	NIST	u5
64.02	Gd	III	2361.91	2300.0	0.2421	NIST	u5
64.02	Gd	III	2362.38	1400.0	0.1474	NIST	u5
64.02	Gd	III	2363.26	2100.0	0.2211	NIST	u5
64.02	Gd	III	2365.22	1600.0	0.1684	NIST	u5
64.02	Gd	III	2373.38	2000.0	0.2105	NIST	u5
64.02	Gd	III	2374.29	1300.0	0.1368	NIST	u5
64.02	Gd	III	2381.38	1300.0	0.1368	NIST	u5
64.02	Gd	III	2387.82	1600.0	0.1684	NIST	u5
64.02	Gd	III	2388.77	2000.0	0.2105	NIST	u5
64.02	Gd	III	2393.86	1200.0	0.1263	NIST	u5
64.02	Gd	III	2397.34	1200.0	0.1263	NIST	u5
64.02	Gd	III	2405.03	1200.0	0.1263	NIST	u5
64.02	Gd	III	2408.41	1300.0	0.1368	NIST	u5
64.02	Gd	III	2409.35	1200.0	0.1263	NIST	u5
64.02	Gd	III	2466.84	1500.0	0.1579	NIST	u5
64.02	Gd	III	2469.14	1100.0	0.1158	NIST	u5
64.02	Gd	III	2499.53	1300.0	0.1368	NIST	u5
64.02	Gd	III	2520.38	1600.0	0.1684	NIST	u5
64.02	Gd	III	2534.11	1600.0	0.1684	NIST	u5
64.02	Gd	III	2536.1	1300.0	0.1368	NIST	u5
64.02	Gd	III	2551.56	1600.0	0.1684	NIST	u5
64.02	Gd	III	2553.9	2200.0	0.2316	NIST	u5
64.02	Gd	III	2554.04	2100.0	0.2211	NIST	u5
64.02	Gd	III	2563.33	2500.0	0.2632	NIST	u5
64.02	Gd	III	2564.46	2100.0	0.2211	NIST	u5
64.02	Gd	III	2565.04	1000.0	0.1053	NIST	u5
64.02	Gd	III	2565.95	2400.0	0.2526	NIST	u5
64.02	Gd	III	2569.27	1800.0	0.1895	NIST	u5
64.02	Gd	III	2573.57	1800.0	0.1895	NIST	u5
64.02	Gd	III	2576.06	2000.0	0.2105	NIST	u5
64.02	Gd	III	2576.15	1300.0	0.1368	NIST	u5
64.02	Gd	III	2578.13	1400.0	0.1474	NIST	u5
64.02	Gd	III	2578.76	1600.0	0.1684	NIST	u5
64.02	Gd	III	2583.62	1700.0	0.1789	NIST	u5
64.02	Gd	III	2588.21	2000.0	0.2105	NIST	u5
64.02	Gd	III	2588.46	2000.0	0.2105	NIST	u5
64.02	Gd	III	2595.81	1300.0	0.1368	NIST	u5
64.02	Gd	III	2609.77	1800.0	0.1895	NIST	u5
64.02	Gd	III	2619.4	1200.0	0.1263	NIST	u5
64.02	Gd	III	2621.52	1200.0	0.1263	NIST	u5
64.02	Gd	III	2623.52	1400.0	0.1474	NIST	u5
64.02	Gd	III	2625.48	1400.0	0.1474	NIST	u5
64.02	Gd	III	2628.1	2000.0	0.2105	NIST	u5
64.02	Gd	III	2628.99	1300.0	0.1368	NIST	u5
64.02	Gd	III	2629.83	2400.0	0.2526	NIST	u5
64.02	Gd	III	2632.3	2100.0	0.2211	NIST	u5
64.02	Gd	III	2633.32	1800.0	0.1895	NIST	u5
64.02	Gd	III	2635.71	1400.0	0.1474	NIST	u5
64.02	Gd	III	2636.44	1600.0	0.1684	NIST	u5
64.02	Gd	III	2637.15	1700.0	0.1789	NIST	u5
64.02	Gd	III	2637.97	2100.0	0.2211	NIST	u5
64.02	Gd	III	2638.06	2100.0	0.2211	NIST	u5
64.02	Gd	III	2640.53	2200.0	0.2316	NIST	u5
64.02	Gd	III	2641.65	1600.0	0.1684	NIST	u5
64.02	Gd	III	2643.71	2100.0	0.2211	NIST	u5
64.02	Gd	III	2644.52	1600.0	0.1684	NIST	u5
64.02	Gd	III	2646.04	1800.0	0.1895	NIST	u5
64.02	Gd	III	2646.84	1800.0	0.1895	NIST	u5
64.02	Gd	III	2651.48	1600.0	0.1684	NIST	u5
64.02	Gd	III	2655.59	2000.0	0.2105	NIST	u5
64.02	Gd	III	2656.55	1900.0	0.2	NIST	u5
64.02	Gd	III	2660.83	2200.0	0.2316	NIST	u5
64.02	Gd	III	2675.75	1800.0	0.1895	NIST	u5
64.02	Gd	III	2679.44	1800.0	0.1895	NIST	u5
64.02	Gd	III	2680.63	1700.0	0.1789	NIST	u5
64.02	Gd	III	2682.52	1800.0	0.1895	NIST	u5
64.02	Gd	III	2683.91	1500.0	0.1579	NIST	u5
64.02	Gd	III	2692.78	1600.0	0.1684	NIST	u5
64.02	Gd	III	2692.86	1900.0	0.2	NIST	u5
64.02	Gd	III	2694.43	1500.0	0.1579	NIST	u5
64.02	Gd	III	2697.39	2800.0	0.2947	NIST	u5
64.02	Gd	III	2702.91	1500.0	0.1579	NIST	u5
64.02	Gd	III	2703.28	2800.0	0.2947	NIST	u5
