atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
32.02	Ge	III	542.9	2.0	0.01	NIST	L3302
32.02	Ge	III	663.77	2.0	0.01	NIST	L3302
32.02	Ge	III	670.88	3.0	0.015	NIST	L3302
32.02	Ge	III	680.28	2.0	0.01	NIST	L3302
32.02	Ge	III	952.76	2.0	0.01	NIST	L3302
32.02	Ge	III	988.96	12.0	0.06	NIST	L3302
32.02	Ge	III	995.72	15.0	0.075	NIST	L3302
32.02	Ge	III	996.5	10.0	0.05	NIST	L3302
32.02	Ge	III	1011.21	15.0	0.075	NIST	L3302
32.02	Ge	III	1012.31	10.0	0.05	NIST	L3302
32.02	Ge	III	1032.62	8.0	0.04	NIST	L3302
32.02	Ge	III	1040.99	12.0	0.06	NIST	L3302
32.02	Ge	III	1058.91	12.0	0.06	NIST	L3302
32.02	Ge	III	1088.45	40.0	0.2	NIST	L3302
32.02	Ge	III	1137.92	10.0	0.05	NIST	L3302
32.02	Ge	III	1150.55	12.0	0.06	NIST	L3302
32.02	Ge	III	1159.15	8.0	0.04	NIST	L3302
32.02	Ge	III	1159.62	8.0	0.04	NIST	L3302
32.02	Ge	III	1160.79	8.0	0.04	NIST	L3302
32.02	Ge	III	1173.78	10.0	0.05	NIST	L3302
32.02	Ge	III	1212.47	8.0	0.04	NIST	L3302
32.02	Ge	III	1323.24	4.0	0.02	NIST	L3302
32.02	Ge	III	1525.32	10.0	0.05	NIST	L3302
32.02	Ge	III	1527.15	2.0	0.01	NIST	L3302
32.02	Ge	III	1600.09	9.0	0.045	NIST	L3302
32.02	Ge	III	1883.26	6.0	0.03	NIST	L3302
32.02	Ge	III	1978.22	2.0	0.01	NIST	L3302
32.02	Ge	III	2019.22	2.0	0.01	NIST	L3302
32.02	Ge	III	2022.25	4.0	0.02	NIST	L3302
32.02	Ge	III	2062.14	3.0	0.015	NIST	L3302
32.02	Ge	III	2100.05	15.0	0.075	NIST	L3302
32.02	Ge	III	2102.42	15.0	0.075	NIST	L3302
32.02	Ge	III	2104.45	25.0	0.125	NIST	L3302
32.02	Ge	III	2922.86	3.0	0.015	NIST	L3302
32.02	Ge	III	3197.56	25.0	0.125	NIST	L3302
32.02	Ge	III	3211.86	35.0	0.175	NIST	L3302
32.02	Ge	III	3214.95	25.0	0.125	NIST	L3302
32.02	Ge	III	3255.05	40.0	0.2	NIST	L3302
32.02	Ge	III	3259.9	20.0	0.1	NIST	L3302
32.02	Ge	III	3369.57	5.0	0.025	NIST	L3302
32.02	Ge	III	3414.27	20.0	0.1	NIST	L3302
32.02	Ge	III	3434.03	40.0	0.2	NIST	L3302
32.02	Ge	III	3464.59	8.0	0.04	NIST	L3302
32.02	Ge	III	3489.08	40.0	0.2	NIST	L3302
32.02	Ge	III	3724.51	2.0	0.01	NIST	L3302
32.02	Ge	III	3884.78	15.0	0.075	NIST	L3302
32.02	Ge	III	4178.96	200.0	1.0	NIST	L3302
32.02	Ge	III	4245.41	12.0	0.06	NIST	L3302
32.02	Ge	III	4260.85	200.0	1.0	NIST	L3302
32.02	Ge	III	4291.71	150.0	0.75	NIST	L3302
32.02	Ge	III	4674.36	10.0	0.05	NIST	L3302
32.02	Ge	III	5016.88	10.0	0.05	NIST	L3302
32.02	Ge	III	5134.75	18.0	0.09	NIST	L3302
32.02	Ge	III	5229.37	5.0	0.025	NIST	L3302
32.02	Ge	III	5256.61	3.0	0.015	NIST	L3302
