atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
72.00	Hf	I	2353.02	110.0	0.05	NIST	L3475
72.00	Hf	I	2428.75	45.0	0.0205	NIST	L3475
72.00	Hf	I	2444.99	35.0	0.0159	NIST	L3475
72.00	Hf	I	2465.67	35.0	0.0159	NIST	L3475
72.00	Hf	I	2482.65	55.0	0.025	NIST	L3475
72.00	Hf	I	2487.16	55.0	0.025	NIST	L3475
72.00	Hf	I	2608.45	120.0	0.0545	NIST	L3475
72.00	Hf	I	2637.0	160.0	0.0727	NIST	L3475
72.00	Hf	I	2642.75	160.0	0.0727	NIST	L3475
72.00	Hf	I	2705.61	670.0	0.3045	NIST	L3475
72.00	Hf	I	2713.84	140.0	0.0636	NIST	L3475
72.00	Hf	I	2718.59	250.0	0.1136	NIST	L3475
72.00	Hf	I	2730.85	120.0	0.0545	NIST	L3475
72.00	Hf	I	2743.64	200.0	0.0909	NIST	L3475
72.00	Hf	I	2761.63	450.0	0.2045	NIST	L3475
72.00	Hf	I	2766.96	160.0	0.0727	NIST	L3475
72.00	Hf	I	2773.02	170.0	0.0773	NIST	L3475
72.00	Hf	I	2779.37	390.0	0.1773	NIST	L3475
72.00	Hf	I	2817.68	230.0	0.1045	NIST	L3475
72.00	Hf	I	2818.94	140.0	0.0636	NIST	L3475
72.00	Hf	I	2819.74	200.0	0.0909	NIST	L3475
72.00	Hf	I	2833.28	180.0	0.0818	NIST	L3475
72.00	Hf	I	2834.13	110.0	0.05	NIST	L3475
72.00	Hf	I	2845.83	410.0	0.1864	NIST	L3475
72.00	Hf	I	2850.96	270.0	0.1227	NIST	L3475
72.00	Hf	I	2860.56	180.0	0.0818	NIST	L3475
72.00	Hf	I	2866.37	2100.0	0.9545	NIST	L3475
72.00	Hf	I	2887.14	210.0	0.0955	NIST	L3475
72.00	Hf	I	2887.54	100.0	0.0455	NIST	L3475
72.00	Hf	I	2889.62	800.0	0.3636	NIST	L3475
72.00	Hf	I	2898.26	1800.0	0.8182	NIST	L3475
72.00	Hf	I	2904.41	1200.0	0.5455	NIST	L3475
72.00	Hf	I	2904.75	890.0	0.4045	NIST	L3475
72.00	Hf	I	2916.48	2000.0	0.9091	NIST	L3475
72.00	Hf	I	2918.58	580.0	0.2636	NIST	L3475
72.00	Hf	I	2924.62	180.0	0.0818	NIST	L3475
72.00	Hf	I	2929.9	450.0	0.2045	NIST	L3475
72.00	Hf	I	2940.77	2000.0	0.9091	NIST	L3475
72.00	Hf	I	2944.71	160.0	0.0727	NIST	L3475
72.00	Hf	I	2950.68	1200.0	0.5455	NIST	L3475
72.00	Hf	I	2954.2	1100.0	0.5	NIST	L3475
72.00	Hf	I	2958.02	540.0	0.2455	NIST	L3475
72.00	Hf	I	2964.88	1400.0	0.6364	NIST	L3475
72.00	Hf	I	2966.93	620.0	0.2818	NIST	L3475
72.00	Hf	I	2973.37	110.0	0.05	NIST	L3475
72.00	Hf	I	2979.28	150.0	0.0682	NIST	L3475
72.00	Hf	I	2980.81	1100.0	0.5	NIST	L3475
72.00	Hf	I	2982.72	210.0	0.0955	NIST	L3475
72.00	Hf	I	3005.56	800.0	0.3636	NIST	L3475
72.00	Hf	I	3016.78	540.0	0.2455	NIST	L3475
72.00	Hf	I	3018.31	980.0	0.4455	NIST	L3475
72.00	Hf	I	3020.53	1200.0	0.5455	NIST	L3475
