atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
72.02	Hf	III	1449.83	20.0	0.01	NIST	L3981
72.02	Hf	III	1507.82	30.0	0.015	NIST	L3981
72.02	Hf	III	1683.95	50.0	0.025	NIST	L3981
72.02	Hf	III	1756.91	50.0	0.025	NIST	L3981
72.02	Hf	III	1843.64	60.0	0.03	NIST	L3981
72.02	Hf	III	1870.58	60.0	0.03	NIST	L3981
72.02	Hf	III	1874.81	50.0	0.025	NIST	L3981
72.02	Hf	III	1885.15	150.0	0.075	NIST	L3981
72.02	Hf	III	1991.44	100.0	0.05	NIST	L3981
72.02	Hf	III	2037.76	100.0	0.05	NIST	L3981
72.02	Hf	III	2070.94	300.0	0.15	NIST	L3981
72.02	Hf	III	2085.33	150.0	0.075	NIST	L3981
72.02	Hf	III	2099.3	200.0	0.1	NIST	L3981
72.02	Hf	III	2110.31	200.0	0.1	NIST	L3981
72.02	Hf	III	2119.69	100.0	0.05	NIST	L3981
72.02	Hf	III	2155.66	200.0	0.1	NIST	L3981
72.02	Hf	III	2183.5	200.0	0.1	NIST	L3981
72.02	Hf	III	2195.44	200.0	0.1	NIST	L3981
72.02	Hf	III	2213.54	100.0	0.05	NIST	L3981
72.02	Hf	III	2234.59	200.0	0.1	NIST	L3981
72.02	Hf	III	2313.44	200.0	0.1	NIST	L3981
72.02	Hf	III	2336.47	300.0	0.15	NIST	L3981
72.02	Hf	III	2355.48	150.0	0.075	NIST	L3981
72.02	Hf	III	2373.3	100.0	0.05	NIST	L3981
72.02	Hf	III	2377.57	120.0	0.06	NIST	L3981
72.02	Hf	III	2383.54	250.0	0.125	NIST	L3981
72.02	Hf	III	2461.74	400.0	0.2	NIST	L3981
72.02	Hf	III	2495.16	2000.0	1.0	NIST	L3981
72.02	Hf	III	2515.16	1000.0	0.5	NIST	L3981
72.02	Hf	III	2534.33	100.0	0.05	NIST	L3981
72.02	Hf	III	2560.74	400.0	0.2	NIST	L3981
72.02	Hf	III	2567.46	300.0	0.15	NIST	L3981
72.02	Hf	III	2687.22	200.0	0.1	NIST	L3981
72.02	Hf	III	2753.6	500.0	0.25	NIST	L3981
72.02	Hf	III	3060.08	100.0	0.05	NIST	L3981
72.02	Hf	III	3279.67	200.0	0.1	NIST	L3981
72.02	Hf	III	3741.94	100.0	0.05	NIST	L3981
