atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
72.03	Hf	IV	520.04	40.0	0.0667	NIST	L2538
72.03	Hf	IV	569.19	50.0	0.0833	NIST	L2538
72.03	Hf	IV	596.56	100.0	0.1667	NIST	L2538
72.03	Hf	IV	600.9	100.0	0.1667	NIST	L2538
72.03	Hf	IV	603.16	100.0	0.1667	NIST	L2538
72.03	Hf	IV	618.27	200.0	0.3333	NIST	L2538
72.03	Hf	IV	620.19	100.0	0.1667	NIST	L2538
72.03	Hf	IV	633.58	100.0	0.1667	NIST	L2538
72.03	Hf	IV	643.05	100.0	0.1667	NIST	L2538
72.03	Hf	IV	644.54	200.0	0.3333	NIST	L2538
72.03	Hf	IV	647.39	400.0	0.6667	NIST	L2538
72.03	Hf	IV	665.65	600.0	1.0	NIST	L2538
72.03	Hf	IV	671.36	100.0	0.1667	NIST	L2538
72.03	Hf	IV	673.49	200.0	0.3333	NIST	L2538
72.03	Hf	IV	1305.24	15.0	0.025	NIST	L7346
72.03	Hf	IV	1357.4	12.0	0.02	NIST	L7346
72.03	Hf	IV	1390.39	40.0	0.0667	NIST	L7346
72.03	Hf	IV	1491.67	50.0	0.0833	NIST	L7346
72.03	Hf	IV	1528.82	35.0	0.0583	NIST	L7346
72.03	Hf	IV	1560.18	15.0	0.025	NIST	L7346
72.03	Hf	IV	1572.03	25.0	0.0417	NIST	L7346
72.03	Hf	IV	1717.21	100.0	0.1667	NIST	L7346
72.03	Hf	IV	1718.57	20.0	0.0333	NIST	L7346
72.03	Hf	IV	2014.06	7.0	0.0117	NIST	L7346
72.03	Hf	IV	2054.46	100.0	0.1667	NIST	L7346
72.03	Hf	IV	7267.58	10.0	0.0167	NIST	L2603
72.03	Hf	IV	7751.29	20.0	0.0333	NIST	L2603
