atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
72.04	Hf	V	545.41	220.0	0.22	NIST	L2538
72.04	Hf	V	600.0	180.0	0.18	NIST	L2538
72.04	Hf	V	816.81	100.0	0.1	NIST	L2538
72.04	Hf	V	830.69	100.0	0.1	NIST	L2538
72.04	Hf	V	836.74	100.0	0.1	NIST	L2538
72.04	Hf	V	846.87	100.0	0.1	NIST	L2538
72.04	Hf	V	856.32	100.0	0.1	NIST	L2538
72.04	Hf	V	861.8	100.0	0.1	NIST	L2538
72.04	Hf	V	865.16	135.0	0.135	NIST	L2538
72.04	Hf	V	867.25	270.0	0.27	NIST	L2538
72.04	Hf	V	875.88	180.0	0.18	NIST	L2538
72.04	Hf	V	877.87	135.0	0.135	NIST	L2538
72.04	Hf	V	880.37	135.0	0.135	NIST	L2538
72.04	Hf	V	880.85	100.0	0.1	NIST	L2538
72.04	Hf	V	885.58	180.0	0.18	NIST	L2538
72.04	Hf	V	885.8	135.0	0.135	NIST	L2538
72.04	Hf	V	894.24	135.0	0.135	NIST	L2538
72.04	Hf	V	894.41	100.0	0.1	NIST	L2538
72.04	Hf	V	896.14	180.0	0.18	NIST	L2538
72.04	Hf	V	896.47	100.0	0.1	NIST	L2538
72.04	Hf	V	899.7	135.0	0.135	NIST	L2538
72.04	Hf	V	901.54	180.0	0.18	NIST	L2538
72.04	Hf	V	901.92	135.0	0.135	NIST	L2538
72.04	Hf	V	904.95	135.0	0.135	NIST	L2538
72.04	Hf	V	909.7	135.0	0.135	NIST	L2538
72.04	Hf	V	913.68	135.0	0.135	NIST	L2538
72.04	Hf	V	918.48	135.0	0.135	NIST	L2538
72.04	Hf	V	919.1	180.0	0.18	NIST	L2538
72.04	Hf	V	921.67	270.0	0.27	NIST	L2538
72.04	Hf	V	928.01	135.0	0.135	NIST	L2538
72.04	Hf	V	931.5	135.0	0.135	NIST	L2538
72.04	Hf	V	947.12	135.0	0.135	NIST	L2538
72.04	Hf	V	951.62	245.0	0.245	NIST	L2538
72.04	Hf	V	960.12	180.0	0.18	NIST	L2538
72.04	Hf	V	964.74	180.0	0.18	NIST	L2538
72.04	Hf	V	971.51	160.0	0.16	NIST	L2538
72.04	Hf	V	974.62	135.0	0.135	NIST	L2538
72.04	Hf	V	984.64	120.0	0.12	NIST	L2538
72.04	Hf	V	991.5	135.0	0.135	NIST	L2538
72.04	Hf	V	1078.42	100.0	0.1	NIST	L2538
72.04	Hf	V	1079.92	100.0	0.1	NIST	L2538
72.04	Hf	V	1092.76	160.0	0.16	NIST	L2538
72.04	Hf	V	1097.28	135.0	0.135	NIST	L2538
72.04	Hf	V	1137.49	135.0	0.135	NIST	L2538
72.04	Hf	V	1201.76	160.0	0.16	NIST	L2538
72.04	Hf	V	1208.88	135.0	0.135	NIST	L2538
72.04	Hf	V	1224.62	135.0	0.135	NIST	L2538
72.04	Hf	V	1227.98	135.0	0.135	NIST	L2538
72.04	Hf	V	1230.21	135.0	0.135	NIST	L2538
72.04	Hf	V	1232.03	270.0	0.27	NIST	L2538
72.04	Hf	V	1233.59	200.0	0.2	NIST	L2538
72.04	Hf	V	1237.42	160.0	0.16	NIST	L2538
72.04	Hf	V	1238.85	100.0	0.1	NIST	L2538
72.04	Hf	V	1239.53	160.0	0.16	NIST	L2538
72.04	Hf	V	1244.46	160.0	0.16	NIST	L2538
72.04	Hf	V	1259.25	100.0	0.1	NIST	L2538
72.04	Hf	V	1396.66	440.0	0.44	NIST	L2538
72.04	Hf	V	1400.09	270.0	0.27	NIST	L2538
72.04	Hf	V	1401.7	160.0	0.16	NIST	L2538
72.04	Hf	V	1405.77	135.0	0.135	NIST	L2538
72.04	Hf	V	1407.17	370.0	0.37	NIST	L2538
72.04	Hf	V	1408.38	370.0	0.37	NIST	L2538
72.04	Hf	V	1412.28	270.0	0.27	NIST	L2538
72.04	Hf	V	1413.51	270.0	0.27	NIST	L2538
72.04	Hf	V	1421.96	160.0	0.16	NIST	L2538
72.04	Hf	V	1422.53	220.0	0.22	NIST	L2538
72.04	Hf	V	1433.43	370.0	0.37	NIST	L2538
72.04	Hf	V	1437.27	370.0	0.37	NIST	L2538
72.04	Hf	V	1437.73	500.0	0.5	NIST	L2538
72.04	Hf	V	1445.4	370.0	0.37	NIST	L2538
72.04	Hf	V	1457.91	270.0	0.27	NIST	L2538
72.04	Hf	V	1719.32	270.0	0.27	NIST	L2538
72.04	Hf	V	1729.08	550.0	0.55	NIST	L2538
72.04	Hf	V	1731.83	750.0	0.75	NIST	L2538
72.04	Hf	V	1733.96	750.0	0.75	NIST	L2538
72.04	Hf	V	1741.74	440.0	0.44	NIST	L2538
72.04	Hf	V	1749.11	1000.0	1.0	NIST	L2538
72.04	Hf	V	1750.19	1000.0	1.0	NIST	L2538
72.04	Hf	V	1760.89	500.0	0.5	NIST	L2538
72.04	Hf	V	1765.62	370.0	0.37	NIST	L2538
72.04	Hf	V	1774.02	270.0	0.27	NIST	L2538
72.04	Hf	V	1792.39	135.0	0.135	NIST	L2538
