atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
80.02	Hg	III	621.44	3.0	0.03	NIST	L3332
80.02	Hg	III	679.68	2.0	0.02	NIST	L3332
80.02	Hg	III	878.59	2.0	0.02	NIST	L3332
80.02	Hg	III	886.48	1.0	0.01	NIST	L3332
80.02	Hg	III	988.89	1.0	0.01	NIST	L3332
80.02	Hg	III	1009.29	2.0	0.02	NIST	L3332
80.02	Hg	III	1068.03	5.0	0.05	NIST	L3332
80.02	Hg	III	1161.95	2.0	0.02	NIST	L3332
80.02	Hg	III	1681.4	9.0	0.09	NIST	L3332
80.02	Hg	III	1759.75	15.0	0.15	NIST	L3332
80.02	Hg	III	1894.77	1.0	0.01	NIST	L3332
80.02	Hg	III	2314.15	7.0	0.07	NIST	L3332
80.02	Hg	III	2380.55	4.0	0.04	NIST	L3332
80.02	Hg	III	2431.65	8.0	0.08	NIST	L3332
80.02	Hg	III	2480.56	5.0	0.05	NIST	L3332
80.02	Hg	III	2484.5	7.0	0.07	NIST	L3332
80.02	Hg	III	2612.92	2.0	0.02	NIST	L3332
80.02	Hg	III	2617.97	4.0	0.04	NIST	L3332
80.02	Hg	III	2670.49	3.0	0.03	NIST	L3332
80.02	Hg	III	2724.43	70.0	0.7	NIST	L3332
80.02	Hg	III	2769.22	6.0	0.06	NIST	L3332
80.02	Hg	III	2844.76	3.0	0.03	NIST	L3332
80.02	Hg	III	3090.05	15.0	0.15	NIST	L3332
80.02	Hg	III	3283.02	5.0	0.05	NIST	L3332
80.02	Hg	III	3312.28	12.0	0.12	NIST	L3332
80.02	Hg	III	3389.01	8.0	0.08	NIST	L3332
80.02	Hg	III	3450.77	5.0	0.05	NIST	L3332
80.02	Hg	III	3500.35	3.0	0.03	NIST	L3332
80.02	Hg	III	3538.88	4.0	0.04	NIST	L3332
80.02	Hg	III	3557.24	5.0	0.05	NIST	L3332
80.02	Hg	III	3803.51	15.0	0.15	NIST	L3332
80.02	Hg	III	4122.07	70.0	0.7	NIST	L3332
80.02	Hg	III	4140.34	10.0	0.1	NIST	L3332
80.02	Hg	III	4216.74	100.0	1.0	NIST	L3332
80.02	Hg	III	4470.58	15.0	0.15	NIST	L3332
80.02	Hg	III	4552.84	12.0	0.12	NIST	L3332
80.02	Hg	III	4797.01	50.0	0.5	NIST	L3332
80.02	Hg	III	4869.85	10.0	0.1	NIST	L3332
80.02	Hg	III	4973.57	80.0	0.8	NIST	L3332
80.02	Hg	III	5210.82	30.0	0.3	NIST	L3332
80.02	Hg	III	5695.71	6.0	0.06	NIST	L3332
80.02	Hg	III	6220.35	25.0	0.25	NIST	L3332
80.02	Hg	III	6418.98	35.0	0.35	NIST	L3332
80.02	Hg	III	6501.38	40.0	0.4	NIST	L3332
80.02	Hg	III	6584.26	10.0	0.1	NIST	L3332
80.02	Hg	III	6610.12	6.0	0.06	NIST	L3332
80.02	Hg	III	6709.29	30.0	0.3	NIST	L3332
80.02	Hg	III	7517.46	12.0	0.12	NIST	L3332
80.02	Hg	III	7808.1	7.0	0.07	NIST	L3332
80.02	Hg	III	7946.75	25.0	0.25	NIST	L3332
80.02	Hg	III	7984.51	50.0	0.5	NIST	L3332
80.02	Hg	III	8151.64	5.0	0.05	NIST	L3332
