atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
53.00	I	I	1195.289	110.0	0.0	NIST	L368
53.00	I	I	1218.411	1400.0	0.0002	NIST	L368
53.00	I	I	1224.049	4400.0	0.0005	NIST	L368
53.00	I	I	1224.077	4400.0	0.0005	NIST	L368
53.00	I	I	1228.888	3800.0	0.0004	NIST	L368
53.00	I	I	1251.335	5400.0	0.0006	NIST	L368
53.00	I	I	1259.153	24000.0	0.0026	NIST	L368
53.00	I	I	1259.511	29000.0	0.0031	NIST	L368
53.00	I	I	1261.268	7700.0	0.0008	NIST	L368
53.00	I	I	1267.569	6100.0	0.0007	NIST	L368
53.00	I	I	1267.596	6100.0	0.0007	NIST	L368
53.00	I	I	1275.255	16000.0	0.0017	NIST	L368
53.00	I	I	1289.395	35000.0	0.0038	NIST	L368
53.00	I	I	1300.335	130000.0	0.014	NIST	L368
53.00	I	I	1302.983	39000.0	0.0042	NIST	L368
53.00	I	I	1313.947	41000.0	0.0044	NIST	L368
53.00	I	I	1317.542	42000.0	0.0045	NIST	L368
53.00	I	I	1330.189	31000.0	0.0033	NIST	L368
53.00	I	I	1355.099	89000.0	0.0096	NIST	L368
53.00	I	I	1357.971	54000.0	0.0058	NIST	L368
53.00	I	I	1360.965	92000.0	0.0099	NIST	L368
53.00	I	I	1361.111	20000.0	0.0022	NIST	L368
53.00	I	I	1367.714	48000.0	0.0052	NIST	L368
53.00	I	I	1368.217	17000.0	0.0018	NIST	L368
53.00	I	I	1383.225	84000.0	0.009	NIST	L368
53.00	I	I	1390.75	66000.0	0.0071	NIST	L368
53.00	I	I	1392.898	16000.0	0.0017	NIST	L368
53.00	I	I	1400.014	17000.0	0.0018	NIST	L368
53.00	I	I	1425.49	210000.0	0.0226	NIST	L368
53.00	I	I	1446.261	53000.0	0.0057	NIST	L368
53.00	I	I	1453.179	55000.0	0.0059	NIST	L368
53.00	I	I	1457.389	160000.0	0.0172	NIST	L368
53.00	I	I	1457.471	160000.0	0.0172	NIST	L368
53.00	I	I	1457.981	310000.0	0.0333	NIST	L368
53.00	I	I	1458.794	78000.0	0.0084	NIST	L368
53.00	I	I	1459.145	45000.0	0.0048	NIST	L368
53.00	I	I	1465.828	29000.0	0.0031	NIST	L368
53.00	I	I	1485.918	36000.0	0.0039	NIST	L368
53.00	I	I	1492.888	67000.0	0.0072	NIST	L368
53.00	I	I	1507.041	200000.0	0.0215	NIST	L368
53.00	I	I	1514.682	200000.0	0.0215	NIST	L13998
53.00	I	I	1518.048	230000.0	0.0247	NIST	L13998
53.00	I	I	1526.448	39000.0	0.0042	NIST	L13998
53.00	I	I	1593.582	100000.0	0.0108	NIST	L13998
53.00	I	I	1617.606	310000.0	0.0333	NIST	L13998
53.00	I	I	1640.781	62000.0	0.0067	NIST	L13998
53.00	I	I	1702.071	460000.0	0.0495	NIST	L13998
53.00	I	I	1782.757	1300000.0	0.1398	NIST	L13998
53.00	I	I	1799.092	210000.0	0.0226	NIST	L13998
53.00	I	I	1830.38	9300000.0	1.0	NIST	L13998
53.00	I	I	1844.453	700000.0	0.0753	NIST	L13998
53.00	I	I	2061.633	150000.0	0.0161	NIST	L13998
53.00	I	I	4102.226	24.0	0.0	NIST	L13998
53.00	I	I	4129.206	24.0	0.0	NIST	L13998
53.00	I	I	4134.146	12.0	0.0	NIST	L13998
53.00	I	I	4321.836	59.0	0.0	NIST	L13998
53.00	I	I	4763.307	50.0	0.0	NIST	L13998
53.00	I	I	4862.315	210.0	0.0	NIST	L13998
53.00	I	I	4916.937	130.0	0.0	NIST	L13998
53.00	I	I	5119.287	2100.0	0.0002	NIST	L13998
53.00	I	I	5234.567	220.0	0.0	NIST	L13998
53.00	I	I	5427.055	180.0	0.0	NIST	L13998
53.00	I	I	5764.33	560.0	0.0001	NIST	L13998
