atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
19.01	K	II	261.03	5.0	0.0667	NIST	L3496
19.01	K	II	261.2	5.0	0.0667	NIST	L3496
19.01	K	II	398.63	15.0	0.2	NIST	L3496
19.01	K	II	441.81	25.0	0.3333	NIST	L3496
19.01	K	II	465.08	5.0	0.0667	NIST	L3496
19.01	K	II	476.03	10.0	0.1333	NIST	L3496
19.01	K	II	482.11	10.0	0.1333	NIST	L3496
19.01	K	II	482.41	10.0	0.1333	NIST	L3496
19.01	K	II	495.153	15.0	0.2	NIST	L12188
19.01	K	II	523.79	25.0	0.3333	NIST	L3496
19.01	K	II	527.06	10.0	0.1333	NIST	L3496
19.01	K	II	546.12	15.0	0.2	NIST	L3496
19.01	K	II	550.32	5.0	0.0667	NIST	L3496
19.01	K	II	554.175	30.0	0.4	NIST	L12188
19.01	K	II	574.63	5.0	0.0667	NIST	L3496
19.01	K	II	600.755	50.0	0.6667	NIST	L12188
19.01	K	II	607.932	60.0	0.8	NIST	L12188
19.01	K	II	612.625	65.0	0.8667	NIST	L12188
19.01	K	II	1247.036	5.0	0.0667	NIST	L12188
19.01	K	II	1258.385	2.0	0.0267	NIST	L12188
19.01	K	II	1261.664	2.0	0.0267	NIST	L12188
19.01	K	II	1278.623	5.0	0.0667	NIST	L12188
19.01	K	II	1284.628	8.0	0.1067	NIST	L12188
19.01	K	II	1285.786	2.0	0.0267	NIST	L12188
19.01	K	II	1298.693	8.0	0.1067	NIST	L12188
19.01	K	II	1338.358	2.0	0.0267	NIST	L12188
19.01	K	II	1340.909	5.0	0.0667	NIST	L12188
19.01	K	II	1341.233	15.0	0.2	NIST	L12188
19.01	K	II	1349.075	15.0	0.2	NIST	L12188
19.01	K	II	1351.844	10.0	0.1333	NIST	L12188
19.01	K	II	1355.513	20.0	0.2667	NIST	L12188
19.01	K	II	1374.99	25.0	0.3333	NIST	L12188
19.01	K	II	1375.243	40.0	0.5333	NIST	L12188
19.01	K	II	1375.903	20.0	0.2667	NIST	L12188
19.01	K	II	1381.009	20.0	0.2667	NIST	L12188
19.01	K	II	1387.732	5.0	0.0667	NIST	L12188
19.01	K	II	1389.285	8.0	0.1067	NIST	L12188
19.01	K	II	1389.97	1.0	0.0133	NIST	L12188
19.01	K	II	1390.803	10.0	0.1333	NIST	L12188
19.01	K	II	1403.544	1.0	0.0133	NIST	L12188
19.01	K	II	1456.525	15.0	0.2	NIST	L12188
19.01	K	II	1471.388	25.0	0.3333	NIST	L12188
19.01	K	II	1484.555	25.0	0.3333	NIST	L12188
19.01	K	II	1486.113	3.0	0.04	NIST	L12188
19.01	K	II	1487.609	40.0	0.5333	NIST	L12188
19.01	K	II	1492.04	15.0	0.2	NIST	L12188
19.01	K	II	1492.45	15.0	0.2	NIST	L12188
19.01	K	II	1503.177	5.0	0.0667	NIST	L12188
19.01	K	II	1503.581	6.0	0.08	NIST	L12188
19.01	K	II	1505.024	10.0	0.1333	NIST	L12188
19.01	K	II	1508.465	10.0	0.1333	NIST	L12188
19.01	K	II	1517.777	15.0	0.2	NIST	L12188
19.01	K	II	1518.974	6.0	0.08	NIST	L12188
19.01	K	II	1519.379	3.0	0.04	NIST	L12188
19.01	K	II	1522.492	7.0	0.0933	NIST	L12188
19.01	K	II	1537.685	15.0	0.2	NIST	L12188
19.01	K	II	1548.479	50.0	0.6667	NIST	L12188
19.01	K	II	1570.629	40.0	0.5333	NIST	L12188
19.01	K	II	1576.698	5.0	0.0667	NIST	L12188
19.01	K	II	1576.898	10.0	0.1333	NIST	L12188
19.01	K	II	1577.804	1.0	0.0133	NIST	L12188
19.01	K	II	1578.869	6.0	0.08	NIST	L12188
19.01	K	II	1590.453	15.0	0.2	NIST	L12188
19.01	K	II	1596.643	40.0	0.5333	NIST	L12188
19.01	K	II	1597.217	65.0	0.8667	NIST	L12188
19.01	K	II	1601.544	7.0	0.0933	NIST	L12188
19.01	K	II	1602.137	75.0	1.0	NIST	L12188
19.01	K	II	1603.115	5.0	0.0667	NIST	L12188
19.01	K	II	1604.468	7.0	0.0933	NIST	L12188
19.01	K	II	1604.948	2.0	0.0267	NIST	L12188
19.01	K	II	1607.833	20.0	0.2667	NIST	L12188
19.01	K	II	1608.399	15.0	0.2	NIST	L12188
19.01	K	II	1609.959	5.0	0.0667	NIST	L12188
19.01	K	II	1662.895	12.0	0.16	NIST	L12188
19.01	K	II	1692.213	15.0	0.2	NIST	L12188
19.01	K	II	1693.352	20.0	0.2667	NIST	L12188
19.01	K	II	1704.607	75.0	1.0	NIST	L12188
19.01	K	II	1722.374	15.0	0.2	NIST	L12188
19.01	K	II	1723.8	8.0	0.1067	NIST	L12188
19.01	K	II	1723.912	10.0	0.1333	NIST	L12188
19.01	K	II	1724.07	8.0	0.1067	NIST	L12188
19.01	K	II	1724.439	10.0	0.1333	NIST	L12188
19.01	K	II	1724.602	6.0	0.08	NIST	L12188
19.01	K	II	1727.722	10.0	0.1333	NIST	L12188
19.01	K	II	1741.002	50.0	0.6667	NIST	L12188
19.01	K	II	1748.832	15.0	0.2	NIST	L12188
19.01	K	II	1748.962	70.0	0.9333	NIST	L12188
19.01	K	II	1753.902	4.0	0.0533	NIST	L12188
19.01	K	II	1755.504	3.0	0.04	NIST	L12188
19.01	K	II	1757.231	12.0	0.16	NIST	L12188
19.01	K	II	1765.025	25.0	0.3333	NIST	L12188
19.01	K	II	1765.115	25.0	0.3333	NIST	L12188
19.01	K	II	1768.786	3.0	0.04	NIST	L12188
19.01	K	II	1769.511	8.0	0.1067	NIST	L12188
19.01	K	II	1773.06	35.0	0.4667	NIST	L12188
19.01	K	II	1786.909	50.0	0.6667	NIST	L12188
19.01	K	II	1790.679	20.0	0.2667	NIST	L12188
19.01	K	II	1993.007	7.0	0.0933	NIST	L12188
19.01	K	II	1993.714	15.0	0.2	NIST	L12188
19.01	K	II	1994.285	25.0	0.3333	NIST	L12188
19.01	K	II	1995.557	2.0	0.0267	NIST	L12188
19.01	K	II	2034.679	5.0	0.0667	NIST	L12188
19.01	K	II	2035.408	50.0	0.6667	NIST	L12188
19.01	K	II	2036.014	10.0	0.1333	NIST	L12188
19.01	K	II	2037.005	45.0	0.6	NIST	L12188
19.01	K	II	2044.832	10.0	0.1333	NIST	L12188
19.01	K	II	2045.283	40.0	0.5333	NIST	L12188
19.01	K	II	2045.43	15.0	0.2	NIST	L12188
19.01	K	II	2076.798	60.0	0.8	NIST	L12188
19.01	K	II	2078.694	70.0	0.9333	NIST	L12188
19.01	K	II	2081.885	25.0	0.3333	NIST	L12188
19.01	K	II	2082.891	25.0	0.3333	NIST	L12188
19.01	K	II	2083.942	15.0	0.2	NIST	L12188
19.01	K	II	2084.933	60.0	0.8	NIST	L12188
19.01	K	II	2089.855	50.0	0.6667	NIST	L12188
19.01	K	II	2094.558	4.0	0.0533	NIST	L12188
19.01	K	II	2122.827	15.0	0.2	NIST	L12188
19.01	K	II	2128.138	15.0	0.2	NIST	L12188
19.01	K	II	2129.19	40.0	0.5333	NIST	L12188
19.01	K	II	2130.687	50.0	0.6667	NIST	L12188
19.01	K	II	2132.947	10.0	0.1333	NIST	L12188
19.01	K	II	2133.061	10.0	0.1333	NIST	L12188
19.01	K	II	2138.427	1.0	0.0133	NIST	L12188
19.01	K	II	2139.246	20.0	0.2667	NIST	L12188
19.01	K	II	2139.494	10.0	0.1333	NIST	L12188
19.01	K	II	2140.277	7.0	0.0933	NIST	L12188
19.01	K	II	2141.823	5.0	0.0667	NIST	L12188
19.01	K	II	2142.86	15.0	0.2	NIST	L12188
19.01	K	II	2144.699	50.0	0.6667	NIST	L12188
19.01	K	II	2189.32	6.0	0.08	NIST	L3490
19.01	K	II	2209.84	4.0	0.0533	NIST	L3490
19.01	K	II	2264.34	5.0	0.0667	NIST	L3490
19.01	K	II	2296.79	1.0	0.0133	NIST	L3490
19.01	K	II	2342.3	3.0	0.04	NIST	L3490
19.01	K	II	2358.7	1.0	0.0133	NIST	L3490
19.01	K	II	2504.6	3.0	0.04	NIST	L3490
19.01	K	II	2743.55	4.0	0.0533	NIST	L3490
19.01	K	II	2777.89	2.0	0.0267	NIST	L3490
19.01	K	II	2808.99	3.0	0.04	NIST	L3490
19.01	K	II	2950.88	2.0	0.0267	NIST	L3490
19.01	K	II	3030.43	2.0	0.0267	NIST	L3490
19.01	K	II	3047.16	2.0	0.0267	NIST	L3490
19.01	K	II	3062.18	5.0	0.0667	NIST	L3490
19.01	K	II	3075.0	3.0	0.04	NIST	L3490
19.01	K	II	3105.0	6.0	0.08	NIST	L3490
19.01	K	II	3142.75	2.0	0.0267	NIST	L3490
19.01	K	II	3157.15	2.0	0.0267	NIST	L3490
19.01	K	II	3171.81	2.0	0.0267	NIST	L3490
19.01	K	II	3190.07	5.0	0.0667	NIST	L3490
19.01	K	II	3220.6	4.0	0.0533	NIST	L12188
19.01	K	II	3258.81	3.0	0.04	NIST	L3490
19.01	K	II	3290.65	5.0	0.0667	NIST	L3490
19.01	K	II	3301.6	3.0	0.04	NIST	L3490
19.01	K	II	3337.67	1.0	0.0133	NIST	L3490
19.01	K	II	3356.51	2.0	0.0267	NIST	L3490
19.01	K	II	3380.62	6.0	0.08	NIST	L3490
19.01	K	II	3384.86	6.0	0.08	NIST	L12188
19.01	K	II	3392.63	3.0	0.04	NIST	L3490
19.01	K	II	3404.24	6.0	0.08	NIST	L3490
19.01	K	II	3427.13	2.0	0.0267	NIST	L3490
19.01	K	II	3440.05	7.0	0.0933	NIST	L3490
19.01	K	II	3457.85	2.0	0.0267	NIST	L3490
19.01	K	II	3528.51	1.0	0.0133	NIST	L3490
19.01	K	II	3529.53	3.0	0.04	NIST	L3490
19.01	K	II	3530.75	7.0	0.0933	NIST	L3490
19.01	K	II	3562.15	4.0	0.0533	NIST	L3490
19.01	K	II	3586.6	2.0	0.0267	NIST	L3490
19.01	K	II	3593.22	2.0	0.0267	NIST	L3490
19.01	K	II	3608.88	5.0	0.0667	NIST	L3490
19.01	K	II	3618.49	6.0	0.08	NIST	L3490
19.01	K	II	3626.42	4.0	0.0533	NIST	L3490
19.01	K	II	3637.0	3.0	0.04	NIST	L3490
19.01	K	II	3647.95	2.0	0.0267	NIST	L3490
19.01	K	II	3668.6	3.0	0.04	NIST	L3490
19.01	K	II	3676.05	3.0	0.04	NIST	L3490
19.01	K	II	3681.54	6.0	0.08	NIST	L3490
19.01	K	II	3716.6	5.0	0.0667	NIST	L3490
19.01	K	II	3721.34	5.0	0.0667	NIST	L3490
19.01	K	II	3739.13	5.0	0.0667	NIST	L3490
19.01	K	II	3744.42	5.0	0.0667	NIST	L3490
19.01	K	II	3756.62	3.0	0.04	NIST	L3490
19.01	K	II	3767.36	6.0	0.08	NIST	L3490
19.01	K	II	3783.19	6.0	0.08	NIST	L3490
19.01	K	II	3800.14	6.0	0.08	NIST	L3490
19.01	K	II	3816.56	6.0	0.08	NIST	L3490
19.01	K	II	3817.5	7.0	0.0933	NIST	L3490
19.01	K	II	3821.3	3.0	0.04	NIST	L3490
19.01	K	II	3844.02	1.0	0.0133	NIST	L3490
19.01	K	II	3861.41	3.0	0.04	NIST	L3490
19.01	K	II	3873.74	5.0	0.0667	NIST	L3490
19.01	K	II	3878.62	4.0	0.0533	NIST	L3490
19.01	K	II	3883.42	3.0	0.04	NIST	L3490
19.01	K	II	3886.84	2.0	0.0267	NIST	L3490
19.01	K	II	3897.92	8.0	0.1067	NIST	L3490
19.01	K	II	3899.28	3.0	0.04	NIST	L3490
19.01	K	II	3900.11	3.0	0.04	NIST	L3490
19.01	K	II	3923.0	5.0	0.0667	NIST	L3490
