atomic_num.ion_num	name	ionization	wavelength(Ang)	relative_intensity	frac_of_max_rel_int	flags	reference
19.02	K	III	325.28	2.0	0.02	NIST	L3496
19.02	K	III	327.6	5.0	0.05	NIST	L3496
19.02	K	III	329.05	10.0	0.1	NIST	L3496
19.02	K	III	330.68	25.0	0.25	NIST	L3496
19.02	K	III	331.42	5.0	0.05	NIST	L3496
19.02	K	III	341.92	30.0	0.3	NIST	L3496
19.02	K	III	345.4	10.0	0.1	NIST	L3496
19.02	K	III	348.0	15.0	0.15	NIST	L3496
19.02	K	III	379.12	30.0	0.3	NIST	L3496
19.02	K	III	380.48	25.0	0.25	NIST	L3496
19.02	K	III	382.23	30.0	0.3	NIST	L3496
19.02	K	III	398.63	15.0	0.15	NIST	L3496
19.02	K	III	402.1	20.0	0.2	NIST	L3496
19.02	K	III	406.48	30.0	0.3	NIST	L3496
19.02	K	III	408.96	40.0	0.4	NIST	L3496
19.02	K	III	410.1	40.0	0.4	NIST	L3496
19.02	K	III	412.29	25.0	0.25	NIST	L3496
19.02	K	III	413.79	50.0	0.5	NIST	L3496
19.02	K	III	414.87	30.0	0.3	NIST	L3496
19.02	K	III	416.0	30.0	0.3	NIST	L3496
19.02	K	III	417.54	30.0	0.3	NIST	L3496
19.02	K	III	418.62	30.0	0.3	NIST	L3496
19.02	K	III	434.72	75.0	0.75	NIST	L3496
19.02	K	III	435.68	50.0	0.5	NIST	L3496
19.02	K	III	444.34	75.0	0.75	NIST	L3496
19.02	K	III	448.6	75.0	0.75	NIST	L3496
19.02	K	III	466.79	75.0	0.75	NIST	L3496
19.02	K	III	470.09	100.0	1.0	NIST	L3496
19.02	K	III	471.57	75.0	0.75	NIST	L3496
19.02	K	III	474.92	45.0	0.45	NIST	L3496
19.02	K	III	479.18	40.0	0.4	NIST	L3496
19.02	K	III	482.11	10.0	0.1	NIST	L3496
19.02	K	III	482.41	10.0	0.1	NIST	L3496
19.02	K	III	484.2	5.0	0.05	NIST	L3496
19.02	K	III	497.1	75.0	0.75	NIST	L3496
19.02	K	III	514.94	10.0	0.1	NIST	L3496
19.02	K	III	520.61	50.0	0.5	NIST	L3496
19.02	K	III	523.79	25.0	0.25	NIST	L3496
19.02	K	III	529.8	40.0	0.4	NIST	L3496
19.02	K	III	539.73	15.0	0.15	NIST	L3496
19.02	K	III	546.12	15.0	0.15	NIST	L3496
19.02	K	III	550.32	5.0	0.05	NIST	L3496
19.02	K	III	708.84	20.0	0.2	NIST	L3496
19.02	K	III	765.31	20.0	0.2	NIST	L3496
19.02	K	III	765.64	30.0	0.3	NIST	L3496
19.02	K	III	778.53	35.0	0.35	NIST	L3496
19.02	K	III	872.31	20.0	0.2	NIST	L3496
19.02	K	III	873.86	10.0	0.1	NIST	L3496
19.02	K	III	874.04	15.0	0.15	NIST	L3496
19.02	K	III	2550.02	6.0	0.06	NIST	L3491
19.02	K	III	2635.11	5.0	0.05	NIST	L3491
19.02	K	III	2689.9	5.0	0.05	NIST	L3491
19.02	K	III	2736.96	1.0	0.01	NIST	L3398
19.02	K	III	2800.4	3.0	0.03	NIST	L3491
19.02	K	III	2877.35	1.0	0.01	NIST	L3491
19.02	K	III	2898.9	1.0	0.01	NIST	L3398
19.02	K	III	2903.36	4.0	0.04	NIST	L3491
19.02	K	III	2938.45	5.0	0.05	NIST	L3491
19.02	K	III	2948.94	1.0	0.01	NIST	L3398
19.02	K	III	2954.33	3.0	0.03	NIST	L3491
19.02	K	III	2986.2	5.0	0.05	NIST	L3491
19.02	K	III	2992.42	6.0	0.06	NIST	L3491
19.02	K	III	3023.43	3.0	0.03	NIST	L3491
19.02	K	III	3052.07	6.0	0.06	NIST	L3491
19.02	K	III	3056.84	5.0	0.05	NIST	L3491
19.02	K	III	3061.25	3.0	0.03	NIST	L3491
19.02	K	III	3201.95	6.0	0.06	NIST	L3491
19.02	K	III	3209.34	6.0	0.06	NIST	L3491
19.02	K	III	3253.98	3.0	0.03	NIST	L3491
19.02	K	III	3278.79	6.0	0.06	NIST	L3491
19.02	K	III	3289.06	6.0	0.06	NIST	L3398
19.02	K	III	3322.4	6.0	0.06	NIST	L3491
19.02	K	III	3358.43	3.0	0.03	NIST	L3491
19.02	K	III	3364.22	6.0	0.06	NIST	L3491
19.02	K	III	3420.82	6.0	0.06	NIST	L3491
19.02	K	III	3421.83	4.0	0.04	NIST	L3491
19.02	K	III	3448.01	3.0	0.03	NIST	L3491
19.02	K	III	3468.32	6.0	0.06	NIST	L3491
19.02	K	III	3481.11	1.0	0.01	NIST	L3398
19.02	K	III	3513.88	5.0	0.05	NIST	L3491
19.02	K	III	3885.5	1.0	0.01	NIST	L3398
